time,step-size,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbit}.r.angle,{rabbit}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4189,-0.7575863738948216,6.965355952868506,-451150.09238668246,140160.53830224843,-0.7504915783575616,0.004724878903653007
0.01,0.01,0.0013229660930228419,-0.19988614075151484,0.0022049434883714032,-0.8994876333818168,0.0,0.0,0.4189,-0.7575863738948216,6.965355952868506,-451150.09238668246,140160.53830224843,-1.4195344582887213,0.002315915982180741
0.02,0.01,6.484564750106074E-4,-0.3780792119641056,0.0010807607916843457,-1.7013564538384751,-0.008994876333818168,1.3229660930228419E-5,0.4189,-0.6609749477702397,6.965350278992021,-451150.1267634528,140160.40398790038,1.5649785626215822,0.010986796545330435
0.03,0.01,0.003068365236134385,0.4168168361407558,0.005127171721154203,1.916152706135583,-0.02600844087220292,1.971422568033449E-5,0.4189,-0.6609749477702397,6.965350278992021,-451150.1267634528,140160.40398790038,1.5649785626215822,0.010986796545330435
0.04,0.01,0.003064474497284321,0.4168168361407558,0.005127171721154203,1.9927137465583145,-0.0068469138108470905,5.0397878041678345E-5,0.4189,-0.6609749477702397,6.965350278992021,-451150.1267634528,140160.40398790038,1.5649785626215822,0.010986796545330435
0.05,0.01,0.0030460643058675147,0.4168168361407558,0.005127171721154203,1.906486874782213,0.013080223654736055,8.104262301452157E-5,0.3758783355418054,-0.5155366529416031,6.965341737569574,-451150.1537289928,140160.1971269326,1.5649785626215822,0.010986796545330435
0.060000000000000005,0.01,0.0030276774588838084,0.4168168361407558,0.005127171721154203,1.8168147561870889,0.03214509240255818,1.1150326607319671E-4,0.3758783355418054,-0.5155366529416031,6.965341737569574,-451150.1537289928,140160.1971269326,-1.5707963267948966,0.007449171085027046
0.07,0.01,0.002018865944163655,-0.4183663411078218,0.0034762798396792884,-2.0273014507967098,0.050313239964429074,1.417800406620348E-4,0.3758783355418054,-0.5155366529416031,6.965341737569574,-451150.1537289928,140160.1971269326,1.5649785626215822,0.01042765608523041
0.08,0.01,0.0028346756794672937,0.4168168361407558,0.004866239506440858,1.6492661827934705,0.030040225456461976,1.6196870010367134E-4,0.3758783355418054,-0.5155366529416031,6.965341737569574,-451150.1537289928,140160.1971269326,1.308996938995747,0.0039238525206747
0.09,0.01,0.001001497485726713,0.3486386175898515,0.00183113117631486,1.4336927646002529,0.04653288728439668,1.9031545689834428E-4,0.3758783355418054,-0.5155366529416031,6.965341737569574,-451150.1537289928,140160.1971269326,1.308996938995747,0.0039238525206747
0.09999999999999999,0.01,9.844894316499095E-4,0.3486386175898515,0.00183113117631486,1.3594757863745466,0.06086981493039921,2.003304317556114E-4,0.3268913775925661,-0.32221384125842883,6.965374374754281,-451150.1426439942,140159.9193084082,1.308996938995747,0.0039238525206747
0.10999999999999999,0.01,9.78480446735549E-4,0.3486386175898515,0.00183113117631486,1.2949596119675353,0.07446457279414467,2.101753260721105E-4,0.3268913775925661,-0.22819976779829887,6.965387341697165,-451150.1172153994,140159.78240518476,1.308996938995747,0.0039238525206747
0.11999999999999998,0.01,9.725735101456497E-4,0.3486386175898515,0.00183113117631486,1.2337832015806809,0.08741416891382003,2.1996013053946598E-4,0.3268913775925661,-0.22819976779829887,6.965387341697165,-451150.1172153994,140159.78240518476,-0.26179938779914935,0.0024851415339071535
0.12999999999999998,0.01,5.638635511703233E-4,-0.06972772351797028,0.0011597327158233382,-0.7071385159430565,0.09975200092962684,2.2968586564092248E-4,0.3268913775925661,-0.22819976779829887,6.965387341697165,-451150.1172153994,140159.78240518476,1.5649785626215822,0.009059208795661107
0.13999999999999999,0.01,0.0023987669434005566,0.4168168361407558,0.004227630771308517,1.4267917584500804,0.09268061577019628,2.3532450115262572E-4,0.40050129906003135,-0.09507708065758634,6.96545500761268,-451150.055313552,140159.58312397456,1.5649785626215822,0.0027095289796125145
0.15,0.01,6.174734135999286E-4,0.4168168361407558,0.0012644468571525068,1.458612991667518,0.10694853335469708,2.593121705866313E-4,0.40050129906003135,-0.09507708065758634,6.96545500761268,-451150.055313552,140159.58312397456,1.5649785626215822,0.0027095289796125145
0.16,0.01,6.030808119395252E-4,0.4168168361407558,0.0012644468571525068,1.3944073625372644,0.12153466327137226,2.654869047226306E-4,0.40050129906003135,-0.09507708065758634,6.96545500761268,-451150.055313552,140159.58312397456,1.5649785626215822,0.0027095289796125145
0.17,0.01,5.993759714579256E-4,0.4168168361407558,0.0012644468571525068,1.328769777912226,0.1354787368967449,2.7151771284202584E-4,0.40050129906003135,-0.09507708065758634,6.96545500761268,-451150.055313552,140159.58312397456,1.5649785626215822,0.0027095289796125145
0.18000000000000002,0.01,5.957574865862885E-4,0.4168168361407558,0.0012644468571525068,1.2660214465980493,0.14876643467586714,2.775114725566051E-4,0.40050129906003135,0.07158587470802304,6.965553976507929,-451149.93050155893,140159.3343314734,-1.239183768915974,0.0028984159720130266
0.19000000000000003,0.01,6.450495886296842E-4,-0.33004455798505944,0.0013525941202727457,-2.1546494669741696,0.16142664914184762,2.83469047422468E-4,0.4140996517071109,0.11331602764583948,6.965563698992284,-451149.8921656906,140159.27620224046,0.337430322052237,0.004297165412863251
