time,step-size,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{local}.l.angle,{local}.l.distance,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{networked}.n.steer_angle_s,{networked}.n.theta_s,{networked}.n.velocity_s,{networked}.n.x_s,{networked}.n.y_s
0.0,0.0,0.0,0.0,0.0,0.0,-0.08144869842640201,5.137474586168925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01,1.438492884127299,-0.021693069538924085,2.397488140212165,-0.09761881292515838,-0.08726646259971638,5.135838708877563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.01,1.4380348384857178,-0.023242574505990075,2.3967247308095296,-0.10459158527695533,-0.08726646259971638,5.1374087532361346,-9.761881292515838E-4,0.0,0.01438492884127299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.01,1.4298434936013538,-0.023242574505990075,2.3974574181768626,-0.10019873869532321,-0.08144869842640201,5.137566210428874,-0.002022103982021137,-4.2526957103322045E-7,0.02876527722613017,1.438492884127299E-4,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.01,1.4212593725844067,-0.021693069538924085,2.397530898200141,-0.08851934500606326,-0.08144869842640201,5.135646504561106,-0.0030240913689743693,-2.1868219908380725E-6,0.043063712162143705,4.315020606740056E-4,-1.2232997106607673E-10,0.0,0.0,0.0,0.0,0.0
0.05,0.01,1.4121427939798237,-0.021693069538924085,2.3966350354618497,-0.08401040176477373,-0.08144869842640201,5.135646504561106,-0.003909284819035002,-6.13076497244781E-6,0.05727630588798777,8.62139182294413E-4,-1.0640566986982943E-9,-0.0010448218180396651,0.0,0.0,0.0,0.0
0.060000000000000005,0.01,1.4036152377443172,-0.021693069538924085,2.3966350354618497,-0.08002703123950088,-0.08144869842640201,5.135646504561106,-0.004749388836682739,-6.13076497244781E-6,0.07139773382778601,0.0014349022411635267,-4.575532397569114E-9,-0.0010448218180396651,0.0,0.0,0.0,0.0
0.07,0.01,1.3951423809804384,-0.021693069538924085,2.3966350354618497,-0.07624656316008604,-0.08726646259971638,5.137265611489614,-0.005549659149077748,-6.006177452741123E-5,0.08543388620522918,0.0021488563860513933,-5.759449273265045E-6,-0.0020909403432689544,0.0,0.014365200795793951,0.0,0.0
0.08,0.01,1.3871740394939542,-0.023242574505990075,2.397390618695153,-0.07961811910610547,-0.08144869842640201,5.135967020988464,-0.006312124780678608,1.8594868323537658E-4,0.09938531001503356,0.0030031720048462433,5.425104201561586E-7,-0.0020909403432689544,0.0,0.014365200795793951,0.0,0.0
0.09,0.01,1.37843957986775,-0.021693069538924085,2.396784609794617,-0.06921425141210465,-0.08726646259971638,5.136074336369832,-0.007108305971739663,-0.0011389910826609681,0.11325705040997311,0.0039970198185566,-2.699072769628882E-6,-0.0020909403432689544,0.0,0.014365200795793951,0.0,0.0
