time,step-size,{controller}.c.acceleration,{controller}.c.desired_angle,{controller}.c.steer_angle_vel,{lidar}.l.angle,{lidar}.l.distance,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y
0.0,0.0,0.0,0.0,0.0,0.0,12.584241514205932,0.0,0.0,0.0,0.0,0.0
0.01,0.01,3.5235876239776607,0.0,0.0,0.0,12.582722434997558,0.0,0.0,0.0,0.0,0.0
0.02,0.01,3.5231622817993165,0.0,0.0,0.0,12.583687114715577,0.0,0.0,0.03523587623977661,0.0,0.0
0.03,0.01,3.5022908663764953,0.0,0.0,0.005817764173314366,12.585397453308106,0.0,3.5235876239776606E-4,0.07046749905776978,3.5235876239776606E-4,0.0
0.04,0.01,3.4816307874916075,0.001549504967065989,0.006972772351796951,0.0,12.584748029708862,0.0,0.0010570337092304044,0.10549040772153473,0.0010570337092304044,2.4829840243463E-7
0.05,0.01,3.460435203685561,0.0,0.0,0.0,12.584748029708862,6.972772351796951E-5,0.0021119371971129565,0.1403067155964508,0.0021119371971129565,1.3633673644076275E-6
0.060000000000000005,0.01,3.4395454189606105,0.0,-3.137747558308628E-4,0.0,12.584663314819336,6.972772351796951E-5,0.0035150012240433353,0.1749110676333064,0.0035150012240433353,4.326554878361707E-6
0.07,0.01,3.41875908756943,0.0,-3.137747558308628E-4,0.005817764173314366,12.586292734146118,6.658997595966089E-5,0.005264100766646254,0.2093065218229125,0.005264100766646254,1.0567398456788793E-5
0.08,0.01,3.398578052467166,0.001549504967065989,0.006673117459978476,0.0,12.584861850738523,6.345222840135226E-5,0.007357136508653637,0.24349411269860682,0.007357136508653637,2.1675523417437625E-5
0.09,0.01,3.3776648505876223,0.0,-2.855350278060852E-4,0.005817764173314366,12.584624214172363,1.3018340300113704E-4,0.009792011537680901,0.2774798932232785,0.009792011537680901,3.961667465311249E-5
0.09999999999999999,0.01,3.3572068440342946,0.001549504967065989,0.006386947038291834,0.005817764173314366,12.586019868850707,1.273280527230762E-4,0.01256667585801363,0.31125654172915473,0.01256667585801363,6.694841065209951E-5
0.10999999999999999,0.01,3.337331638240705,0.001549504967065989,0.006399796114543108,0.005817764173314366,12.586019868850707,1.9119752310599452E-4,0.01567899413026457,0.3448286101694977,0.01567899413026457,1.0617147953012111E-4
0.11999999999999998,0.01,3.317188397176499,0.001549504967065989,0.006112383497819976,0.0,12.58178825378418,2.551954842514256E-4,0.01912685200724705,0.3782019265519047,0.01912685200724705,1.6051390561330596E-4
0.12999999999999998,0.01,3.295979555128428,0.0,-0.001148379679131415,0.005817764173314366,12.579954271316527,3.1631931922962534E-4,0.022908174149986808,0.4113738105236697,0.022908174149986808,2.3312642232528076E-4
0.13999999999999999,0.01,3.275562909654426,0.001549504967065989,0.005549335415263637,0.005817764173314366,12.580641012191773,3.048355224383112E-4,0.027020822096103837,0.444333606074954,0.027020822096103837,3.2782631554481584E-4
0.15,0.01,3.255979319768724,0.001549504967065989,0.005601012500824551,0.0,12.579227170944216,3.6032887659094754E-4,0.03146251994730014,0.47708923517149826,0.03146251994730014,4.484726890308681E-4
0.16,0.01,3.2359300667614814,0.0,-0.001621479944659264,0.0,12.57945372581482,4.1633900159919305E-4,0.036231029427715125,0.5096490283691855,0.036231029427715125,5.992412760937102E-4
0.17,0.01,3.2164576262066387,0.0,-0.0018735255071963687,0.0,12.57945372581482,4.001242021526004E-4,0.04132414565519771,0.5420083290368003,0.04132414565519771,7.846605445612465E-4
0.18000000000000002,0.01,3.1970420458060698,0.0,-0.0018005589096867017,0.005817764173314366,12.5776265335083,3.813889470806367E-4,0.04673956167913038,0.5741729052988667,0.04673956167913038,0.0010095430967072378
0.19000000000000003,0.01,3.1772316862030032,0.001549504967065989,0.005256522089934086,0.005817764173314366,12.57451626777649,3.633833579837697E-4,0.05247497048516614,0.6061433257569273,0.05247497048516614,0.0012788725336085813
0.20000000000000004,0.01,3.1571785595232607,0.001549504967065989,0.005337547240869987,0.0,12.57614824295044,4.159485788831106E-4,0.05852800165454115,0.6379156426189574,0.05852800165454115,0.0015979129676314129
0.21000000000000005,0.01,3.1385721224547485,0.0,-0.0018717686049739975,0.0,12.571231241226196,4.6932405129181045E-4,0.0648961682997066,0.66948742821419,0.0648961682997066,0.0019721993408779045
0.22000000000000006,0.01,3.118252290614821,0.0,-0.002111958230813147,0.005817764173314366,12.572397708892822,4.5060636524207046E-4,0.07157686957579859,0.7008731494387376,0.07157686957579859,0.002407598138887067
0.23000000000000007,0.01,3.099747468826748,0.001549504967065989,0.004945043708207634,0.005817764173314366,12.572397708892822,4.29486782933939E-4,0.0785675565774075,0.7320556723448858,0.0785675565774075,0.0029102037556024735
0.24000000000000007,0.01,3.081037955083059,0.001549504967065989,0.005040081828594225,0.005817764173314366,12.565617561340332,4.7893722001601536E-4,0.08586541547282026,0.7630531470331533,0.08586541547282026,0.003486230043090327
0.25000000000000006,0.01,3.060541028955401,0.001549504967065989,0.0048175548617248815,0.005817764173314366,12.56543327331543,5.293380383019576E-4,0.0934677047522379,0.7938635265839838,0.0934677047522379,0.004142132651540347
0.26000000000000006,0.01,3.04200320057793,0.001549504967065989,0.004590751179438142,0.0,12.56051923751831,5.775135869192064E-4,0.10137153740117116,0.8244689368735378,0.10137153740117116,0.004884668402661041
0.2700000000000001,0.01,3.0222640243810037,0.0,-0.0025988111411364284,0.005817764173314366,12.55888313293457,6.234210987135877E-4,0.10957372282719692,0.8548889688793171,0.10957372282719692,0.005720764703351826
