time,step-size,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{mq-local}.l.angle,{mq-local}.l.distance,{mq-networked}.n.steer_angle_s,{mq-networked}.n.theta_s,{mq-networked}.n.velocity_s,{mq-networked}.n.x_s,{mq-networked}.n.y_s
0.0,0.0,0.0,0.0,0.0,0.0,0.005817764173314366,12.765367670059204,0.0,-0.046852897852659225,0.0,-9.472780227661133,0.10680174827575684
0.01,0.01,3.574302947616577,0.001549504967065989,5.957171579360962,0.006972772351796951,0.005817764173314366,12.762939071655271,0.0,-0.046852897852659225,0.0,-9.472780227661133,0.10680174827575684
0.02,0.01,3.5736229400634762,0.001549504967065989,5.956038233439127,0.006972772351796951,0.005817764173314366,12.764334869384763,0.0,-0.046852897852659225,0.0,-9.472780227661133,0.10680174827575684
0.03,0.01,3.574013763427734,0.001549504967065989,5.9566896057128895,0.006972772351796951,0.005817764173314366,12.763741607666017,0.0,-0.046852897852659225,0.0,-9.472780227661133,0.10680174827575684
0.04,0.01,3.5738476501464844,0.001549504967065989,5.956412750244141,0.006972772351796951,0.005817764173314366,12.763741607666017,0.0,-0.046852897852659225,0.0,-9.472780227661133,0.10680174827575684
0.05,0.01,3.5738476501464844,0.001549504967065989,5.956412750244141,0.006972772351796951,0.005817764173314366,12.763741607666017,0.0016082874619520735,-0.046852897852659225,0.0018020085444447889,-9.472780227661133,0.10680174827575684
0.060000000000000005,0.01,3.5727664450198175,0.001549504967065989,5.956412750244141,-2.6452122698737994E-4,0.005817764173314366,12.763741607666017,0.0016082874619520735,-0.046852897852659225,0.0018020085444447889,-9.472780227661133,0.10680174827575684
0.07,0.01,3.5727664450198175,0.001549504967065989,5.956412750244141,-2.6452122698737994E-4,0.005817764173314366,12.763856687545776,0.0016082874619520735,-0.046852897852659225,0.0018020085444447889,-9.472780227661133,0.10680174827575684
0.08,0.01,3.57279866738615,0.001549504967065989,5.956466454188028,-2.6452122698737994E-4,0.005817764173314366,12.764823741912842,0.0016082874619520735,-0.046852897852659225,0.0018020085444447889,-9.472780227661133,0.10680174827575684
0.09,0.01,3.573069442608929,0.001549504967065989,5.956917746225993,-2.6452122698737994E-4,0.005817764173314366,12.760153198242188,0.0016082874619520735,-0.046852897852659225,0.0018020085444447889,-9.472780227661133,0.10680174827575684
0.09999999999999999,0.01,3.571761690381146,0.001549504967065989,5.954738159179688,-2.6452122698737994E-4,0.005817764173314366,12.759043321609497,0.0018872495398041256,-0.046846596838094785,0.1125741796078934,-9.471493202997578,0.10674140529096586
0.10999999999999999,0.01,3.5049876222859226,0.001549504967065989,5.954220216751098,-0.0015198505773216142,0.005817764173314366,12.759043321609497,0.0018872495398041256,-0.046846596838094785,0.1125741796078934,-9.471493202997578,0.10674140529096586
0.11999999999999998,0.01,3.5049876222859226,0.001549504967065989,5.954220216751098,-0.0015198505773216142,0.005817764173314366,12.757660446166993,0.0018872495398041256,-0.046846596838094785,0.1125741796078934,-9.471493202997578,0.10674140529096586
0.12999999999999998,0.01,3.5046004171620218,0.001549504967065989,5.95357487487793,-0.0015198505773216142,0.005817764173314366,12.759795036315918,0.0018872495398041256,-0.046821984989872424,0.21969343632619953,-9.46705365130163,0.10653330993333958
0.13999999999999999,0.01,3.4409265483727376,0.001549504967065989,5.954571016947429,-0.0015198505773216142,0.005817764173314366,12.765779361724851,0.001956648012655826,-0.04680891955460445,0.2555614163851807,-9.464851173877005,0.1064301101424909
0.15,0.01,3.4210813714518498,0.001549504967065989,5.957363702138264,-0.0018321437051542666,0.005817764173314366,12.764034490585328,0.0022339330552268444,-0.04679321332403696,0.2913475975111375,-9.46229495303201,0.1063103687396872
0.16,0.01,3.399121098857209,0.001549504967065989,5.9565494289398195,-0.003079926396723849,0.005817764173314366,12.764034490585328,0.0022339330552268444,-0.04677479187047099,0.3269386540989423,-9.459396672820697,0.1061746498240933
0.17,0.01,3.3777664649045263,0.001549504967065989,5.9565494289398195,-0.003079926396723849,0.005817764173314366,12.764034490585328,0.0022339330552268444,-0.04677479187047099,0.3269386540989423,-9.459396672820697,0.1061746498240933
0.18000000000000002,0.01,3.3777664649045263,0.001549504967065989,5.9565494289398195,-0.003079926396723849,0.005817764173314366,12.768888568878172,0.0022339330552268444,-0.04677479187047099,0.3269386540989423,-9.459396672820697,0.1061746498240933
0.19000000000000003,0.01,3.379125606826523,0.001549504967065989,5.95881466547648,-0.003079926396723849,0.005817764173314366,12.765794506072998,0.0022339330552268444,-0.04677479187047099,0.3269386540989423,-9.459396672820697,0.1061746498240933
0.20000000000000004,0.01,3.3782592692410742,0.001549504967065989,5.9573707695007325,-0.003079926396723849,0.005817764173314366,12.762913236618042,0.0022233593522674733,-0.046672474570727755,0.4698926354563788,-9.444187891059771,0.10546332182430232
0.21000000000000005,0.01,3.2916801249792247,0.001549504967065989,5.95602617708842,-0.003032344733406679,0.005817764173314366,12.762913236618042,0.0022233593522674733,-0.046672474570727755,0.4698926354563788,-9.444187891059771,0.10546332182430232
0.22000000000000006,0.01,3.2916801249792247,0.001549504967065989,5.95602617708842,-0.003032344733406679,0.005817764173314366,12.762913236618042,0.0022233593522674733,-0.046672474570727755,0.4698926354563788,-9.444187891059771,0.10546332182430232
0.23000000000000007,0.01,3.2916801249792247,0.001549504967065989,5.95602617708842,-0.003032344733406679,0.005817764173314366,12.762913236618042,0.0022233593522674733,-0.046672474570727755,0.4698926354563788,-9.444187891059771,0.10546332182430232
