time,step-size,{controller}.c.acceleration,{controller}.c.desired_angle,{controller}.c.steer_angle_vel,{lidar}.l.angle,{lidar}.l.distance,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y
0.0,0.0,0.0,0.0,0.0,-0.01745329251994332,10.898956260681151,0.0,0.0,0.0,0.0,0.0
0.01,0.01,3.051707752990722,-0.004648514901198027,-0.02091831705539112,-0.01745329251994332,10.90028060913086,0.0,0.0,0.0,0.0,0.0
0.02,0.01,3.0520785705566404,-0.004648514901198027,-0.02091831705539112,-0.01745329251994332,10.897410430908202,-2.091831705539112E-4,0.0,0.030517077529907222,0.0,0.0
0.03,0.01,3.0329646741363523,-0.004648514901198027,-0.019976992787898523,-0.01745329251994332,10.896840076446534,-4.183663411078224E-4,3.0517077529907224E-4,0.061037863235473624,3.0517077529907224E-4,0.0
0.04,0.01,3.0144925034637446,-0.004648514901198027,-0.019035668520405922,-0.01745329251994332,10.901232566833496,-6.181362689868077E-4,9.155493792317712E-4,0.09136750997683715,9.155493792317712E-4,1.862697175704905E-7
0.05,0.01,2.9975246127272768,-0.004648514901198027,-0.01813670384495049,-0.01745329251994332,10.897306146621704,-8.084929541908669E-4,0.001829224466083839,0.1215124350114746,0.001829224466083839,3.3990112665146937E-7
0.060000000000000005,0.01,2.9783382600471917,-0.004648514901198027,-0.01728009876153222,-0.01745329251994332,10.897006931304931,-9.898599926403719E-4,0.003044346573091082,0.15148768113874736,0.003044346573091082,2.674703915439539E-6
0.07,0.01,2.9602693320821323,-0.004648514901198027,-0.01646394708850945,-0.01745329251994332,10.89812162399292,-0.0011626609802556941,0.0045592165801176055,0.18127106373921928,0.0045592165801176055,7.215132412909851E-6
0.08,0.01,2.942711416474486,-0.004648514901198027,-0.015686342644240497,-0.01745329251994332,10.8984321975708,-0.0013273004511407886,0.006371924267157506,0.2108737570600406,0.006371924267157506,1.0485646327074982E-5
0.09,0.01,2.9250367610837995,-0.004648514901198027,-0.014945465025257572,-0.01745329251994332,10.897535133361815,-0.0014841638775831935,0.00848055229395267,0.24030087122478547,0.00848055229395267,3.197951232741435E-5
0.09999999999999999,0.01,2.907129314606437,-0.004648514901198027,-0.01423957960626675,-0.01745329251994332,10.895817193984984,-0.0016336185278357693,0.010883558090754825,0.2695512388356235,0.010883558090754825,3.572272943776174E-5
0.10999999999999999,0.01,2.8890980710144216,-0.004648514901198027,-0.01356703368013016,-0.01745329251994332,10.89848521232605,-0.001776014323898437,0.013578675140397692,0.29862253198168787,0.013578675140397692,8.188683352592182E-5
0.11999999999999998,0.01,2.872402340262281,-0.004648514901198027,-0.012926252597848156,-0.01745329251994332,10.89848521232605,-0.0019116846606997385,0.016564840067025383,0.3275135126918321,0.016564840067025383,1.008787184788897E-4
0.12999999999999998,0.01,2.8550677518361947,-0.004648514901198027,-0.0123157360822423,-0.01745329251994332,10.899615325927734,-0.00204094718667822,0.019839288041969574,0.3562375360944549,0.019839288041969574,1.6796492390277627E-4
0.13999999999999999,0.01,2.8381497696030924,-0.004648514901198027,-0.01173405471533913,-0.01745329251994332,10.89982780456543,-0.0021641045475006434,0.02340120850899622,0.38478821361281684,0.02340120850899622,2.2489293846050587E-4
0.15,0.01,2.8210788571106304,-0.004648514901198027,-0.011179846591638226,-0.01745329251994332,10.897110223770142,-0.0022814450946540346,0.02724799703851929,0.4131697113088478,0.02724799703851929,3.1662593505393474E-4
0.16,0.01,2.8032890358703306,-0.004648514901198027,-0.010651814129447965,-0.01745329251994332,10.898067150115969,-0.002393243560570417,0.03137833502149679,0.4413804998799541,0.03137833502149679,4.2259376355405383E-4
0.17,0.01,2.786630502104499,-0.004648514901198027,-0.010148721032824244,-0.01745329251994332,10.895502576828004,-0.0024997617018648966,0.03579009364024304,0.4694133902386574,0.03579009364024304,5.569829645560958E-4
0.18000000000000002,0.01,2.7690926873686466,-0.004648514901198027,-0.009669389396999087,-0.01745329251994332,10.89776626586914,-0.002601248912193139,0.040481415469889856,0.4972796952597024,0.040481415469889856,7.19440910542916E-4
0.19000000000000003,0.01,2.753006737287538,-0.004648514901198027,-0.009212696950521996,-0.01745329251994332,10.897484693527222,-0.0026979428061631302,0.045450371521036675,0.5249706221333889,0.045450371521036675,9.148514873540393E-4
0.20000000000000004,0.01,2.736313340907589,-0.004648514901198027,-0.008777574427657036,-0.01745329251994332,10.897466325759888,-0.0027900697756683504,0.05069494393493848,0.5525006895062642,0.05069494393493848,0.0011469626797854084
0.21000000000000005,0.01,2.7197901575090104,-0.004648514901198027,-0.008363003064883546,-0.01745329251994332,10.8950812625885,-0.002877845519944921,0.05621320085581136,0.5798638229153401,0.05621320085581136,0.0014199860226122773
0.22000000000000006,0.01,2.702704459775576,-0.004648514901198027,-0.007968012215638979,-0.01745329251994332,10.89305739402771,-0.0029614755505937562,0.06200309654507577,0.6070617244904302,0.06200309654507577,0.0017382833993477892
0.23000000000000007,0.01,2.685819035633501,-0.004648514901198027,-0.007591677077719219,-0.01745329251994332,10.892068357467652,-0.003041155672750146,0.0680625421799329,0.6340887690881859,0.0680625421799329,0.0021064033965501458
0.24000000000000007,0.01,2.6693258786380305,-0.004648514901198027,-0.007233116528015464,-0.01745329251994332,10.88838737487793,-0.0031170724435273384,0.07438932743990635,0.6609469594445209,0.07438932743990635,0.0025290675452069853
0.25000000000000006,0.01,2.6521802892991073,-0.004648514901198027,-0.006891491059518099,-0.01745329251994332,10.888894739151,-0.003189403608807493,0.08098119118558074,0.6876402182309012,0.08098119118558074,0.003011167823530168
