time,step-size,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{mq-local}.l.angle,{mq-local}.l.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005817764173314366,10.953807697296142
0.01,0.01,3.06706615524292,-0.001549504967065989,5.111776925404866,-0.006972772351796951,0.0,0.0,-0.005817764173314366,10.953870449066162
0.02,0.01,3.0670837257385255,-0.001549504967065989,5.111806209564209,-0.006972772351796951,-6.972772351796951E-5,0.0306706615524292,-0.005817764173314366,10.955559701919556
0.03,0.01,3.0491543196060182,-0.001549504967065989,5.11259452756246,-0.006658997595966088,-1.3945544703593903E-4,0.06134149880981446,-0.005817764173314366,10.955559701919556
0.04,0.01,3.0307518172515873,-0.001549504967065989,5.11259452756246,-0.0063452228401352255,-2.060454229955999E-4,0.09183304200587464,-0.005817764173314366,10.955559701919556
0.05,0.01,3.0124568913339513,-0.001549504967065989,5.11259452756246,-0.0060455679483167515,-2.6949765139695216E-4,0.1221405601783905,-0.005817764173314366,10.95652024269104
0.060000000000000005,0.01,2.994541331846457,-0.001549504967065989,5.113042779922486,-0.005760032920510667,-3.2995333088011965E-4,0.15226512909173,-0.005817764173314366,10.956468982696531
0.07,0.01,2.9764522376999905,-0.001549504967065989,5.1130188585917145,-0.005487982362836412,-3.8755366008522634E-4,0.18221054241019458,-0.005817764173314366,10.956662368774412
0.08,0.01,2.9585391378107184,-0.001549504967065989,5.113109105428059,-0.005228780881413432,-4.4243348371359045E-4,0.21197506478719447,-0.005817764173314366,10.956662368774412
0.09,0.01,2.9406804243845186,-0.001549504967065989,5.113109105428059,-0.0049818216750857945,-4.947212925277247E-4,0.24156045616530164,-0.005817764173314366,10.956662368774412
0.09999999999999999,0.01,2.9229291895576544,-0.001549504967065989,5.113109105428059,-0.004746526535422189,-5.445395092785827E-4,0.2709672604091468,-0.005817764173314366,10.956662368774412
0.10999999999999999,0.01,2.9052851070113475,-0.001549504967065989,5.113109105428059,-0.00452234456004333,-5.920047746328045E-4,0.30019655230472336,-0.005817764173314366,10.953517951965331
0.11999999999999998,0.01,2.886867095167459,-0.001549504967065989,5.111641710917155,-0.0043087508659493306,-6.372282202332379E-4,0.3292494033748368,-0.005817764173314366,10.956761264801026
0.12999999999999998,0.01,2.870343512119385,-0.001549504967065989,5.113155256907145,-0.00410524536074738,-6.803157288927312E-4,0.35811807432651144,-0.005817764173314366,10.953443250656129
0.13999999999999999,0.01,2.852093265587809,-0.001549504967065989,5.1116068503061936,-0.0039113515717796605,-7.213681825002051E-4,0.38682150944770527,-0.005817764173314366,10.953443250656129
0.15,0.01,2.8348712045150926,-0.001549504967065989,5.1116068503061936,-0.003726615530546028,-7.604816982180017E-4,0.41534244210358334,-0.005817764173314366,10.953443250656129
0.16,0.01,2.8177586449215664,-0.001549504967065989,5.1116068503061936,-0.003550604709815943,-7.97747853523462E-4,0.4436911541487343,-0.005817764173314366,10.953443250656129
0.17,0.01,2.8007494176944756,-0.001549504967065989,5.1116068503061936,-0.003382907010941372,-8.332539006216214E-4,0.4718687405979499,-0.005817764173314366,10.954377193450927
0.18000000000000002,0.01,2.7841043698074897,-0.001549504967065989,5.112042690277099,-0.0032231297989996546,-8.670829707310351E-4,0.4998762347748947,-0.005817764173314366,10.949528398513792
0.19000000000000003,0.01,2.7659422107189244,-0.001549504967065989,5.109779919306436,-0.003070898983507293,-8.993142687210317E-4,0.5277172784729696,-0.005817764173314366,10.933403759002683
0.20000000000000004,0.01,2.7447226854369693,-0.001549504967065989,5.102255087534585,-0.0029258581425523084,-9.300232585561046E-4,0.5553767005801589,-0.005817764173314366,10.933403759002683
0.21000000000000005,0.01,2.728127032172656,-0.001549504967065989,5.102255087534585,-0.00278766768829448,-9.592818399816276E-4,0.5828239274345286,-0.005817764173314366,10.933403759002683
0.22000000000000006,0.01,2.711658696060034,-0.001549504967065989,5.102255087534585,-0.0026560040718796264,-9.871585168645725E-4,0.6101051977562552,-0.005817764173314366,10.933403759002683
0.23000000000000007,0.01,2.6952899338669982,-0.001549504967065989,5.102255087534585,-0.002530559025906374,-0.0010137185575833688,0.6372217847168555,-0.005817764173314366,10.931144018173216
0.24000000000000007,0.01,2.678387254258387,-0.001549504967065989,5.101200541814167,-0.002411038842671791,-0.0010390241478424327,0.6641746840555255,-0.005817764173314366,10.929455518722534
0.25000000000000006,0.01,2.6617427348089944,-0.001549504967065989,5.100412575403849,-0.0022971636865060036,-0.0010631345362691505,0.6909585565981093,-0.005817764173314366,10.925725994110108
0.26000000000000006,0.01,2.6446281443919646,-0.001549504967065989,5.098672130584717,-0.002188666938585774,-0.0010861061731342106,0.7175759839461993,-0.005817764173314366,10.925725994110108
0.2700000000000001,0.01,2.6286576879831105,-0.001549504967065989,5.098672130584717,-0.002085294572693003,-0.0011079928425200684,0.744022265390119,-0.005817764173314366,10.925725994110108
0.2800000000000001,0.01,2.6127899191167585,-0.001549504967065989,5.098672130584717,-0.001986804560456643,-0.0011288457882469983,0.7703088422699501,-0.005817764173314366,10.925725994110108
0.2900000000000001,0.01,2.5970179729888603,-0.001549504967065989,5.098672130584717,-0.0018929663046854583,-0.0011487138338515648,0.7964367414611176,-0.005817764173314366,10.925620908737182
0.3000000000000001,0.01,2.5813118095697405,-0.001549504967065989,5.098623090744018,-0.001803560099464909,-0.0011676434968984194,0.8224069211910062,-0.005817764173314366,10.91466731071472
0.3100000000000001,0.01,2.5626626942855175,-0.001549504967065989,5.093511411666869,-0.0017183766157540634,-0.0011856790978930685,0.8482200392867036,-0.005817764173314366,10.912830562591552
0.3200000000000001,0.01,2.5466605339536117,-0.001549504967065989,5.092654262542724,-0.0016372164112781428,-0.0012028628640506091,0.8738466662295589,-0.005817764173314366,10.912830562591552
0.3300000000000001,0.01,2.531284557787899,-0.001549504967065989,5.092654262542724,-0.0015598894635692098,-0.0012192350281633906,0.899313271569095,-0.005817764173314366,10.912830562591552
0.34000000000000014,0.01,2.5160045945841776,-0.001549504967065989,5.092654262542724,-0.001486214725061693,-0.0012348339227990827,0.924626117146974,-0.005817764173314366,10.912830562591552
0.35000000000000014,0.01,2.50081688723745,-0.001549504967065989,5.092654262542724,-0.001416019699201079,-0.0012496960700496996,0.9497861630928157,-0.005817764173314366,10.912830562591552
0.36000000000000015,0.01,2.4857208596699447,-0.001549504967065989,5.092654262542724,-0.001349140036573303,-0.0012638562670417104,0.9747943319651902,-0.005817764173314366,10.891742820739744
0.37000000000000016,0.01,2.4648113906280145,-0.001549504967065989,5.082813316345214,-0.001285419150109254,-0.0012773476674074434,0.9996515405618897,-0.005817764173314366,10.890614356994629
0.38000000000000017,0.01,2.449581095621362,-0.001549504967065989,5.082286699930827,-0.0012247078484634555,-0.001290201858908536,1.0242996544681697,-0.005817764173314366,10.884809598922727
0.3900000000000002,0.01,2.433166895017462,-0.001549504967065989,5.079577812830606,-0.0011668639867085388,-0.0013024489373931706,1.0487954654243834,-0.005817764173314366,10.884809598922727
0.4000000000000002,0.01,2.4184694084437335,-0.001549504967065989,5.079577812830606,-0.0011117521335276834,-0.001314117577260256,1.073127134374558,-0.005817764173314366,10.884809598922727
0.4100000000000002,0.01,2.4038704070736285,-0.001549504967065989,5.079577812830606,-0.001059243254125799,-0.0013252350985955327,1.0973118284589953,-0.005817764173314366,10.880912456512451
0.4200000000000002,0.01,2.388268390748089,-0.001549504967065989,5.077759146372477,-0.0010092144081170536,-0.0013358275311367907,1.1213505325297317,-0.005817764173314366,10.871254920959473
0.4300000000000002,0.01,2.371141058350813,-0.001549504967065989,5.0732522964477536,-9.615484616813926E-4,-0.0013459196752179613,1.1452332164372125,-0.005817764173314366,10.860668468475344
0.4400000000000002,0.01,2.3538472413107687,-0.001549504967065989,5.0683119519551605,-9.16133813316125E-4,-0.0013555351598347751,1.1689446270207207,-0.005817764173314366,10.860668468475344
0.45000000000000023,0.01,2.3396203949606638,-0.001549504967065989,5.0683119519551605,-8.728641325404628E-4,-0.0013646964979679363,1.1924830994338282,-0.005817764173314366,10.860668468475344
0.46000000000000024,0.01,2.325497311512799,-0.001549504967065989,5.0683119519551605,-8.316381109412375E-4,-0.001373425139293341,1.215879303383435,-0.005817764173314366,10.860668468475344
0.47000000000000025,0.01,2.3114595891430354,-0.001549504967065989,5.0683119519551605,-7.923592249769167E-4,-0.0013817415204027534,1.239134276498563,-0.005817764173314366,10.85347526550293
0.48000000000000026,0.01,2.2954925084416824,-0.001549504967065989,5.064955123901367,-7.549355099845607E-4,-0.0013896651126525225,1.2622488723899932,-0.005817764173314366,10.85649634361267
0.49000000000000027,0.01,2.282469652777552,-0.001549504967065989,5.06636496035258,-7.192793448605996E-4,-0.001397214467752368,1.28520379747441,-0.005817764173314366,10.846557292938233
0.5000000000000002,0.01,2.265913763538059,-0.001549504967065989,5.061726736704508,-6.853072469112948E-4,-0.001404407261200974,1.3080284940021853,-0.005817764173314366,10.846557292938233
