time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{rabbitmq_lidar}.r_lidar.angle,{rabbitmq_lidar}.r_lidar.distance,{rabbitmq_odom}.r_odom.steer_angle_s,{rabbitmq_odom}.r_odom.theta_s,{rabbitmq_odom}.r_odom.velocity_s,{rabbitmq_odom}.r_odom.x_s,{rabbitmq_odom}.r_odom.y_s
0.0,0.0,0.0,0.0,0.0,0.0,-0.040724349213201005,11.12283348083496,0.0,-0.002328227041289211,0.0,-4.554347991943359,0.07884025573730469
0.01,0.01,3.1143933746337886,-0.07050247600150328,0.0,0.0,-0.040724349213201005,11.125096359252929,0.0,-0.002328227041289211,0.0,-4.554347991943359,0.07884025573730469
0.02,0.01,3.11502698059082,-0.07050247600150328,-7.050247600150328E-4,0.031143933746337886,-0.040724349213201005,11.124364490509032,0.0,-0.002328227041289211,0.0,-4.554347991943359,0.07884025573730469
0.03,0.01,3.0961356970947262,-0.06591981506140557,-0.0014100495200300657,0.06229420355224609,-0.040724349213201005,11.125122900009154,0.0,-0.002328227041289211,0.0,-4.554347991943359,0.07884025573730469
0.04,0.01,3.0776578898712157,-0.061337154121307844,-0.0020692476706441216,0.09325556052319335,-0.040724349213201005,11.125122900009154,0.0,-0.002328227041289211,0.0,-4.554347991943359,0.07884025573730469
0.05,0.01,3.059081075688647,-0.057052366142316485,-0.0026826192118572,0.12403213942190551,-0.040724349213201005,11.124141187667847,3.1672131128646086E-5,-0.002328227041289211,0.0,-4.554347991943359,0.07884025573730469
0.060000000000000005,0.01,3.0403402488938536,-0.05306545112443147,-0.003253142873280365,0.154622950178792,-0.040724349213201005,11.124141187667847,3.1672131128646086E-5,-0.002328228147362429,-0.006895159824225061,-4.554382472190843,0.07884033601529432
0.07,0.01,3.0219857624397215,-0.049357047325180904,-0.0037837973845246797,0.18502635266773051,-0.040724349213201005,11.124141187667847,3.1672131128646086E-5,-0.002328228147362429,-0.006895159824225061,-4.554382472190843,0.07884033601529432
0.08,0.01,3.003743720946359,-0.045907793002092856,-0.0042773678577764885,0.21524621029212773,-0.040724349213201005,11.126223001480104,3.1672131128646086E-5,-0.002328228147362429,-0.006895159824225061,-4.554382472190843,0.07884033601529432
0.09,0.01,2.986194714239153,-0.0426995849259561,-0.004736445787797417,0.24528364750159132,-0.040724349213201005,11.126223001480104,3.1672131128646086E-5,-0.002328228147362429,-0.006895159824225061,-4.554382472190843,0.07884033601529432
0.09999999999999999,0.01,2.9681722519134746,-0.039715578380820064,-0.005163441637056978,0.27514559464398286,-0.040724349213201005,11.125251836776734,-6.295398658959228E-4,-0.00232828774600151,-0.02068967090931295,-4.554865371304291,0.07884146032460078
0.10999999999999999,0.01,2.9499831575110957,-0.03694010536063292,-0.005560597420865178,0.3048273171631176,-0.040724349213201005,11.125251836776734,-6.295398658959228E-4,-0.00232828774600151,-0.02068967090931295,-4.554865371304291,0.07884146032460078
0.11999999999999998,0.01,2.9321741239996153,-0.03435859276587962,-0.005929998474471508,0.33432714873822855,-0.040724349213201005,11.12468726158142,-6.295398658959228E-4,-0.00232828774600151,-0.02068967090931295,-4.554865371304291,0.07884146032460078
0.12999999999999998,0.01,2.9143161439998604,-0.03195748591743847,-0.006273584402130304,0.3636488899782247,-0.040724349213201005,11.12468726158142,-6.295398658959228E-4,-0.00232828774600151,-0.02068967090931295,-4.554865371304291,0.07884146032460078
0.13999999999999999,0.01,2.896723099255863,-0.029724177387656297,-0.006593159261304689,0.3927920514182233,-0.040724349213201005,11.127301034927369,-0.00415649355933384,-0.002330056054132728,0.06927348398632915,-4.554862362137672,0.07884145323523895
0.15,0.01,2.879969058928729,-0.027646940803022796,-0.006890401035181252,0.421759282410782,-0.040724349213201005,11.127301034927369,-0.00415649355933384,-0.002330056054132728,0.06927348398632915,-4.554862362137672,0.07884145323523895
0.16,0.01,2.862588720333194,-0.02571486927282514,-0.00716687044321148,0.45055897300006925,-0.040724349213201005,11.127301034927369,-0.00415649355933384,-0.0023426820567890388,0.13154831449028137,-4.553166082469337,0.0788374965049991
0.17,0.01,2.8453089059796217,-0.023917818120628653,-0.007424019135939731,0.4791848602034012,-0.040724349213201005,11.125658226013185,-0.00415649355933384,-0.0023426820567890388,0.13154831449028137,-4.553166082469337,0.0788374965049991
0.18000000000000002,0.01,2.8276733871616506,-0.02224635161789502,-0.007663197317146018,0.5076379492631974,-0.040724349213201005,11.125658226013185,-0.006894766126499918,-0.0023769560387327153,0.19392906563350465,-4.550219434585806,0.07883057100443516
0.19000000000000003,0.01,2.8106015337257726,-0.02069169344005416,-0.007885660833324967,0.5359146831348139,-0.040724349213201005,11.12520908355713,-0.006894766126499918,-0.0023769560387327153,0.19392906563350465,-4.550219434585806,0.07883057100443516
0.20000000000000004,0.01,2.793509733515108,-0.019245680584890987,-0.008092577767725508,0.5640206984720717,-0.040724349213201005,11.12520908355713,-0.006894766126499918,-0.002443167801664662,0.2560533363976205,-4.5460442145948905,0.07882058339286184
0.21000000000000005,0.01,2.7766461243127534,-0.017900720511287473,-0.008285034573574417,0.5919557958072228,-0.040724349213201005,11.123991136550904,-0.006894766126499918,-0.002443167801664662,0.2560533363976205,-4.5460442145948905,0.07882058339286184
0.22000000000000006,0.01,2.7595440407499194,-0.016649751273269564,-0.008464041778687292,0.6197222570503503,-0.040724349213201005,11.123991136550904,-0.007566992496769787,-0.002552668693774714,0.3186072170724614,-4.540555044948388,0.07880703078857221
