time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y,{rabbit}.r.angle,{rabbit}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040724349213201005,10.815585050582886
0.01,0.01,2.5236365118026733,0.005423267384731021,0.0,0.0,0.0,0.0,0.040724349213201005,10.814160776138303
0.02,0.01,2.5233041810989376,0.005423267384731021,5.423267384731021E-5,0.025236365118026734,0.0,0.0,0.03490658503988664,10.813119897842409
0.03,0.01,2.5104431269375485,0.004621398564274372,1.0846534769462042E-4,0.05046940692901611,2.5236365118026734E-4,0.0,0.040724349213201005,10.815542917251587
0.04,0.01,2.498391977227529,0.005369034710883711,1.5467933333736413E-4,0.07557383819839159,7.570577204704281E-4,2.0918905211712395E-11,0.040724349213201005,10.816650495529174
0.05,0.01,2.486098196524278,0.005345927718062339,2.0836968044620125E-4,0.10055775797066688,0.0015127960805803589,1.8185056366352184E-7,0.03490658503988664,10.814343843460083
0.060000000000000005,0.01,2.4730680178220195,0.004544330060974927,2.6182895762682465E-4,0.12541873993590966,0.0025183736464121473,1.4804052705675703E-8,0.040724349213201005,10.814279289245606
0.07,0.01,2.4606224641893535,0.0052923529059176085,3.072722582365739E-4,0.15014942011412985,0.003772561040222752,1.3277733874112475E-7,0.03490658503988664,10.814796962738036
0.08,0.01,2.44837791458181,0.00449487877207974,3.6019578729575E-4,0.1747556447560234,0.005274053885430721,2.1506599476422798E-6,0.040724349213201005,10.81338279724121
0.09,0.01,2.4357448303116045,0.005243169491083146,4.051445750165474E-4,0.1992394239018415,0.0070216004355459416,-3.7308865952509334E-6,0.03490658503988664,10.814176502227784
0.09999999999999999,0.01,2.4236881385688958,0.004445942613689753,4.5757626992737885E-4,0.22359687220495753,0.009013944642588447,1.038875709496263E-5,0.03490658503988664,10.811537189483644
0.10999999999999999,0.01,2.410893574777038,0.004419726766234338,5.020356960642764E-4,0.2478337535906465,0.011249792670959203,-1.2843117874998084E-5,0.03490658503988664,10.805914678573608
0.11999999999999998,0.01,2.3974632148718515,0.004397497053165889,5.462329637266198E-4,0.27194268933841687,0.013727893631169684,2.1399733741421635E-5,0.040724349213201005,10.80664937019348
0.12999999999999998,0.01,2.3855801750426036,0.005150150902867711,5.902079342582786E-4,0.2959173214871354,0.016447039101293682,-1.7722392545432118E-5,0.03490658503988664,10.800794286727903
0.13999999999999999,0.01,2.3722266728262764,0.004353410934068888,6.417094432869557E-4,0.31977312323756146,0.019405935574715167,2.274704266143131E-5,0.03490658503988664,10.796086797714231
0.15,0.01,2.3592003578478735,0.004327660179554549,6.852435526276446E-4,0.34349538996582424,0.02260350620575425,-9.301265044338722E-6,0.040724349213201005,10.798546657562255
0.16,0.01,2.3479131917816143,0.0050806456084171985,7.2852015442319E-4,0.367087393544303,0.026038374474240282,1.495303200036594E-5,0.040724349213201005,10.796253566741944
0.17,0.01,2.335582135467636,0.0050590073075194265,7.79326610507362E-4,0.3905665254621191,0.02970922860730493,2.8955166180669956E-6,0.03490658503988664,10.796205825805664
0.18000000000000002,0.01,2.323831429956929,0.004258851595944346,8.299166835825562E-4,0.41392234681679546,0.03361488570630526,1.0877131964459437E-5,0.03490658503988664,10.798837184906006
0.19000000000000003,0.01,2.3127675030696704,0.004233556559406749,8.725051995419997E-4,0.43716066111636476,0.03775410910528038,1.0120290379394392E-5,0.040724349213201005,10.7970281124115
0.20000000000000004,0.01,2.3007262290045007,0.004987014784960021,9.148407651360671E-4,0.46028833614706144,0.04212571483683382,1.2893486885173216E-5,0.03490658503988664,10.797191972732543
0.21000000000000005,0.01,2.2892006255640625,0.004191094518629993,9.647109129856673E-4,0.48329559843710646,0.04672859774603278,1.4933954266791711E-5,0.040724349213201005,10.797837743759157
0.22000000000000006,0.01,2.2778476743252503,0.004940911928238188,0.0010066218581719674,0.506187604692747,0.051561553074428376,1.7452009218124394E-5,0.040724349213201005,10.793721618652343
0.23000000000000007,0.01,2.26544124200584,0.004919956455645038,0.0010560309774543494,0.5289660814359995,0.05662342836966533,2.0210618986759304E-5,0.03490658503988664,10.79172890663147
0.24000000000000007,0.01,2.25358703749601,0.004120499412470852,0.0011052305420107998,0.5516204938560579,0.061913088301370545,2.326641480221209E-5,0.03490658503988664,10.786404390335084
0.25000000000000006,0.01,2.2410174441501574,0.004095899630192627,0.0011464355361355083,0.574156364231018,0.06742929220886971,2.6639112684245517E-5,0.040724349213201005,10.785570611953736
0.26000000000000006,0.01,2.229554960673696,0.004850049616663267,0.0011873945324374345,0.5965665386725196,0.07317085464993123,3.0353152247218175E-5,0.040724349213201005,10.773353776931764
0.2700000000000001,0.01,2.2154992786144847,0.004829570118512304,0.0012358950286040671,0.6188620882792566,0.07913651864867292,3.442261023848021E-5,0.040724349213201005,10.769876337051391
0.2800000000000001,0.01,2.2035401011723628,0.004805319870428987,0.0012841907297891902,0.6410170810654015,0.08532513793756724,3.88642384695228E-5,0.040724349213201005,10.767246046066283
0.2900000000000001,0.01,2.191848870216099,0.004781172019836426,0.0013322439284934801,0.6630524820771251,0.09173530691947944,4.37062516406777E-5,0.040724349213201005,10.76449213027954
0.3000000000000001,0.01,2.180188589359997,0.004757145420484281,0.0013800556486918444,0.684970970779286,0.09836582964579962,4.897641437767278E-5,0.040724349213201005,10.758332662582395
0.3100000000000001,0.01,2.1677921358795826,0.004733239560385099,0.0014276271028966872,0.706772856672886,0.10521553696068393,5.4701923268241526E-5,0.040724349213201005,10.760405721664428
