time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbit}.r.angle,{rabbit}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.210094948049402,27.769158916473387
0.01,0.01,7.51,1.4503366491737826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.210094948049402,26.555918941497804
0.02,0.01,7.435657303619386,1.4503366491737826,0.014503366491737826,0.0751,0.0,0.0,0.0,0.0,0.0,1.210094948049402,25.30203904151917
0.03,0.01,7.039510931625367,1.3850714999609623,0.029006732983475652,0.14945657303619386,0.0,0.0,0.0,0.0,0.0,1.210094948049402,25.30203904151917
0.04,0.01,6.994896987803651,1.3198063507481421,0.04285744798308527,0.21985168235244754,0.0,0.0,0.0,0.0,0.0,1.210094948049402,25.30203904151917
0.05,0.01,6.9526599222139,1.2574781332498988,0.056055511490566694,0.28980065223048407,0.0,0.0,0.0,0.0,0.0,1.210094948049402,25.30203904151917
0.060000000000000005,0.01,6.910690540287077,1.1980868474662325,0.06863029282306568,0.35932725145262306,0.0,0.0,0.0,0.0,0.0,1.210094948049402,27.756258907318117
0.07,0.01,7.51,1.1415003314699872,0.08061116129772801,0.42843415685549385,0.0,0.0,0.0,0.0,0.0,1.210094948049402,24.132359046936035
0.08,0.01,6.500000039028794,1.0875864233340067,0.09202616461242788,0.5035341568554939,0.0,0.0,0.0,0.0,0.0,1.210094948049402,24.132359046936035
0.09,0.01,6.454940039028794,1.036218908417857,0.10290202884576795,0.5685341572457818,0.0,0.0,0.0,0.0,0.0,1.210094948049402,24.132359046936035
0.09999999999999999,0.01,6.415940038794621,0.9872775193678269,0.11326421792994652,0.6330835576360698,0.0,0.0,0.0,0.0,0.0,1.210094948049402,24.132359046936035
0.10999999999999999,0.01,6.3772103985604485,0.9406476684890233,0.12313699312362479,0.697242958024016,0.0,0.0,0.0,0.0,0.0,1.210094948049402,26.540898971557617
0.11999999999999998,0.01,7.013105937221723,0.896220180117471,0.13254346980851503,0.7610150620096205,0.0,0.0,0.0,0.0,0.0,1.210094948049402,26.540898971557617
0.12999999999999998,0.01,6.97484267483036,0.8538910350354649,0.14150567160968974,0.8311461213818377,0.0,0.0,0.0,0.0,0.0,1.210094948049402,27.7504589176178
0.13999999999999999,0.01,7.27144082410388,0.8135611269301788,0.1500445819600444,0.9008945481301414,0.0,0.0,0.0,0.0,0.0,1.210094948049402,27.7504589176178
