time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbit}.r.angle,{rabbit}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3148147031690618,17.1151394367218
0.01,0.01,4.792239042282104,1.575846551506129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3148147031690618,17.1151394367218
0.02,0.01,4.792239042282104,1.575846551506129,0.01575846551506129,0.047922390422821044,0.0,0.0,0.0,0.0,0.0,1.3148147031690618,17.118119382858275
0.03,0.01,4.764319992946625,1.5049334566883532,0.03151693103012258,0.09584478084564209,0.0,0.0,0.0,0.0,0.0,1.3148147031690618,17.117639436721802
0.04,0.01,4.735432173774719,1.4340203618705774,0.046566265597006114,0.14348798077510833,0.0,0.0,0.0,0.0,0.0,1.3148147031690618,17.12089940071106
0.05,0.01,4.707759043734032,1.3662983563196016,0.060906469215711884,0.19084230251285553,0.0,0.0,0.0,0.0,0.0,1.3148147031690618,17.12089940071106
0.060000000000000005,0.01,4.6793464506913836,1.3017674400354258,0.0745694527789079,0.23791989295019583,0.0,0.0,0.0,0.0,0.0,1.3148147031690618,17.12089940071106
0.07,0.01,4.651099896428979,1.2402840140010434,0.08758712717926216,0.2847133574571097,0.0,0.0,0.0,0.0,0.0,1.3148147031690618,17.12089940071106
0.08,0.01,4.623023817724831,1.1817044791994493,0.0999899673192726,0.33122435642139947,0.0,0.0,0.0,0.0,0.0,1.3148147031690618,17.12089940071106
0.09,0.01,4.595117218346257,1.1258916985694025,0.11180701211126709,0.3774545945986478,0.0,0.0,0.0,0.0,0.0,1.3148147031690618,17.119339418411254
0.09999999999999999,0.01,4.5669422803959625,1.072714997005427,0.12306592909696111,0.42340576678211034,0.0,0.0,0.0,0.0,0.0,1.3148147031690618,17.115559425354004
0.10999999999999999,0.01,4.5383131790298545,1.022049870569804,0.13379307906701537,0.46907518958607,0.0,0.0,0.0,0.0,0.0,1.3148147031690618,17.115559425354004
0.11999999999999998,0.01,4.510911525347479,0.9737776957045599,0.14401357777271342,0.5144583213763685,0.0,0.0,0.0,0.0,0.0,1.3148147031690618,17.1208394241333
0.12999999999999998,0.01,4.485160045931503,0.9277854515289186,0.15375135472975904,0.5595674366298433,0.0,0.0,0.0,0.0,0.0,1.3148147031690618,17.1208394241333
0.13999999999999999,0.01,4.458094576779418,0.8839654552222134,0.1630292092450482,0.6044190370891583,0.0,0.0,0.0,0.0,0.0,1.3148147031690618,17.1208394241333
0.15,0.01,4.431183616503829,0.8422151099034121,0.17186886379727034,0.6489999828569525,0.0,0.0,0.0,0.0,0.0,1.3148147031690618,17.1208394241333
0.16,0.01,4.404435049043153,0.8024366644184124,0.18029101489630447,0.6933118190219908,0.0,0.0,0.0,0.0,0.0,1.3148147031690618,17.1208394241333
0.17,0.01,4.377847947344129,0.7645369844727589,0.1883153815404886,0.7373561695124223,0.0,0.0,0.0,0.0,0.0,1.3148147031690618,17.116359405517578
