time,step-size,{KF}.kf.steer_angle_p,{KF}.kf.theta_p,{KF}.kf.velocity_p,{KF}.kf.x_p,{KF}.kf.y_p,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{mq-local}.l.angle,{mq-local}.l.distance,{mq-networked}.n.steer_angle_s,{mq-networked}.n.theta_s,{mq-networked}.n.velocity_s,{mq-networked}.n.x_s,{mq-networked}.n.y_s
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.046203317642211,0.0,0.0,0.0,0.0,0.0
0.01,0.01,0.009406231705244525,0.0013810809727401192,0.0013555872102496962,0.001369239351677624,0.0013673231699580877,2.532936928939819,-0.007747524835330005,4.221561548233032,-0.034863861758985024,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.051489715576173,0.0,0.0,0.0,0.0,0.0
0.02,0.01,0.008544884269635396,7.690777147445217E-4,0.013853664599021995,6.472610948840337E-4,7.089824968179916E-4,2.534417120361328,-0.007747524835330005,4.224028533935547,-0.034863861758985024,-3.4863861758985026E-4,0.0,0.02532936928939819,0.0,0.0,-0.02908882086657205,9.046322259902954,0.0,0.0,0.0,0.0,0.0
0.03,0.01,0.007752563148151837,5.631217324359499E-4,0.02539838832131283,3.858796322113484E-4,4.587234405167499E-4,2.517772611199188,-0.007747524835330005,4.221617054621379,-0.0332949879798307,-6.972772351797005E-4,-2.674378149990842E-7,0.05067354049301147,2.532936928939819E-4,0.0,-0.02908882086657205,9.046322259902954,0.0,0.0,0.0,0.0,0.0
0.04,0.01,0.007034426160286119,4.687513877356486E-4,0.035754556382494425,2.831765173792413E-4,3.240892441412512E-4,2.50256610847702,-0.007747524835330005,4.221617054621379,-0.03172611420067637,-0.0010302271149780075,-2.674378149990842E-7,0.07585126660500335,7.600290978240784E-4,-1.3552020947718442E-10,-0.02908882086657205,9.046322259902954,0.0,0.0,0.0,0.0,0.0
0.05,0.01,0.006381863736764444,4.195162652021845E-4,0.044838066183422134,2.642792994043368E-4,2.3936952888876348E-4,2.4874594728098254,-0.007747524835330005,4.221617054621379,-0.030227839741583988,-0.0013474882569847711,-9.388422059113255E-6,0.10087692768977355,0.0015185408645242426,-1.1681833469545052E-6,-0.02908882086657205,9.046322259902954,0.0,0.0,0.0,0.0,0.0
0.060000000000000005,0.01,0.005787093650997668,3.920837803032634E-4,0.05262166695542396,2.9663988496602116E-4,1.8143027220907733E-4,2.472444076158963,-0.007747524835330005,4.221617054621379,-0.028800164602553552,-0.001649766654400611,2.3082718925546936E-5,0.1257515224178718,0.0025273096441592387,-1.6656141183257781E-7,-0.02908882086657205,9.046322259902954,0.0,0.0,0.0,0.0,0.0
0.07,0.01,0.005243545248826102,3.7623433371810505E-4,0.05914828668110943,3.607433500294148E-4,1.3989484002030651E-4,2.457519319322104,-0.007747524835330005,4.221617054621379,-0.027439911814182275,-0.0019377683004261465,-1.2806861068952733E-4,0.15047596317946144,0.003784824678300532,-8.579006002074338E-7,-0.02908882086657205,9.047818355560302,0.0,0.0,0.0,0.0,0.0
0.08,0.01,0.004745646485362292,3.668816363350643E-4,0.06451279033782834,4.430309113515427E-4,1.0929117932945315E-4,2.4431035616492074,-0.007747524835330005,4.2223152325948075,-0.02614390440706736,-0.0022121674185679695,3.376162857536958E-4,0.17505115637268248,0.0052895302412840055,-1.3614005227098131E-5,-0.02908882086657205,9.048097190856934,0.0,0.0,0.0,0.0,0.0
0.09,0.01,0.0042886350156493835,3.6129077403148334E-4,0.06884412470556533,5.336812470369257E-4,8.637347571092171E-5,2.4284365196163322,-0.007747524835330005,4.222445355733236,-0.02490910837542916,-0.0024736064626386433,-9.235536093272967E-4,0.19948219198917455,0.007039653724189097,2.3244227577606174E-5,-0.02327105669325769,9.04525975227356,0.0,0.0,0.0,0.0,0.0
0.09999999999999999,0.01,0.0038684107850817835,3.579197418093958E-4,0.07227726348475848,6.257341851154942E-4,6.904443678531103E-5,2.4129834154430925,-0.006198019868264017,4.221121217727662,-0.016759860325314183,-0.002722697546392935,0.0017538997918419732,0.2237665571853379,0.009032530560012622,-6.482625169102034E-5,-0.02327105669325769,9.04525975227356,0.0,0.0,0.0,0.0,0.0
0.10999999999999999,0.01,0.003548273772894257,3.5587353546384475E-4,0.07494294331573784,7.144561030595643E-4,5.586415954713624E-5,2.3984127963253945,-0.006198019868264017,4.221121217727662,-0.01563895044841987,-0.002890296149646077,-0.0030183807297831295,0.24789639133976882,0.011265520172684854,7.975798381141247E-5,-0.02327105669325769,9.04525975227356,0.0,0.0,0.0,0.0,0.0
