time,step-size,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbit}.r.angle,{rabbit}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.50447724693686,134.50447724693686,1.4428055149819792,28.64473885536194
0.01,0.01,7.51,0.38427723183236967,13.367544799168906,1.7292475432456635,0.0,0.0,0.0,0.0,1.0,134.5211884912533,134.5211884912533,1.4428055149819792,28.644618859291075
0.02,0.01,7.51,0.38427723183236967,13.367488801002501,1.7292475432456635,0.017292475432456635,0.0751,0.0,0.0,1.0,134.54178495747286,134.54178495747286,1.4428055149819792,28.643958859443664
0.03,0.01,7.51,0.38427723183236967,13.36718080107371,1.6514314037996085,0.03458495086491327,0.1502,0.0,0.0,1.0,134.54178495747286,134.54178495747286,1.4428055149819792,28.64515887737274
0.04,0.01,7.51,0.38427723183236967,13.367740809440612,1.573615264353554,0.05109926490290935,0.2253,0.0,0.0,1.0,134.54178495747286,134.54178495747286,1.4428055149819792,28.647298865318295
0.05,0.01,7.51,0.38427723183236967,13.368739470481872,1.4993008511825714,0.0668354175464449,0.3004,0.0,0.0,1.0,134.5831440137858,134.5831440137858,1.4428055149819792,28.64515884399414
0.060000000000000005,0.01,7.51,0.38427723183236967,13.367740793863932,1.4284881642866614,0.0818284260582706,0.3755,0.0,0.0,1.0,134.59848561094316,134.59848561094316,1.4428055149819792,28.64395887374878
0.07,0.01,7.51,0.38427723183236967,13.367180807749431,1.3610196259834457,0.09611330770113721,0.4506,0.0,0.0,1.0,134.59848561094316,134.59848561094316,1.4428055149819792,28.64707883834839
0.08,0.01,7.51,0.38427723183236967,13.368636791229248,1.2967376585905461,0.10972350396097166,0.5257000000000001,0.0,0.0,1.0,134.6237376787195,134.6237376787195,1.4428055149819792,28.646258850097656
0.09,0.01,7.51,0.38427723183236967,13.368254130045573,1.2354917754212908,0.12269088054687713,0.6008,0.0,0.0,1.0,134.6237376787195,134.6237376787195,1.4428055149819792,28.64133885383606
0.09999999999999999,0.01,7.51,0.38427723183236967,13.365958131790162,1.1771385807847166,0.13504579830109004,0.6759,0.0,0.0,1.0,134.6237376787195,134.6237376787195,1.4428055149819792,28.643158864974975
0.10999999999999999,0.01,7.51,0.38427723183236967,13.366807470321655,1.1215414508907584,0.1468171841089372,0.7509999999999999,0.0,0.0,1.0,134.6237376787195,134.6237376787195,1.4428055149819792,28.64267884731293
0.11999999999999998,0.01,7.51,0.38427723183236967,13.366583462079367,1.0685702147554461,0.1580325986178448,0.8260999999999998,0.0,0.0,1.0,134.6237376787195,134.6237376787195,1.4428055149819792,28.646818857192994
0.12999999999999998,0.01,7.51,0.38427723183236967,13.368515466690065,1.0181008494653618,0.16871830076539926,0.9011999999999998,0.0,0.0,1.0,134.65863995701446,134.65863995701446,1.4428055149819792,28.64577883720398
0.13999999999999999,0.01,7.480098074417115,0.38427723183236967,13.368030124028525,0.9700151898013668,0.17889930926005287,0.9762999999999997,0.0,0.0,1.0,134.65863995701446,134.65863995701446,1.4486232791552935,27.4126589012146
0.15,0.01,7.0897644923400875,0.3858267367994357,12.792574153900146,0.9311734239272227,0.18859946115806653,1.051100980744171,0.0,0.0,1.0,134.65863995701446,134.65863995701446,1.4428055149819792,28.645738849639898
0.16,0.01,7.3901462894526695,0.38427723183236967,13.368011463165287,0.8805499680343641,0.19791119539733876,1.1219986256675718,0.0,0.0,1.0,134.65863995701446,134.65863995701446,1.4428055149819792,28.648938827514648
0.17,0.01,7.348503696303558,0.38427723183236967,13.369504786173502,0.8386471639576392,0.2067166950776824,1.1959000885620985,0.0,0.0,1.0,134.65863995701446,134.65863995701446,1.4428055149819792,28.647798862457275
0.18000000000000002,0.01,7.303843628350778,0.38427723183236967,13.368972802480062,0.7990224153960928,0.2151031667172588,1.269385125525134,0.0,0.0,1.0,134.7018775253088,134.7018775253088,1.4428055149819792,28.64575886726379
0.19000000000000003,0.01,7.259181407518781,0.38427723183236967,13.368020804723102,0.7612832930179989,0.2230933908712197,1.3424235618086418,0.0,0.0,1.0,134.7018775253088,134.7018775253088,1.4428055149819792,28.646338863372804
0.20000000000000004,0.01,7.2155207446592,0.38427723183236967,13.368291469573975,0.7253272843251748,0.2307062238013997,1.4150153758838295,0.0,0.0,1.0,134.7018775253088,134.7018775253088,1.4428055149819792,28.646718854904176
0.21000000000000005,0.01,7.1720720538428715,0.38427723183236967,13.368468798955282,0.6910695361393648,0.23795949664465146,1.4871705833304216,0.0,0.0,1.0,134.7018775253088,134.7018775253088,1.4428055149819792,28.645738859176635
0.22000000000000006,0.01,7.128504530571205,0.38427723183236967,13.368011467615764,0.658429808344732,0.24487019200604512,1.5588913038688503,0.0,0.0,7.510000228881836,134.72293588518394,134.72293588518394,1.4428055149819792,28.646898865699768
0.23000000000000007,0.01,7.085796900074624,0.38427723183236967,13.368552803993225,0.6273316792184604,0.25145449008949244,1.6301763491745624,0.0,0.0,1.0,134.743832771415,134.743832771415,1.4428055149819792,28.645498847961427
0.24000000000000007,0.01,7.042633867924462,0.38427723183236967,13.367899462381999,0.5977023378429476,0.25772780688167707,1.7010343181753087,0.0,0.0,1.0,134.743832771415,134.743832771415,1.4428055149819792,28.64363887310028
