time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{rabbitmq}.r.angle,{rabbitmq}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.058177641733144325,14.752972602844238
0.01,0.01,2.2719577808380134,0.06972772351797031,0.0,0.0,0.058177641733144325,14.752972602844238
0.02,0.01,2.2719577808380134,0.06972772351797031,6.972772351797031E-4,0.022719577808380135,0.058177641733144325,14.752972602844238
0.03,0.01,2.259462013043404,0.06658997595966165,0.0013945544703594063,0.04543915561676027,0.058177641733144325,14.752972602844238
0.04,0.01,2.246966245248795,0.06345222840135298,0.0020604542299560227,0.06803377574719431,0.058177641733144325,14.752972602844238
0.05,0.01,2.2345392041770564,0.06045567948316821,0.0026949765139695527,0.09050343819968226,0.03490658503988664,14.760275840759276
0.060000000000000005,0.01,2.223305588467104,0.029709239797919257,0.003299533308801235,0.11284883024145283,0.058177641733144325,14.752721786499023
0.07,0.01,2.209852298488051,0.05487982362836476,0.0035966257067804276,0.13508188612612387,0.058177641733144325,14.752204895019531
0.08,0.01,2.19754451646364,0.05354290783745838,0.004145423943064075,0.1571804091110044,0.058177641733144325,14.752204895019531
0.09,0.01,2.185390328821956,0.05107331577418198,0.0046808530214386595,0.1791558542756408,0.058177641733144325,14.752204895019531
0.09999999999999999,0.01,2.173303833981406,0.04866388492149635,0.005191586179180479,0.20100975756386036,0.058177641733144325,14.747763633728027
0.10999999999999999,0.01,2.160600232933993,0.04636558571165816,0.0056782250283954425,0.2227427959036744,0.058177641733144325,14.757051467895508
0.11999999999999998,0.01,2.1500773883088877,0.044175710890190824,0.006141880885512024,0.24434879823301434,0.058177641733144325,14.749284744262695
0.12999999999999998,0.01,2.1369980115882976,0.04208925953316621,0.006583637994413932,0.2658495721161032,0.058177641733144325,14.753705024719238
0.13999999999999999,0.01,2.1258533091429066,0.040101352543107614,0.0070045305897455945,0.2872195522319862,0.058177641733144325,14.753705024719238
0.15,0.01,2.1140998200791707,0.038207335864115136,0.00740554411517667,0.30847808532341525,0.058177641733144325,14.753705024719238
0.16,0.01,2.1024076268788847,0.0364027749996753,0.007787617473817822,0.32961908352420694,0.058177641733144325,14.754758834838867
0.17,0.01,2.090942364626872,0.034683444885790116,0.008151645223814575,0.35064315979299576,0.06399540590645869,14.740852355957031
0.18000000000000002,0.01,2.0772375249312356,0.040018092362601676,0.008498479672672477,0.3715525834392645,0.06399540590645869,14.755067825317385
0.19000000000000003,0.01,2.067926524207282,0.03845733734274112,0.008898660596298492,0.39232495868857686,-0.040724349213201005,14.731690406799316
0.20000000000000004,0.01,2.0529015953683776,-0.0888533791459224,0.009283233969725904,0.41300422393064967,-0.040724349213201005,14.731690406799316
0.21000000000000005,0.01,2.0415279994852376,-0.09058395932634576,0.00839470017826668,0.43353323988433345,-0.040724349213201005,14.731690406799316
0.22000000000000006,0.01,2.0302370407107118,-0.08658555726477926,0.007488860585003223,0.45394851987918583,-0.040724349213201005,14.731690406799316
0.23000000000000007,0.01,2.0190086367135427,-0.0825092790950937,0.00662300501235543,0.47425089028629297,0.04654211338651559,14.719807624816896
0.24000000000000007,0.01,2.0060123845643414,0.025978656258776975,0.005797912221404493,0.4944409766534284,0.04654211338651559,14.722896575927734
0.25000000000000006,0.01,1.995383535533486,0.02969157381805619,0.006057698783992263,0.5145011004990718,0.058177641733144325,14.727325439453123
0.26000000000000006,0.01,1.9850325124012917,0.042468078990005126,0.006354614522172825,0.5344549358544067,0.058177641733144325,14.727325439453123
0.2700000000000001,0.01,1.9740579029558576,0.04113195816819261,0.006779295312072876,0.5543052609784197,0.058177641733144325,14.727325439453123
0.2800000000000001,0.01,1.9631402241376505,0.03922089461364237,0.007190614893754802,0.5740458400079783,0.058177641733144325,14.719762802124023
0.2900000000000001,0.01,1.951118259522712,0.037369956496073706,0.007582823839891225,0.5936772422493548,0.058177641733144325,14.70833969116211
0.3000000000000001,0.01,1.93856182920182,0.0356050162384598,0.007956523404851963,0.6131884248445819,0.058177641733144325,14.713112831115724
0.3100000000000001,0.01,1.928565742327302,0.03392336819613648,0.00831257356723656,0.6325740431366002,0.04654211338651559,14.69136905670166
0.3200000000000001,0.01,1.914555111006926,0.018375597761811892,0.008651807249197925,0.6518597005598732,0.04654211338651559,14.69136905670166
0.3300000000000001,0.01,1.903947999424126,0.016849046192985745,0.008835563226816045,0.6710052516699424,0.04654211338651559,14.69136905670166
0.34000000000000014,0.01,1.8934179463135878,0.01602214429370421,0.009004053688745902,0.6900447316641837,0.04654211338651559,14.69136905670166
0.35000000000000014,0.01,1.8829462323167552,0.015263937215019851,0.009164275131682944,0.7089789111273196,0.05235987755982996,14.68774127960205
0.36000000000000015,0.01,1.8719737559386906,0.02151571307360011,0.009316914503833143,0.7278083734504871,0.03490658503988664,14.662528038024902
0.37000000000000016,0.01,1.8577347124580672,-8.948115646689823E-5,0.009532071634569143,0.746528111009874,0.040724349213201005,14.657675743103027
0.38000000000000017,0.01,1.8466916033824359,0.005915084107018046,0.009531176823004474,0.7651054581344547,0.040724349213201005,14.657675743103027
0.3900000000000002,0.01,1.8364740624639162,0.005919110759059057,0.009590327664074654,0.7835723741682791,0.040724349213201005,14.657675743103027
0.4000000000000002,0.01,1.8263172586453131,0.0056529319742432485,0.009649518771665245,0.8019371147929182,0.04654211338651559,14.655163764953612
0.4100000000000002,0.01,1.8158298066667515,0.012359344341882808,0.009706048091407677,0.8202002873793713,0.05235987755982996,14.62916088104248
