time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.theta_s,{odom}.o.x_s,{odom}.o.y_s,{rabbitmq}.r.angle,{rabbitmq}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.04839693069458
0.01,0.01,2.5335511405944824,-0.027891089407188076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.04824905395508
0.02,0.01,2.5335097351074225,-0.034863861758985024,-2.7891089407188076E-4,0.025335511405944824,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.049177560806276
0.03,0.01,2.51856841018219,-0.03360876273566156,-6.27549511661731E-4,0.05067060875701905,2.533551140594482E-4,0.0,0.0,0.0,0.0,-0.02327105669325769,9.0449613571167
0.04,0.01,2.5021868147384643,-0.025067116604710286,-9.636371390183466E-4,0.07585629285884095,7.600612016296272E-4,-1.0843618184956879E-10,0.0,0.0,0.0,-0.02908882086657205,9.04858078956604
0.05,0.01,2.488088845363187,-0.03052749463340246,-0.0012143083050654493,0.1008781610062256,0.0015186234016974151,-1.0514204460460175E-6,0.0,0.0,0.0,-0.02327105669325769,9.049432859420776
0.060000000000000005,0.01,2.4733143040340813,-0.022426702034393554,-0.0015195832513994739,0.12575904945985747,0.0025274046558805665,-2.040666439238742E-7,0.0,0.0,0.0,-0.02908882086657205,9.048516235351563
0.07,0.01,2.4581291162225236,-0.02802573712768739,-0.0017438502717434094,0.1504921925001983,0.003784995024200854,-7.676380509408111E-7,0.0,0.0,0.0,-0.02327105669325769,9.048589086532592
0.08,0.01,2.4433096287290073,-0.020043763184342735,-0.002024107643020283,0.17507348366242353,0.005289873201013593,-1.2242536936834545E-5,0.0,0.0,0.0,-0.02908882086657205,9.049504499435423
0.09,0.01,2.4288171696444647,-0.025755377365393746,-0.0022245452748637104,0.1995065799497136,0.0070403005495230445,2.0568524610455155E-5,0.0,0.0,0.0,-0.02908882086657205,9.047259101867676
0.09999999999999999,0.01,2.413528600553121,-0.024853408022098327,-0.002482099048517648,0.22379475164615825,0.009033828164673715,-5.775894154816521E-5,-2.1311494437245457E-7,2.5264827926040144E-4,0.0,-0.02327105669325769,9.044160566329955
0.10999999999999999,0.01,2.3980881075846923,-0.01672164368885866,-0.0027306331287386314,0.24793003765168947,0.011268091430680287,7.06028308383437E-5,-1.152117180541991E-6,7.575155746252282E-4,-1.0759476556714827E-10,-0.02327105669325769,9.04282512664795
0.11999999999999998,0.01,2.383233012870412,-0.015603240327864235,-0.002897849565627218,0.27191091872753637,0.013740212886825325,-1.1793327462731223E-4,-3.1288551031048365E-6,0.0015121135513745405,-9.769800589826414E-10,-0.02908882086657205,9.044339504241943
0.12999999999999998,0.01,2.3692685099512225,-0.021823538713662542,-0.00305388196890586,0.2957432488562405,0.01645080123153243,9.716111828724506E-5,-3.1288551031048365E-6,0.0015121135513745405,-9.769800589826414E-10,-0.02327105669325769,9.039497108459472
0.13999999999999999,0.01,2.3536132410549078,-0.014148620547111706,-0.0032721173560424856,0.3194359339557527,0.01939987393868864,-1.2504845016282322E-4,-3.1288551031048365E-6,0.0015121135513745405,-9.769800589826414E-10,-0.02908882086657205,9.039577989578246
0.15,0.01,2.3394202767084575,-0.02013933365679384,-0.003413603561513603,0.3429720663663018,0.022589355645850975,5.1411261656154113E-5,-2.0360468783119594E-5,0.005265932217954837,-3.089501719180232E-8,-0.02327105669325769,9.035069065093994
0.16,0.01,2.324036098406537,-0.012529873380376864,-0.003614996898081541,0.3663662691333864,0.026016493349403237,-8.167138803049929E-5,-2.0360468783119594E-5,0.005265932217954837,-3.089501719180232E-8,-0.02327105669325769,9.034791326522829
0.17,0.01,2.3099218099463603,-0.011623603365821142,-0.00374029563188531,0.3896066301174518,0.02967953914510686,-1.444182273581408E-5,-2.0360468783119594E-5,0.005265932217954837,-3.089501719180232E-8,-0.02908882086657205,9.034469499588011
0.18000000000000002,0.01,2.295887481814172,-0.018032531415501128,-0.003856531665543521,0.41270584821691536,0.03357536391282783,-5.7823873857270885E-5,-6.19072491448783E-5,0.011233282411214148,-2.294567082196846E-7,-0.02908882086657205,9.032358446121217
0.19000000000000003,0.01,2.2814368559837916,-0.01750946926403918,-0.0040368569796985325,0.4356647230350571,0.03770241883567495,-5.240362960508944E-5,-8.165349309669101E-5,0.013699207080359444,-3.821153212799858E-7,-0.02908882086657205,9.028613500595092
0.20000000000000004,0.01,2.2666129463455915,-0.016698005350341626,-0.004211951672338924,0.458479091594895,0.04205904384817014,-6.631729995311487E-5,-1.04780654136058E-4,0.016415696872308972,-6.039262022471276E-7,-0.02327105669325769,9.056036777496338
0.21000000000000005,0.01,2.2606028427420375,-0.008937306881662917,-0.00437893172584234,0.48114522105835095,0.04664382507094717,-7.574503770784371E-5,-1.3131023896537636E-4,0.019356342913854248,-9.120490191904764E-7,-0.02327105669325769,9.05121072769165
0.22000000000000006,0.01,2.2456518711186515,-0.008185896640897545,-0.004468304794658969,0.5037512494857713,0.05145526277650462,-8.755944708954406E-5,-1.3131023896537636E-4,0.019356342913854248,-9.120490191904764E-7,-0.02327105669325769,9.04808952331543
0.23000000000000007,0.01,2.2312143168368577,-0.007783717831222716,-0.004550163761067944,0.5262077681969578,0.05649275909287996,-1.0032652790284413E-4,-1.3131023896537636E-4,0.019356342913854248,-9.120490191904764E-7,-0.02908882086657205,9.048541975021362
0.24000000000000007,0.01,2.2178670920878063,-0.014388124834179275,-0.004628000939380171,0.5485199113653264,0.06175481828061351,-1.1427772395295389E-4,-2.345545365484098E-4,0.029611108405900033,-2.602155054006335E-6,-0.02327105669325769,9.049727382659912
0.25000000000000006,0.01,2.204811720325579,-0.007065085179977307,-0.004771882187721964,0.5706985822862045,0.06723999658099487,-1.293882979987256E-4,-2.7621208065208583E-4,0.033480858095528,-3.509822415660732E-6,-0.02327105669325769,9.041947994232178
0.26000000000000006,0.01,2.189326289013287,-0.00641761956243924,-0.004842533039521737,0.5927466994894603,0.07294695912407821,-1.45689040070664E-4,-2.7621208065208583E-4,0.033480858095528,-3.509822415660732E-6,-0.02908882086657205,9.042074928283691
0.2700000000000001,0.01,2.1761329602257575,-0.013072463081137208,-0.0049067092351461295,0.6146399623795932,0.07887439995046862,-1.6330225116547323E-4,-2.7621208065208583E-4,0.033480858095528,-3.509822415660732E-6,-0.02908882086657205,9.040446319580075
0.2800000000000001,0.01,2.162540992054665,-0.01278367020082744,-0.005037433865957502,0.6364012919818508,0.08502077036634,-1.8225076825657805E-4,-4.268872256205443E-4,0.04648756939850505,-7.739552945543357E-6,-0.02327105669325769,9.03477870941162
0.2900000000000001,0.01,2.147897263446143,-0.005222637010379318,-0.005165270567965776,0.6580267019023974,0.09138475087330912,-2.0256210828957977E-4,-4.857172549443465E-4,0.05131753340811796,-9.8014030066996E-6,-0.02327105669325769,9.026704416275024
0.3000000000000001,0.01,2.132661215415568,-0.004647371851342083,-0.005217496938069569,0.6795056745368588,0.09796498179558412,-2.243577773691285E-4,-4.857172549443465E-4,0.05131753340811796,-9.8014030066996E-6,-0.02327105669325769,9.02389678955078
0.3100000000000001,0.01,2.118987696352103,-0.004412353185875014,-0.00526397065658299,0.7008322866910145,0.10475999828943798,-2.477462581491688E-4,-4.857172549443465E-4,0.05131753340811796,-9.8014030066996E-6,-0.02908882086657205,9.019370012283323
0.3200000000000001,0.01,2.1049242314247216,-0.011175993804361569,-0.00530809418844174,0.7220221636545355,0.11176827659252653,-2.7273892335084486E-4,-4.857172549443465E-4,0.05131753340811796,-9.8014030066996E-6,-0.02908882086657205,9.02043469429016
0.3300000000000001,0.01,2.0925084162085232,-0.010977437910997194,-0.005419854126485355,0.7430714059687827,0.11898844915903709,-2.993582893451777E-4,-6.702111753288308E-4,0.0726744521974085,-2.693618144220733E-5,-0.02908882086657205,9.018872051239011
0.34000000000000014,0.01,2.0794413307656536,-0.010474518189800925,-0.005529628505595327,0.763996490130868,0.12641910939308745,-3.276411984037945E-4,-7.361585261756272E-4,0.07857824656403105,-3.924371524624263E-5,-0.02327105669325769,9.009419450759887
0.35000000000000014,0.01,2.064239552134248,-0.0030077611320091058,-0.005634373687493336,0.7847909034385245,0.13405901509468426,-3.5771716783032236E-4,-7.361585261756272E-4,0.07857824656403105,-3.924371524624263E-5,-0.02327105669325769,9.002655849456787
0.36000000000000015,0.01,2.0498690957847856,-0.002536407813468063,-0.005664451298813427,0.805433298959867,0.1419068589395882,-3.897046339518154E-4,-7.361585261756272E-4,0.07857824656403105,-3.924371524624263E-5,-0.02327105669325769,9.00178515434265
0.37000000000000016,0.01,2.037239863840022,-0.0024010585625276544,-0.005689815376948108,0.8259319899177149,0.14996112015011154,-4.23708457221109E-4,-9.717988576933934E-4,0.09760584965960084,-9.023548987790184E-5,-0.02908882086657205,8.997897624969482
0.38000000000000017,0.01,2.0238521410408263,-0.009259692562718537,-0.005713825962573384,0.8463043885561151,0.1582203614387529,-4.5974361984861984E-4,-0.0010595239335204323,0.10434042844462128,-1.10664162452882E-4,-0.02908882086657205,8.992696323394775
0.3900000000000002,0.01,2.0101723374168676,-0.009151644927404794,-0.00580642288820057,0.8665429099665234,0.16668331959053856,-4.978373208822498E-4,-0.001151651504224401,0.11131045028199749,-1.3271419318947424E-4,-0.02327105669325769,8.988443593978882
0.4000000000000002,0.01,1.996838460334173,-0.0017621864102855124,-0.005897939337474618,0.8866446333406921,0.17534865547617307,-5.38030236427099E-4,-0.0012481244725907482,0.11851055427281527,-1.5636541753184192E-4,-0.02327105669325769,8.984453411102296
0.4100000000000002,0.01,1.9836601751042275,-0.0013503623885522949,-0.005915561201577473,0.9066130179440338,0.18421500030983096,-5.804551566185351E-4,-0.0013493128264101392,0.1259169533166076,-1.816332468861817E-4,-0.02327105669325769,8.97221459388733
0.4200000000000002,0.01,1.968252275522032,-0.0012710640000894472,-0.005929064825462996,0.9264496196950761,0.19328101988825597,-6.252372308598358E-4,-0.0013493128264101392,0.1259169533166076,-1.816332468861817E-4,-0.02327105669325769,8.969526853561401
