time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{kf}.kf.steer_angle_p,{kf}.kf.theta_p,{kf}.kf.velocity_p,{kf}.kf.x_p,{kf}.kf.y_p,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbit}.r.angle,{rabbit}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.049241542816162
0.01,0.01,2.5337876319885253,-0.034863861758985024,0.009406231705244525,0.0013810809727401192,0.0013555872102496962,0.001369239351677624,0.0013673231699580877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.04542734146118
0.02,0.01,2.5327196556091303,-0.034863861758985024,0.008544884269635396,7.690777147436265E-4,0.013858082061812785,6.472386218845617E-4,7.089822179569651E-4,-3.4863861758985026E-4,0.0,0.025337876319885252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.04747654914856
0.03,0.01,2.5180907079696655,-0.0332949879798307,0.007752563148151837,5.631217348693919E-4,0.02539025068585416,3.85932789745168E-4,4.58724018206088E-4,-6.972772351797005E-4,-2.675276356977205E-7,0.05066507287597656,2.5337876319885254E-4,0.0,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.046374416351318
0.04,0.01,2.502585792852783,-0.03172611420067637,0.007034426160280918,4.6875138751060547E-4,0.03575105168875947,2.831733458098423E-4,3.2408923413046687E-4,-0.0010302271149780075,-2.675276356977205E-7,0.07584597995567322,7.600294919586001E-4,-1.3554307158962556E-10,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.04933268547058
0.05,0.01,2.4883055639583582,-0.02325506738978704,0.006381863819711542,4.1951626814438884E-4,0.04483562607946072,2.642625108292719E-4,2.3936938235428424E-4,-0.0013474882569847711,-9.388368490444205E-6,0.10087183788420104,0.0015184883919557525,-1.1682788339130618E-6,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.048774213790894
0.060000000000000005,0.01,2.4731336771309302,-0.021827392250756607,0.00585346666451023,3.920837895331558E-4,0.052626212005181826,2.965882683225666E-4,1.814297551253421E-4,-0.0015800389308826416,2.3084975577635987E-5,0.1257548935237846,0.002527206272881427,-1.6602414041538166E-7,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.04697060585022
0.07,0.01,2.4576988335237906,-0.02078091421821619,0.005373321295724193,3.76234330747292E-4,0.0591570368368059,3.6069914816005364E-4,1.3989439254915553E-4,-0.0017983128533902077,-1.2807948445753148E-4,0.15048623029509392,0.0037847550178882134,-8.577247239274277E-7,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.047246770858765
0.08,0.01,2.4429373576633977,-0.019798681566932146,0.004933180419453402,3.668816384599428E-4,0.06452091336630984,4.4302768649094495E-4,1.0929115002861542E-4,-0.00200612199557237,3.385464495089006E-4,0.17506321863033183,0.005289564023508014,-1.3522930934322841E-5,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.047246236801149
0.09,0.01,2.428191015126122,-0.02583631277890936,0.004528674828796531,3.6129077703601876E-4,0.0688491258072694,5.3371905124688E-4,8.63738611907298E-5,-0.002204108811241691,-9.227245318282087E-4,0.1994925922069658,0.007039804804172915,2.349411133886821E-5,-0.001029332942530381,0.0,0.025296193869280614,0.0,0.0,-0.02327105669325769,9.046296224594116
