time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.x,{model}.m.y,{odom}.o.velocity_s,{rabbit}.r.angle,{rabbit}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.04724331855774
0.01,0.01,2.111023440996806,-0.0030990099341320085,0.0,0.0,0.0,0.0,-0.02908882086657205,9.04983736038208
0.02,0.01,2.1116287174224855,-0.0038737624176650026,-3.099009934132009E-5,0.0,0.0,0.0,-0.02908882086657205,9.048744688034056
0.03,0.01,2.1113737605412797,-0.0038582673679943428,-6.972772351797012E-5,2.1110234409968062E-4,0.0,0.0,-0.02327105669325769,9.047050790786743
0.04,0.01,2.1109785178502403,-0.0030641460723730236,-1.0831039719791356E-4,6.333675599416097E-4,-8.36612334431628E-12,0.0,-0.02908882086657205,9.04682774543762
0.05,0.01,2.1109264739354447,-0.0038196072190660457,-1.3895185792164378E-4,0.001266770151837663,-7.739525642730469E-11,0.0,-0.02327105669325769,9.048651838302613
0.060000000000000005,0.01,2.111352095603943,-0.003029534005171187,-1.7714793011230424E-4,0.002111270579415211,-1.6499822932626554E-7,0.0,-0.02908882086657205,9.04879804611206
0.07,0.01,2.1113862107594805,-0.0037851884526088507,-2.074432701640161E-4,0.003166863667482261,-8.531415855034036E-8,0.0,-0.02327105669325769,9.045551557540891
0.08,0.01,2.1106286967595413,-0.0029952882990500005,-2.452951546901046E-4,0.0044335919681038685,-7.948496816805362E-8,0.0,-0.02327105669325769,9.047317132949829
0.09,0.01,2.11104066435496,-0.002976362356786956,-2.7524803768060464E-4,0.005911457910985082,-1.7804139126268126E-6,0.0,-0.02327105669325769,9.049308071136474
0.09999999999999999,0.01,2.111505216598511,-0.002961385915291706,-3.050116612484742E-4,0.007600380831775846,3.037039965493914E-6,0.0,-0.02327105669325769,9.046567459106445
0.10999999999999999,0.01,2.1108657404581703,-0.0029465041035077713,-3.3462552040139127E-4,0.009500377208082465,-8.897401506836658E-6,0.0,-0.02327105669325769,9.049213981628418
0.11999999999999998,0.01,2.111483262379964,-0.002931697173931313,-3.64090561436469E-4,0.011611454553877009,1.2361108389159426E-5,0.0,-0.02327105669325769,9.049213981628418
0.12999999999999998,0.01,2.111483262379964,-0.002916964653413774,-3.9340753317578214E-4,0.013933476310278267,-2.1658656446374172E-5,0.0,-0.02327105669325769,9.048987636566162
0.13999999999999999,0.01,2.1114304485321043,-0.0029023061675441174,-4.225771797099199E-4,0.01646651309207331,2.2363033252068917E-5,0.0,-0.02327105669325769,9.049563674926755
0.15,0.01,2.1115648574829096,-0.0028877213442770485,-4.5160024138536105E-4,0.019210605866301775,-2.8687827211653053E-5,0.0,-0.02327105669325769,9.047187395095824
0.16,0.01,2.1110103921890255,-0.002873209813439328,-4.804774548281315E-4,0.022165921088177942,1.9658743899869747E-5,0.0,-0.02908882086657205,9.044866943359375
0.17,0.01,2.1104689534505208,-0.0036335236902509368,-5.092095529625248E-4,0.025332515769722678,-2.1881402043848367E-5,0.0,-0.02327105669325769,9.04627731323242
0.18000000000000002,0.01,2.1107980397542314,-0.002844405157650746,-5.455447898650342E-4,0.02871036751131367,6.165143442273714E-6,0.0,-0.02908882086657205,9.043376302719116
0.19000000000000003,0.01,2.1101211373011273,-0.0036009900227324857,-5.739888414415417E-4,0.03229933514445392,-1.2287752095267025E-5,0.0,-0.02327105669325769,9.0429070186615
0.20000000000000004,0.01,2.1100116376876836,-0.0028120155134112377,-6.099987416688666E-4,0.03609942212909184,-4.543768077983948E-6,0.0,-0.02908882086657205,9.043392152786256
0.21000000000000005,0.01,2.1101248356501263,-0.0035687630468305693,-6.381188968029789E-4,0.040110525933479864,-9.598135136108967E-6,0.0,-0.02327105669325769,9.041006202697751
0.22000000000000006,0.01,2.109568113962809,-0.002779950485730519,-6.738065272712846E-4,0.044332634084534236,-9.713987567928095E-6,0.0,-0.02327105669325769,9.038632278442384
0.23000000000000007,0.01,2.109014198303223,-0.002762106670496366,-7.016060321285897E-4,0.04876575428186664,-1.1686596067317425E-5,0.0,-0.02908882086657205,9.034602699279786
0.24000000000000007,0.01,2.108073963165283,-0.0035229594016007075,-7.292270988335534E-4,0.05340983141963109,-1.3383018234019143E-5,0.0,-0.02908882086657205,9.035389585494997
0.25000000000000006,0.01,2.1082575699488326,-0.003509148868248226,-7.644566928495604E-4,0.058264809883973034,-1.5361406675105216E-5,0.0,-0.02327105669325769,9.035706434249878
0.26000000000000006,0.01,2.1083315013249715,-0.002716781587707228,-7.995481815320427E-4,0.06333059568838625,-1.751867897650054E-5,0.0,-0.02327105669325769,9.032216787338257
0.2700000000000001,0.01,2.1075172503789266,-0.002699235843365987,-8.26715997409115E-4,0.06860720717551676,-1.9891730331940716E-5,0.0,-0.02908882086657205,9.027442836761477
0.2800000000000001,0.01,2.1064033285776778,-0.003460404418960445,-8.53708355842775E-4,0.07409465172797346,-2.249694060547658E-5,0.0,-0.02908882086657205,9.06134243965149
0.2900000000000001,0.01,2.114313235918681,-0.003446908239743615,-8.883124000323794E-4,0.07979284791370381,-2.5341860497436516E-5,0.0,-0.02327105669325769,9.057746753692626
0.3000000000000001,0.01,2.1134742425282793,-0.002654853734115819,-9.227814824298156E-4,0.08570168433217437,-2.8436357820055443E-5,0.0,-0.02908882086657205,9.058522052764893
0.3100000000000001,0.01,2.113655145645142,-0.0034123716764500947,-9.493300197709738E-4,0.09182195195897772,-3.1802274352479555E-5,0.0,-0.02908882086657205,9.05298851966858
