time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbit}.r.angle,{rabbit}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5335555269474516E-14,0.013114438392221928,0.005011026578642941,-5.025919115378613,-0.08702656367198938,-0.02327105669325769,11.299816884994506
0.01,0.01,3.1639487277984615,-0.027891089407188076,0.0,0.0,0.0,0.0,3.5335555269474516E-14,0.013114438392221928,0.005011026578642941,-5.025919115378613,-0.08702656367198938,-0.02327105669325769,11.301885938644409
0.02,0.01,3.1645280628204344,-0.027891089407188076,-2.7891089407188076E-4,0.031639487277984615,0.0,0.0,3.5335555269474516E-14,0.013114438392221928,0.005011026578642941,-5.025919115378613,-0.08702656367198938,-0.02327105669325769,11.301386861801149
0.03,0.01,3.145404628937531,-0.026635990383864612,-5.578217881437615E-4,0.06328476790618896,3.163948727798462E-4,0.0,3.5335555269474516E-14,0.013114438392221928,0.005011026578642941,-5.025919115378613,-0.08702656367198938,-0.02327105669325769,11.300733823776245
0.04,0.01,3.1262346099136353,-0.02538089136054115,-8.241816919824076E-4,0.09473881419556426,9.492425518417133E-4,-1.6912859806830583E-10,3.5335555269474516E-14,0.013114438392221928,0.005011026578642941,-5.025919115378613,-0.08702656367198938,-0.02327105669325769,11.299127473831176
0.05,0.01,3.106912404155391,-0.024182271793267242,-0.001077990605587819,0.12600116029470063,0.0018966302609239758,-9.058169781090824E-7,-2.786779870185003E-4,0.013114438392221952,0.010017007257268062,-5.025643788428862,-0.08702295270665196,-0.02327105669325769,11.302143878936768
0.060000000000000005,0.01,3.0889995899254745,-0.023040131682042893,-0.0013198133235204914,0.15707028433625453,0.0031566418635383406,-8.768641839992708E-7,-2.786779870185003E-4,0.013114438392221952,0.010017007257268062,-5.025643788428862,-0.08702295270665196,-0.02327105669325769,11.299983034133913
0.07,0.01,3.0697530789557432,-0.021951929451345865,-0.0015502146403409203,0.18796028023550929,0.0047273447056944435,-9.384265426969865E-7,-2.786779870185003E-4,0.013114438392221952,0.010017007257268062,-5.025643788428862,-0.08702295270665196,-0.02327105669325769,11.300700702667235
0.08,0.01,3.0514200286055204,-0.020915123525653934,-0.001769733934854379,0.2186578110250667,0.0066069371542690275,-7.177167002030078E-6,-2.786779870185003E-4,0.013114438392221952,0.010017007257268062,-5.025643788428862,-0.08702295270665196,-0.02327105669325769,11.302060394287109
0.09,0.01,3.0333822237853503,-0.019927286700343372,-0.001978885170110918,0.2491720113111219,0.008793497655204572,1.598251841572682E-6,-2.786779870185003E-4,0.013114438392221952,0.010017007257268062,-5.025643788428862,-0.08702295270665196,-0.02327105669325769,11.29818618774414
0.09999999999999999,0.01,3.013988925781686,-0.018986106141688944,-0.002178158037114352,0.2795058335489754,0.01128514972805151,-1.6815600567455366E-5,-0.0016354944845577708,0.013110069273985376,0.13882511045518697,-5.023036554165754,-0.08698876038755564,-0.02327105669325769,11.300834951400756
0.10999999999999999,0.01,2.9965302862628267,-0.018089378240173492,-0.002368019098531241,0.30964572280679226,0.01408016063743902,-5.332421523921727E-7,-0.0016354944845577708,0.013110069273985376,0.13882511045518697,-5.023036554165754,-0.08698876038755564,-0.02327105669325769,11.301441173553467
0.11999999999999998,0.01,2.9786160949108957,-0.017235003463797492,-0.0025489128809329763,0.33961102566942053,0.01717654029502152,-2.245084611255109E-5,-0.0016354944845577708,0.013110069273985376,0.13882511045518697,-5.023036554165754,-0.08698876038755564,-0.02327105669325769,11.3013751411438
0.12999999999999998,0.01,2.960618424118612,-0.016420981442989684,-0.002721262915570951,0.3693971866185295,0.020572635913918134,-1.2479741117638232E-5,-0.0016354944845577708,0.013110069273985376,0.13882511045518697,-5.023036554165754,-0.08698876038755564,-0.02327105669325769,11.3026864528656
0.13999999999999999,0.01,2.94311389483125,-0.015645406287118798,-0.002885472730000848,0.3990033708597156,0.024266582357484176,-2.6184493369124043E-5,-0.002791344974067939,0.013088348628004192,0.2331103616581487,-5.017921218079031,-0.0869217257120731,-0.02327105669325769,11.300563621520997
0.15,0.01,2.9247557915100497,-0.014906462122184262,-0.003041926792872036,0.4284345098080281,0.02825661578457169,-2.7683314849259558E-5,-0.002791344974067939,0.013088348628004192,0.2331103616581487,-5.017921218079031,-0.0869217257120731,-0.02327105669325769,11.297795782089231
0.16,0.01,2.906322113100168,-0.014202418839263913,-0.0031909914140938788,0.4576820677231286,0.03254095302186473,-3.5890420841754115E-5,-0.002791344974067939,0.013088348628004192,0.2331103616581487,-5.017921218079031,-0.0869217257120731,-0.02327105669325769,11.300265083312988
0.17,0.01,2.8894649826937595,-0.013531628043765622,-0.003333015602486518,0.48674528885413026,0.03711776824959163,-4.295319501513486E-5,-0.002791344974067939,0.013088348628004192,0.2331103616581487,-5.017921218079031,-0.0869217257120731,-0.02327105669325769,11.299335136413577
0.18000000000000002,0.01,2.871766664883323,-0.012892519195998745,-0.003468331882924174,0.5156399386810678,0.04198521360021279,-5.1519459399947356E-5,-0.002791344974067939,0.013088348628004192,0.2331103616581487,-5.017921218079031,-0.0869217257120731,-0.02327105669325769,11.299335136413577
