time,step-size,{KF}.kf.x_p,{KF}.kf.y_p,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.theta_s,{odom}.o.x_s,{odom}.o.y_s,{rabbitmq}.r.angle,{rabbitmq}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009678347967565065,-7.675363540649414,-0.2872648239135742,0.01745329251994332,12.188320770263672
0.01,0.01,0.09999999962747097,0.0999999986961484,3.412729815673828,0.02091831705539112,0.0,0.0,0.0,0.0,0.009678347967565065,-7.675363540649414,-0.2872648239135742,0.01745329251994332,12.187180051803589
0.02,0.01,-7.662942826747894,0.09999999729916453,3.412410414505005,0.02091831705539112,2.091831705539112E-4,0.03412729815673828,0.0,0.0,0.009678347967565065,-7.675363540649414,-0.2872648239135742,0.01745329251994332,12.188016109466552
0.03,0.01,-7.6691500544548035,0.09999999729916453,3.3921681317565917,0.019976992787898523,4.183663411078224E-4,0.06825140230178833,3.412729815673828E-4,0.0,0.009678347967565065,-7.675363540649414,-0.2872648239135742,0.01745329251994332,12.190068378448489
0.04,0.01,-7.670880913734436,0.10034127021208405,3.372268304584504,0.019035668520405922,6.181362689868077E-4,0.10217308361935426,0.0010237870045852501,1.4755813729389963E-10,0.009678222541489274,-7.67541085744387,-0.2872652818748303,0.01745329251994332,12.18935299873352
0.05,0.01,-7.670979797840118,0.10136505728587508,3.351714989473773,0.01813670384495049,8.084929541908669E-4,0.1358957666651993,0.0020455176206336154,6.708622395560722E-7,0.009678117632133871,-7.675434605802025,-0.2872655117239021,0.01745329251994332,12.186589136123658
0.060000000000000005,0.01,-7.669823586940765,0.10341057553887367,3.3307074981155047,0.01728009876153222,9.898599926403719E-4,0.16941291655993704,0.003404475280024452,8.113442979161552E-7,0.009678117632133871,-7.675434605802025,-0.2872655117239021,0.01745329251994332,12.186872758865356
0.07,0.01,-7.667359411716461,0.10681505175307393,3.3106766225463375,0.01646394708850945,0.0011626609802556941,0.20271999154109208,0.00509860444466568,8.683217982635267E-7,0.009678117632133871,-7.675434605802025,-0.2872655117239021,0.01745329251994332,12.187375526428225
0.08,0.01,-7.663423418998718,0.11191365588456392,3.2908331524752477,0.015686342644240497,0.0013273004511407886,0.23582675776655546,0.007125800510754813,4.8188502166539945E-6,0.009678117632133871,-7.675434605802025,-0.2872655117239021,0.01745329251994332,12.18704360961914
0.09,0.01,-7.657815039157867,0.11903945729136467,3.270876156033426,0.014945465025257572,0.0014841638775831935,0.26873508929130796,0.009484064859311307,9.162618470200342E-7,0.009677152782297516,-7.675576930578423,-0.28726688915761855,0.01745329251994332,12.188682479858398
0.09999999999999999,0.01,-7.650316059589386,0.12852352065965533,3.2515900407855667,0.01423957960626675,0.0016336185278357693,0.3014438508516422,0.012171400680933362,9.916454491338727E-6,0.009676737095031054,-7.675623928869083,-0.28726734398145554,0.01745329251994332,12.187174081802368
0.10999999999999999,0.01,-7.640715181827545,0.14069492276757956,3.2315424323936774,0.01356703368013016,0.001776014323898437,0.3339597512594979,0.015185834843780104,4.797910833269792E-6,0.00967623041146552,-7.675676049600108,-0.28726784835581004,0.01745329251994332,12.188393154144286
0.11999999999999998,0.01,-7.628771483898163,0.15588075760751963,3.2123742324047013,0.012926252597848156,0.0019116846606997385,0.3662751755834347,0.018525420263710044,1.3785075121558945E-5,0.00967623041146552,-7.675676049600108,-0.28726784835581004,0.01745329251994332,12.188791265487673
0.12999999999999998,0.01,-7.61425656080246,0.1744061792269349,3.1930964489864873,0.0123157360822423,0.00204094718667822,0.3983989179074817,0.02218817196675705,1.316322799118817E-5,0.00967623041146552,-7.675676049600108,-0.28726784835581004,0.01745329251994332,12.188686532974245
0.13999999999999999,0.01,-7.596938908100128,0.1965943519026041,3.173792878488299,0.01173405471533913,0.0021641045475006434,0.4303298823973466,0.026172156609097504,1.9175596962110195E-5,0.009686254156736766,-7.674822627407038,-0.28725958873834945,0.01745329251994332,12.191137037277224
0.15,0.01,-7.576594054698944,0.22276651207357645,3.155320440999215,0.011179846591638226,0.0022814450946540346,0.4620678111822296,0.030475453715170187,2.302075988076891E-5,0.009698327729970467,-7.673857252694782,-0.2872502375810754,0.01745329251994332,12.19045548439026
0.16,0.01,-7.552940726280212,0.2532419664785266,3.136086848919935,0.010651814129447965,0.002393243560570417,0.49362101559222177,0.035096128511971345,2.855567453374081E-5,0.00971575847613848,-7.672524850782675,-0.287237315105509,0.01745329251994332,12.19150815963745
0.17,0.01,-7.525763034820557,0.28833809215575457,3.117449675343153,0.010148721032824244,0.0024997617018648966,0.5249818840814211,0.04003233501300148,3.456255537715182E-5,0.00971575847613848,-7.672524850782675,-0.287237315105509,0.01745329251994332,12.189682149887084
0.18000000000000002,0.01,-7.494831740856171,0.32837042678147554,3.0981218715195307,0.009669389396999087,0.002601248912193139,0.5561563808348526,0.045282149402991245,4.139863789927914E-5,0.00971575847613848,-7.672524850782675,-0.287237315105509,0.01745329251994332,12.189682149887084
0.19000000000000003,0.01,-7.4600237011909485,0.37365257926285267,3.0794171734674713,0.009212696950521996,0.0026979428061631302,0.587137599550048,0.050843707935701025,4.9059027917709735E-5,0.009799970534138032,-7.666626448926871,-0.28717984648347405,0.01745329251994332,12.189713249206545
