time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.x,{model}.m.y,{odom}.o.velocity_s,{rabbit}.r.angle,{rabbit}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6225007665446441,66.56825439453125
0.01,0.01,7.51,-0.08289851573803135,0.0,0.0,0.0,0.0,-0.6225007665446441,66.56692924499512
0.02,0.01,7.51,-0.08289851573803135,-8.289851573803135E-4,0.0,0.0,0.0,-0.6225007665446441,66.56937080383301
0.03,0.01,7.51,-0.0824840231593412,-0.001657970314760627,7.51E-4,0.0,0.0,-0.6225007665446441,66.56937080383301
0.04,0.01,7.51,-0.08206953058065104,-0.002482810546354039,0.002252999349931567,-1.397428048242883E-6,0.0,-0.6225007665446441,66.56937080383301
0.05,0.01,7.51,-0.08165711046485433,-0.0033035058521605496,0.004505998523211324,-3.327505956117059E-6,0.0,-0.6225007665446441,66.56937080383301
0.060000000000000005,0.01,7.51,-0.08124676281195108,-0.004120076956809093,0.0075099969613089115,-6.390822338017148E-6,0.0,-0.6225007665446441,66.56915969848633
0.07,0.01,7.51,-0.0808384772596268,-0.004932544584928604,0.011264992347773058,-1.2277046338004647E-5,0.0,-0.6225007665446441,66.56828323364257
0.08,0.01,7.51,-0.08043224344556704,-0.005740929357524872,0.015770985724565676,-2.0002866752534867E-5,0.0,-0.6225007665446441,66.56858825683594
0.09,0.01,7.51,-0.08002805105926891,-0.006545251791980543,0.021027974171461187,-3.102417371452123E-5,0.0,-0.6225007665446441,66.56858825683594
0.09999999999999999,0.01,7.51,-0.07962588984204108,-0.007345532302573232,0.02703595693688908,-4.541480682852696E-5,0.0,-0.6225007665446441,66.56858825683594
0.10999999999999999,0.01,7.51,-0.07922574958674473,-0.008141791200993643,0.03379493187957524,-6.381926663131983E-5,0.0,-0.6225007665446441,66.56858825683594
0.11999999999999998,0.01,7.51,-0.07882762013753453,-0.00893404869686109,0.04130489677394082,-8.678196239166133E-5,0.0,-0.6225007665446441,66.56124877929688
0.12999999999999998,0.01,7.51,-0.0784314913896008,-0.009722324898236434,0.04956584894612858,-1.1489261564521612E-4,0.0,-0.6225007665446441,66.56063179016114
0.13999999999999999,0.01,7.51,-0.07803735328891313,-0.010506639812132443,0.05857778525084616,-1.4877535038323675E-4,0.0,-0.6225007665446441,66.56161499023438
0.15,0.01,7.51,-0.07764519583196514,-0.011287013345021574,0.06834070200584529,-1.8909203374451377E-4,0.0,-0.6225007665446441,66.56161499023438
0.16,0.01,7.51,-0.07725500906552056,-0.012063465303341226,0.07885459491840986,-2.365454121718879E-4,0.0,-0.6225007665446441,66.56161499023438
0.17,0.01,7.51,-0.07686678308636073,-0.012836015393996432,0.09011945900320667,-2.9188211838740663E-4,0.0,-0.6225007665446441,66.56161499023438
0.18000000000000002,0.01,7.51,-0.07648050804103314,-0.01360468322486004,0.10213528849106719,-3.5589554402279926E-4,0.0,-0.6225007665446441,66.55814643859863
0.19000000000000003,0.01,7.51,-0.07609617412560132,-0.014369488305270371,0.11490207672828774,-4.2942857039015734E-4,0.0,-0.6225007665446441,66.5560400390625
0.20000000000000004,0.01,7.51,-0.07571377158539616,-0.015130450046526384,0.1284198160660523,-5.13376150774861E-4,0.0,-0.6225007665446441,66.55496208190918
0.21000000000000005,0.01,7.51,-0.07533329071476816,-0.015887587762380345,0.14268849773960712,-6.086877385284561E-4,0.0,-0.6225007665446441,66.55496208190918
