time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.x,{model}.m.y,{odom}.o.velocity_s,{rabbit}.r.angle,{rabbit}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.298060398101809
0.01,0.01,2.6362140928904223,0.0,0.0,0.0,0.0,0.0,0.0,11.299388647079468
0.02,0.01,2.636524017651876,0.0,0.0,0.0,0.0,0.0,0.0,11.298292922973634
0.03,0.01,2.636268348693848,0.0,0.0,2.6362140928904224E-4,0.0,0.0,0.0,11.299397315979004
0.04,0.01,2.636526040395101,0.0,0.0,7.908952203432721E-4,0.0,0.0,0.0,11.300491666793825
0.05,0.01,2.636781388918559,0.0,0.0,0.0015817958662668868,0.0,0.0,0.0,11.299768133163452
0.060000000000000005,0.01,2.6366125644048055,0.0,0.0,0.0026363491162300114,0.0,0.0,0.0,11.29732437133789
0.07,0.01,2.6360423533121744,0.0,0.0,0.003954580505084992,0.0,0.0,0.0,11.298984889984132
0.08,0.01,2.636429807662964,0.0,0.0,0.005536473150380453,0.0,0.0,0.0,11.297480192184448
0.09,0.01,2.6360787115097044,0.0,0.0,0.007381970031007132,0.0,0.0,0.0,11.29907844543457
0.09999999999999999,0.01,2.6364516372680664,0.0,0.0,0.009491109892400106,0.0,0.10561286350935006,0.0,11.298622751235962
0.10999999999999999,0.01,2.5835388768670495,0.0,0.0,0.011863857624944052,0.0,0.10561286350935006,0.0,11.303151321411132
0.11999999999999998,0.01,2.5845955432412557,0.0,0.0,0.014500250521214803,0.0,0.10561286350935006,0.0,11.297080249786378
0.12999999999999998,0.01,2.5831789598621464,0.0,0.0,0.01739499730517226,0.0,0.10561286350935006,0.0,11.29786747932434
0.13999999999999999,0.01,2.583362646754338,0.0,0.0,0.020548203643453843,0.0,0.23720542042929085,0.0,11.296874074935912
0.15,0.01,2.5173345739370676,0.0,0.0,0.023959727877721642,0.0,0.23720542042929085,0.0,11.296273164749143
0.16,0.01,2.5171943615601546,0.0,0.0,0.027629588376664873,0.0,0.3152466086926893,0.0,11.295591297149658
0.17,0.01,2.4780146649885757,0.0,0.0,0.03155118233300181,0.0,0.3412201406088684,0.0,11.295134878158567
0.18000000000000002,0.01,2.464921401265898,0.0,0.0,0.03572449572549476,0.0,0.3663075904281072,0.0,11.293251399993895
0.19000000000000003,0.01,2.451938198117855,0.0,0.0,0.040145610584486575,0.0,0.3663075904281072,0.0,11.29221258163452
0.20000000000000004,0.01,2.4516958071673343,0.0,0.0,0.04481321758360498,0.0,0.3909456013882959,0.0,11.291435508728028
0.21000000000000005,0.01,2.4391954846757256,0.0,0.0,0.04972601840253517,0.0,0.3909456013882959,0.0,11.28670509338379
0.22000000000000006,0.01,2.438091721095403,0.0,0.0,0.054883988802182086,0.0,0.3909456013882959,0.0,11.286464872360227
0.23000000000000007,0.01,2.4380356695232384,0.0,0.0,0.060285878750296576,0.0,0.3909456013882959,0.0,11.28588186264038
0.24000000000000007,0.01,2.437899633921941,0.0,0.0,0.0659315778705206,0.0,0.4894673405927392,0.0,11.282121315002442
0.25000000000000006,0.01,2.3877613032042,0.0,0.0,0.07182108055769697,0.0,0.5138186080347964,0.0,11.279673976898192
0.26000000000000006,0.01,2.375014623925513,0.0,0.0,0.07795437320826552,0.0,0.5138186080347964,0.0,11.277058763504028
0.2700000000000001,0.01,2.374404407466875,0.0,0.0,0.0843264419891545,0.0,0.5138186080347964,0.0,11.277104787826538
0.2800000000000001,0.01,2.3744151464754606,0.0,0.0,0.09093601223243603,0.0,0.5138186080347964,0.0,11.27545937538147
0.2900000000000001,0.01,2.3740312169049447,0.0,0.0,0.09778302291646424,0.0,0.6357206099862651,0.0,11.275572834014891
0.3000000000000001,0.01,2.313106689610342,0.0,0.0,0.10486747511514,0.0,0.6357206099862651,0.0,11.27599594116211
0.3100000000000001,0.01,2.31320541461136,0.0,0.0,0.11218933043550625,0.0,0.6357206099862651,0.0,11.271210985183716
0.3200000000000001,0.01,2.312088924883068,0.0,0.0,0.11974249642483353,0.0,0.7070917999256494,0.0,11.266918125152587
0.3300000000000001,0.01,2.275401662572779,0.0,0.0,0.12752698295562195,0.0,0.7307041595050237,0.0,11.268074693679807
0.34000000000000014,0.01,2.2638653487727765,0.0,0.0,0.1355426783788987,0.0,0.753878152480354,0.0,11.263710012435912
0.35000000000000014,0.01,2.2512599266615356,0.0,0.0,0.1437859139684327,0.0,0.753878152480354,0.0,11.262295017242431
0.36000000000000015,0.01,2.2509297611163905,0.0,0.0,0.15225553609284398,0.0,0.7994349323325309,0.0,11.257669715881349
0.37000000000000016,0.01,2.227072134206049,0.0,0.0,0.1609502842099214,0.0,0.7994349323325309,0.0,11.259600200653075
0.38000000000000017,0.01,2.2275225806527854,0.0,0.0,0.1698701253031105,0.0,0.7994349323325309,0.0,11.25537187576294
0.3900000000000002,0.01,2.226535971511754,0.0,0.0,0.17901267360972017,0.0,0.8449727247681267,0.0,11.249468383789065
0.4000000000000002,0.01,2.2023895938333853,0.0,0.0,0.18837797417439514,0.0,0.8897905436796805,-0.005817764173314366,11.248644847869873
0.4100000000000002,0.01,2.1797885259964636,-7.747524835329945E-4,0.0,0.1979659283362213,0.0,0.8897905436796805,0.0,11.247739143371582
0.4200000000000002,0.01,2.1795771949468623,0.0,-7.747524835329946E-6,0.20777412145743077,0.0,0.8897905436796805,-0.005817764173314366,11.240529403686525
