time,step-size,{controller}.c.acceleration,{controller}.c.desired_angle,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{rabbitmq_lidar}.r_lidar.angle,{rabbitmq_lidar}.r_lidar.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01745329251994332,12.472724933624267
0.01,0.01,3.4923629814147947,0.004648514901198027,0.030215346857787175,0.0,0.0,0.01745329251994332,12.472724933624267
0.02,0.01,3.4923629814147947,0.004648514901198027,0.030215346857787175,3.0215346857787175E-4,0.03492362981414795,0.01745329251994332,12.47420479774475
0.03,0.01,3.4718231654800418,0.004648514901198027,0.028251349312031007,6.043069371557435E-4,0.0698472596282959,0.01745329251994332,12.475592775344849
0.04,0.01,3.4512576213195802,0.004648514901198027,0.026287351766274843,8.868204302760536E-4,0.1045654912830963,0.01745329251994332,12.475592775344849
0.05,0.01,3.4304266823267002,0.004648514901198027,0.02445101406099283,0.001149693947938802,0.13907806749629212,0.01745329251994332,12.475341110229492
0.060000000000000005,0.01,3.4096486703664826,0.004648514901198027,0.022742336196184963,0.0013942040885487302,0.17338233431955913,0.01745329251994332,12.4747691822052
0.07,0.01,3.3889059704257205,0.004648514901198027,0.02115302028222043,0.0016216274505105798,0.20747882102322396,0.01745329251994332,12.473500871658326
0.08,0.01,3.368092951450397,0.004648514901198027,0.019674768429468407,0.0018331576533327841,0.24136788072748117,0.01745329251994332,12.473172569274904
0.09,0.01,3.3476675909604845,0.004648514901198027,0.018299822111124082,0.0020299053376274683,0.27504881024198513,0.01745329251994332,12.473172569274904
0.09999999999999999,0.01,3.3274590332517824,0.004648514901198027,0.01702096216320863,0.0022129035587387094,0.30852548615159,0.01745329251994332,12.472873458862304
0.10999999999999999,0.01,3.307289276790492,0.004648514901198027,0.015831473725985565,0.0023831131803707956,0.3418000764841078,0.01745329251994332,12.473964071273803
0.11999999999999998,0.01,3.2876298940662,0.004648514901198027,0.014725111185377004,0.0025414279176306513,0.37487296925201274,0.01745329251994332,12.474677629470824
0.12999999999999998,0.01,3.267985954700623,0.004648514901198027,0.013696065393187943,0.0026886790294844212,0.40774926819267476,0.01745329251994332,12.474624214172364
0.13999999999999999,0.01,3.248245219052657,0.004648514901198027,0.012738933166138437,0.0028256396834163006,0.440429127739681,0.01745329251994332,12.47205904006958
0.15,0.01,3.2279190545756737,0.004648514901198027,0.011848688915581222,0.002953029015077685,0.4729115799302076,0.01745329251994332,12.473269586563111
0.16,0.01,3.208768536279546,0.004648514901198027,0.011020658259782223,0.003071515904233497,0.5051907704759644,0.01745329251994332,12.476153831481934
0.17,0.01,3.1902086105293628,0.004648514901198027,0.010250493480269445,0.0031817224868313193,0.5372784558387599,0.01745329251994332,12.475334033966064
0.18000000000000002,0.01,3.1707264560072415,0.004648514901198027,0.0095341506933836,0.003284227421634014,0.5691805419440535,0.01745329251994332,12.47425971031189
0.19000000000000003,0.01,3.1512843937208967,0.004648514901198027,0.008867868617166085,0.00337956892856785,0.600887806504126,0.01745329251994332,12.475382566452026
0.20000000000000004,0.01,3.132574434704092,0.004648514901198027,0.00824814882209615,0.003468247614739511,0.632400650441335,0.01745329251994332,12.475382566452026
0.21000000000000005,0.01,3.1136667283417663,0.004648514901198027,0.007671737361980355,0.0035507291029604725,0.6637263947883759,0.01745329251994332,12.474160890579224
0.22000000000000006,0.01,3.094529212489157,0.004648514901198027,0.007135607688544105,0.003627446476580276,0.6948630620717936,0.01745329251994332,12.47365689277649
0.23000000000000007,0.01,3.075706092734341,0.004648514901198027,0.006636944760015382,0.003698802553465717,0.7258083541966852,0.01745329251994332,12.472407512664796
0.24000000000000007,0.01,3.056789091028132,0.004648514901198027,0.0061731302602600156,0.0037651720010658707,0.7565654151240286,0.01745329251994332,12.473638772964478
0.25000000000000006,0.01,3.0386796073556366,0.004648514901198027,0.005741728850859017,0.003826903303668471,0.78713330603431,0.01745329251994332,12.47403073310852
0.26000000000000006,0.01,3.0204486216498,0.004648514901198027,0.005340475383942115,0.003884320592177061,0.8175201021078663,0.01745329251994332,12.474637718200684
0.2700000000000001,0.01,3.002386499831472,0.004648514901198027,0.00496726300863628,0.003937725346016482,0.8477245883243643,0.01745329251994332,12.474701089859009
0.2800000000000001,0.01,2.9842815521659043,0.004648514901198027,0.0046201321086800405,0.003987397976102845,0.877748453322679,0.01745329251994332,12.474701089859009
0.2900000000000001,0.01,2.966267233166915,0.004648514901198027,0.00429726001311868,0.004033599297189646,0.907591268844338,0.01745329251994332,12.47415431022644
0.3000000000000001,0.01,2.9482084455568005,0.004648514901198027,0.0039969514260544785,0.004076571897320832,0.9372539411760072,0.01745329251994332,12.474823188781738
0.3100000000000001,0.01,2.930598128153282,0.004648514901198027,0.0037176295252017654,0.004116541411581377,0.9667360256315752,0.01745329251994332,12.47435926437378
0.3200000000000001,0.01,2.9127789786457132,0.004648514901198027,0.003457827682508225,0.004153717706833395,0.9960420069131081,0.01745329251994332,12.472596960067747
0.3300000000000001,0.01,2.8947019446711044,0.004648514901198027,0.003216181763370108,0.0041882959836584775,1.0251697966995652,0.01745329251994332,12.476084117889403
0.34000000000000014,0.01,2.8782016749892936,0.004648514901198027,0.0029914229640070726,0.004220457801292179,1.0541168161462762,0.01745329251994332,12.474065885543824
0.35000000000000014,0.01,2.860268358264505,0.004648514901198027,0.0027823711493880137,0.0042503720309322495,1.082898832896169,0.01745329251994332,12.475583381652832
0.36000000000000015,0.01,2.8434240471250916,0.004648514901198027,0.0025879286567275545,0.0042781957424261295,1.111501516478814,0.01745329251994332,12.475848693847656
