time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbitmq}.r.angle,{rabbitmq}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.04621868133545
0.01,0.01,2.532941230773926,-0.027891089407188076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.04817307472229
0.02,0.01,2.5334884609222414,-0.027891089407188076,-2.7891089407188076E-4,0.0,0.02532941230773926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.046539793014526
0.03,0.01,2.5178334946594236,-0.026635990383864612,-5.578217881437615E-4,2.532941230773926E-4,0.05066429691696167,2.532941230773926E-4,0.0,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.047347164154052
0.04,0.01,2.502858627812958,-0.032353663712338096,-8.241816919824076E-4,7.599370759944317E-4,0.07584263186355591,7.599370759944317E-4,1.2832968521691705E-7,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.047191867828367
0.05,0.01,2.4877081438738093,-0.024182271793267242,-0.0011477183291057885,0.0015183633101454258,0.1008712181416855,0.0015183633101454258,-2.2965163894332906E-7,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.05080738067627
0.060000000000000005,0.01,2.4737033357043443,-0.029699129278008975,-0.0013895410470384608,0.0025270727750067437,0.12574829958042358,0.0025270727750067437,2.1113818815717282E-6,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.048925867080689
0.07,0.01,2.4582502630343384,-0.021638154695515003,-0.0016865323398185506,0.003784553278776855,0.15048533293746702,0.003784553278776855,4.614854442395821E-6,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.046312656402588
0.08,0.01,2.4426763440302444,-0.027274466229801543,-0.0019029138867737007,0.005289400189587101,0.17506783556781041,0.005289400189587101,2.1963489262223922E-7,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.05204605102539
0.09,0.01,2.429532192946423,-0.019327976916706423,-0.002175658549071716,0.00703966102184795,0.19949459900811287,0.00703966102184795,3.8452135377823417E-5,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.047070989608764
0.09999999999999999,0.01,2.4134831176855864,-0.025073398288162303,-0.00236893831823878,0.009033837902527216,0.2237899209375771,0.009033837902527216,-1.6938043400430378E-5,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.048136320114136
0.10999999999999999,0.01,2.3992042170694114,-0.017230866975113567,-0.002619672301120403,0.01126777480297355,0.24792475211443296,0.01126777480297355,1.1617392506570348E-4,0.0,0.0,0.02548769512554827,0.0,0.0,-0.02908882086657205,9.043673086166384
0.11999999999999998,0.01,2.383473612857928,-0.02307533640394321,-0.0027919809708715384,0.013743229331266715,0.27191679428512705,0.013743229331266715,-2.091418329229322E-5,0.0,0.0,0.02548769512554827,0.0,0.0,-0.02327105669325769,9.042927904129028
0.12999999999999998,0.01,2.3688697365850517,-0.015327175038266154,-0.0030227343349109705,0.016453197027334943,0.29575153041370633,0.016453197027334943,2.0257941325284485E-4,0.0,-1.0076204733706906E-6,0.07510127909881703,7.556754995934974E-4,-1.0808472265948847E-10,-0.02327105669325769,9.043626718521118
0.13999999999999999,0.01,2.354764562937689,-0.014288784900088709,-0.003176006085293632,0.019407295834520423,0.31944022777955683,0.019407295834520423,6.046322279493023E-5,0.0,-1.0076204733706906E-6,0.07510127909881703,7.556754995934974E-4,-1.0808472265948847E-10,-0.02327105669325769,9.043533029556274
0.15,0.01,2.340525111608023,-0.013599062023366734,-0.0033188939342945188,0.02259472314602229,0.3429878734089337,0.02259472314602229,2.7144437426940683E-4,0.0,-5.783460684874496E-6,0.12484356930553986,0.002505993086923318,-3.606044340668336E-9,-0.02908882086657205,9.037998695373537
0.16,0.01,2.3248469106592298,-0.01992883905465969,-0.003454884554528186,0.026024432071455675,0.36639312452501394,0.026024432071455675,2.3731495351798722E-4,0.0,-5.783460684874496E-6,0.12484356930553986,0.002505993086923318,-3.606044340668336E-9,-0.02908882086657205,9.038249063491822
0.17,0.01,2.310873863062702,-0.01931688126360819,-0.003654172945074783,0.029685279237735212,0.3896415936316062,0.029685279237735212,3.876153030296272E-4,0.0,-1.734789422610128E-5,0.17320720384236665,0.005243562331097756,-2.6461449346765626E-8,-0.02327105669325769,9.03531280517578
0.18000000000000002,0.01,2.2961026292702544,-0.011447311154351554,-0.0038473417577108648,0.033580870175810545,0.41275033226223323,0.033580870175810545,4.677925564319349E-4,0.0,-1.734789422610128E-5,0.17320720384236665,0.005243562331097756,-2.6461449346765626E-8,-0.02908882086657205,9.031918687820434
0.19000000000000003,0.01,2.2812870332323816,-0.01755082384928613,-0.00396181486925438,0.037705915899193664,0.43571135855493576,0.037705915899193664,6.102055412930431E-4,0.0,-3.735357730491259E-5,0.22119401740280864,0.008947855400022294,-1.082291553525786E-7,-0.02327105669325769,9.030421199798583
0.20000000000000004,0.01,2.2670911208106417,-0.010062922495543365,-0.004137323107747242,0.042060350863145,0.4585242288872596,0.042060350863145,7.629633302822799E-4,0.0,-3.735357730491259E-5,0.22119401740280864,0.008947855400022294,-1.082291553525786E-7,-0.02908882086657205,9.029630422592165
0.21000000000000005,0.01,2.2531819809934506,-0.016245907774122437,-0.004237952332702675,0.04664186479126452,0.481195140095366,0.04664186479126452,9.478334850193651E-4,0.0,-6.742410110606307E-5,0.26922430401555175,0.013616386049014986,-3.161295008679804E-7,-0.02327105669325769,9.053714475631716
0.22000000000000006,0.01,2.2463229691196607,-0.008820303910026039,-0.004400411410443899,0.05144902330007069,0.5037269599053005,0.05144902330007069,0.001162550406458611,0.0,-6.742410110606307E-5,0.26922430401555175,0.013616386049014986,-3.161295008679804E-7,-0.02327105669325769,9.050931329727172
0.23000000000000007,0.01,2.2320245963804277,-0.00808923806019053,-0.00448861444954416,0.05648014100474857,0.5261901895964971,0.05648014100474857,0.0014114271936855548,0.0,-6.742410110606307E-5,0.26922430401555175,0.013616386049014986,-3.161295008679804E-7,-0.02908882086657205,9.05013973236084
0.24000000000000007,0.01,2.2183250113031368,-0.014665096736036304,-0.004569506830146065,0.06173425931214323,0.5485104355603014,0.06173425931214323,0.0016975257338077362,0.0,-1.3563943561958037E-4,0.33932062285737175,0.022423964813729005,-1.1003355441893394E-6,-0.02327105669325769,9.05116081237793
0.25000000000000006,0.01,2.205218766129639,-0.0073283086715307845,-0.0047161577975064276,0.06720962145173418,0.5706936856733328,0.06720962145173418,0.002024296650795691,0.0,-1.3563943561958037E-4,0.33932062285737175,0.022423964813729005,-1.1003355441893394E-6,-0.02327105669325769,9.049769430160522
0.26000000000000006,0.01,2.1915192290409466,-0.006668379318409153,-0.004789440884221736,0.07290448785458252,0.5927458733346291,0.07290448785458252,0.002395275006566495,0.0,-1.3563943561958037E-4,0.33932062285737175,0.022423964813729005,-1.1003355441893394E-6,-0.02327105669325769,9.045019273757935
0.2700000000000001,0.01,2.176957872651444,-0.006338605428190267,-0.0048561246774058275,0.0788171373214653,0.6146610656250386,0.0788171373214653,0.0028140151614288135,0.0,-1.3563943561958037E-4,0.33932062285737175,0.022423964813729005,-1.1003355441893394E-6,-0.02908882086657205,9.043915634155274
0.2800000000000001,0.01,2.1634997381884533,-0.013011300710658799,-0.00491951073168773,0.08494573216037203,0.636430644351553,0.08494573216037203,0.0032842787684159483,0.0,-2.816227935099251E-4,0.4310714297305367,0.03736329986166651,-3.901456385575316E-6,-0.02327105669325769,9.041438846588134
0.2900000000000001,0.01,2.1497444904337457,-0.005753291114593293,-0.005049623738794318,0.09128829494605675,0.6580656417334376,0.09128829494605675,0.0038099153506860584,0.0,-3.2910000309312784E-4,0.4532277037129688,0.041642355043433006,-5.106535891306363E-6,-0.02908882086657205,9.034021339416505
0.3000000000000001,0.01,2.1346865899965586,-0.012140554934410594,-0.005107156649940251,0.0978429016013344,0.6795630866377751,0.0978429016013344,0.004394868748483,0.0,-3.810022628584008E-4,0.4757708543901345,0.04621990377260555,-6.613007246623029E-6,-0.02327105669325769,9.030755796432494
0.3100000000000001,0.01,2.1208737710184336,-0.004908884482456948,-0.005228562199284356,0.10460754596231917,0.7009099525377407,0.10460754596231917,0.005043085950864213,0.0,-3.810022628584008E-4,0.4757708543901345,0.04621990377260555,-6.613007246623029E-6,-0.02908882086657205,9.023402395248413
0.3200000000000001,0.01,2.1060066991469113,-0.01133533186220542,-0.005277651044108926,0.11158001909715734,0.7221186902479251,0.11158001909715734,0.005758693762871368,0.0,-3.810022628584008E-4,0.4757708543901345,0.04621990377260555,-6.613007246623029E-6,-0.02908882086657205,9.021138372421264
