time,step-size,{controller}.c.acceleration,{controller}.c.desired_angle,{controller}.c.steer_angle_vel,{lidar}.l.angle,{lidar}.l.distance,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s
0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.62606551170349,0.0,0.0,0.0,0.0,0.0,2.484852005817384E-4,0.04343980550765991,0.0,-1.050341248512268,-0.2778940200805664
0.01,0.01,2.6952983432769773,-0.006198019868264017,-0.027891089407188076,-0.02327105669325769,9.626510791778564,0.0,0.0,0.0,0.0,0.0,2.484852005817384E-4,0.04343980550765991,0.0,-1.050341248512268,-0.2778940200805664
0.02,0.01,2.6954230216979975,-0.006198019868264017,-0.027891089407188076,-0.02327105669325769,9.625326108932494,-2.7891089407188076E-4,0.0,0.026952983432769775,0.0,0.0,2.484852005817384E-4,0.04343980550765991,0.0,-1.050341248512268,-0.2778940200805664
0.03,0.01,2.6789195204414367,-0.006198019868264017,-0.026635990383864612,-0.02327105669325769,9.624610967636109,-5.578217881437615E-4,2.6952983432769776E-4,0.05390721364974975,2.6952983432769776E-4,0.0,2.484852005817384E-4,0.04343980550765991,0.0,-1.050341248512268,-0.2778940200805664
0.04,0.01,2.66254674274826,-0.006198019868264017,-0.02538089136054115,-0.02327105669325769,9.62483817100525,-8.241816919824076E-4,8.086019512443888E-4,0.08069640885416411,8.086019512443888E-4,1.4529602188164475E-7,2.484852005817384E-4,0.04343980550765991,0.0,-1.050341248512268,-0.2778940200805664
0.05,0.01,2.6465368425689713,-0.006198019868264017,-0.024182271793267242,-0.02327105669325769,9.62483817100525,-0.001077990605587819,0.0016155659931400882,0.10732187628164672,0.0016155659931400882,-1.290818147967411E-7,-3.2763146851699787E-4,0.043439999879517056,0.014758527557177104,-1.05012001698855,-0.2778844037680037
0.060000000000000005,0.01,2.6305615621124816,-0.006198019868264017,-0.023040131682042893,-0.02327105669325769,9.62618854522705,-0.0013198133235204914,0.00268878227761892,0.13378724470733644,0.00268878227761892,2.1773419884052067E-6,-3.2763146851699787E-4,0.043439999879517056,0.014758527557177104,-1.05012001698855,-0.2778844037680037
0.07,0.01,2.6150604458391724,-0.006198019868264017,-0.021951929451345865,-0.02327105669325769,9.623203220367431,-0.0015502146403409203,0.004026650747567,0.16009286032846126,0.004026650747567,5.439512562554119E-6,-3.2763146851699787E-4,0.043439999879517056,0.014758527557177104,-1.05012001698855,-0.2778844037680037
0.08,0.01,2.5984411855058034,-0.006198019868264017,-0.020915123525653934,-0.02327105669325769,9.623131999969482,-0.001769733934854379,0.005627577624060228,0.186243464786853,0.005627577624060228,3.0881435021051377E-6,-3.2763146851699787E-4,0.043439999879517056,0.014758527557177104,-1.05012001698855,-0.2778844037680037
0.09,0.01,2.582730881119343,-0.006198019868264017,-0.019927286700343372,-0.02327105669325769,9.62046546936035,-0.001978885170110918,0.007489741079908654,0.21222787664191103,0.007489741079908654,3.4869919472385655E-5,-3.2763146851699787E-4,0.043439999879517056,0.014758527557177104,-1.05012001698855,-0.2778844037680037
0.09999999999999999,0.01,2.5663936054357515,-0.006198019868264017,-0.018986106141688944,-0.02327105669325769,9.61642186164856,-0.002178158037114352,0.009611787666668935,0.23805518545310447,0.009611787666668935,3.4781050543541687E-6,-0.0013220248703986748,0.04343721652800197,0.14894755831468842,-1.0466913307237462,-0.27773536780299396
0.10999999999999999,0.01,2.5497650099897338,-0.006198019868264017,-0.018089378240173492,-0.02327105669325769,9.61642186164856,-0.002368019098531241,0.011990615164718901,0.263719121507462,0.011990615164718901,9.40698631372015E-5,-0.0013220248703986748,0.04343721652800197,0.14894755831468842,-1.0466913307237462,-0.27773536780299396
0.11999999999999998,0.01,2.5343666483571194,-0.006198019868264017,-0.017235003463797492,-0.02327105669325769,9.617236270904542,-0.0025489128809329763,0.01462712291196471,0.28921677160735937,0.01462712291196471,3.403317785572717E-5,-0.0013220248703986748,0.04343721652800197,0.14894755831468842,-1.0466913307237462,-0.27773536780299396
0.12999999999999998,0.01,2.5192960928888564,-0.006198019868264017,-0.016420981442989684,-0.02327105669325769,9.618265085220337,-0.002721262915570951,0.017516285696847742,0.31456043809093054,0.017516285696847742,1.6583795904845378E-4,-0.0015398688718812892,0.04341954470980302,0.22781001726107775,-1.0414402187844292,-0.27750715666881975
0.13999999999999999,0.01,2.504377961007136,-0.006198019868264017,-0.015645406287118798,-0.02327105669325769,9.615280475616457,-0.002885472730000848,0.020661749033931295,0.3397533990198191,0.020661749033931295,1.3605010482894658E-4,-0.0017489698104440343,0.04340892345419171,0.2537881966355542,-1.039164810476489,-0.2774082973431765
0.15,0.01,2.4884264937607163,-0.006198019868264017,-0.014906462122184262,-0.02327105669325769,9.617429141998292,-0.003041926792872036,0.024057023784817607,0.3647971786298905,0.024057023784817607,2.5993142120041334E-4,-0.0017489698104440343,0.04340892345419171,0.2537881966355542,-1.039164810476489,-0.2774082973431765
0.16,0.01,2.474001852581587,-0.006198019868264017,-0.014202418839263913,-0.02327105669325769,9.614130086898804,-0.0031909914140938788,0.02770467967477277,0.3896814435674976,0.02770467967477277,3.079383176659239E-4,-0.0025295226342967325,0.04337888926459143,0.3056010658919206,-1.0338341696566506,-0.27717679216819646
