time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.x_s,{odom}.o.y_s,{rabbitmq}.r.angle,{rabbitmq}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.531623245965308,7.077361125654351,0.5061454830783556,2.9382744646072387
0.01,0.01,0.8227168500900268,0.6066311946063416,0.0,0.0,0.0,0.0,9.531623245965308,7.077361125654351,0.5061454830783556,2.9163191413879392
0.02,0.01,0.8165693595886229,0.6066311946063416,0.006066311946063416,0.00822716850090027,0.0,0.0,9.531623245965308,7.077361125654351,0.5177810114249843,2.9351334142684937
0.03,0.01,0.8169010548946379,0.5932783355526502,0.012132623892126833,0.016392862096786497,8.22716850090027E-5,0.0,9.531623245965308,7.077361125654351,0.5177810114249843,2.9351334142684937
0.04,0.01,0.8120016387371062,0.5659799317953649,0.018065407247653334,0.024561872645732875,2.4620030597668043E-4,2.477753939174773E-10,9.531623245965308,7.077361125654351,0.5177810114249843,2.9351334142684937
0.05,0.01,0.8071002324077384,0.5392824066954955,0.023725206565606984,0.032681889033103935,4.918190324270364E-4,2.0985249387869764E-9,9.501678363686183,7.190185121404547,0.5177810114249843,2.9351334142684937
0.060000000000000005,0.01,0.8022282225753158,0.5138133097647042,0.02911803063256194,0.04075289135718132,8.186379226861875E-4,8.95336688565147E-9,9.501678363686183,7.190185121404547,0.593411945678072,3.1280131053924563
0.07,0.01,0.8513919346955791,0.5801916420367683,0.03425616373020898,0.048775173582934477,0.0012261668358552011,2.7072556149495595E-8,9.501678363686183,7.190185121404547,0.6399540590645874,3.313234558105469
0.08,0.01,0.8984405721197707,0.6128522219117327,0.040058080150576665,0.05728909292989027,0.001713918570107764,6.629189308902629E-8,9.48263138990222,7.257198531100237,0.6457718232379022,3.3265495920181274
0.09,0.01,0.8970604300071414,0.5937163703718756,0.04618660236969399,0.06627349865108798,0.002286809494488772,1.4135742700055012E-7,9.48263138990222,7.257198531100237,0.6457718232379022,3.3265495920181274
0.09999999999999999,0.01,0.8916697865744229,0.5661380203858476,0.05212376607341275,0.0752441029511594,0.0029471725558832063,5.616179558439772E-5,9.469276419476238,7.3020473231048815,0.6457718232379022,3.3265495920181274
0.10999999999999999,0.01,0.88628742399438,0.5394207837191132,0.05778514627727123,0.08416080081690362,0.0036957611613078855,-1.988163096123778E-5,9.469276419476238,7.3020473231048815,0.6457718232379022,3.3265495920181274
0.11999999999999998,0.01,0.8809374052749334,0.5139445728017501,0.06317935411446236,0.09302367505684742,0.0045347700087793015,4.621067781171E-5,9.469276419476238,7.3020473231048815,0.7272205216643042,3.774152674674988
0.12999999999999998,0.01,1.0009485438748882,0.5872894504595484,0.06831879984247986,0.10183304910959676,0.004893904196689445,9.043266648334619E-4,9.4484036912752,7.368752815386816,0.797033691744077,4.368835105895996
0.13999999999999999,0.01,1.1621740001851208,0.6478352129050335,0.07419169434707534,0.11184253454834564,0.005355872214569303,-3.1878196525490484E-6,9.441143781495963,7.391029124430504,0.837758040957278,4.860840926170349
