time,step-size,{KF}.kf.x_p,{KF}.kf.y_p,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.theta_s,{odom}.o.x_s,{odom}.o.y_s,{rabbitmq}.r.angle,{rabbitmq}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.047161569595335
0.01,0.01,0.09999999962747097,0.0999999986961484,2.5332052394866937,-0.034863861758985024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.048812866210938
0.02,0.01,1.5974424877640558E-4,0.09999999729916453,2.533667602539062,-0.027891089407188076,-3.4863861758985026E-4,0.02533205239486694,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.047454748153688
0.03,0.01,7.991097982085194E-5,0.09999999729916453,2.5180880980461127,-0.026322215628033753,-6.27549511661731E-4,0.05066872842025756,2.533205239486694E-4,0.0,0.0,0.0,0.0,-0.02908882086657205,9.0513191986084
0.04,0.01,3.065809523832286E-4,0.10025331750512123,2.5039681385581973,-0.03203988895650724,-8.907716679420686E-4,0.07584960940071869,7.60007808151227E-4,-1.3552169428228905E-10,0.0,0.0,0.0,-0.02908882086657205,9.04814429283142
0.05,0.01,9.898065618472174E-4,0.10101332375779748,2.4879706363523666,-0.030855389253245716,-0.0012111705575071408,0.10088929078630067,0.001518503173557131,-1.0514594127319086E-6,0.0,0.0,0.0,-0.02908882086657205,9.04814429283142
0.060000000000000005,0.01,0.0023096701042959467,0.10253182612359524,2.472946827521018,-0.02941359425020289,-0.0015197244500395981,0.12576899714982434,0.002527395628632666,-9.562054898652782E-8,0.0,0.0,0.0,-0.02908882086657205,9.048253364562989
0.07,0.01,0.0044500212534330785,0.10505922185257077,2.4580495437877423,-0.028025101733806835,-0.001813860392541627,0.15049846542503453,0.0037850854156402216,-7.76843083101157E-7,0.0,0.0,0.0,-0.02908882086657205,9.047728462219238
0.08,0.01,0.007594380876980722,0.10884430585429072,2.4430648901663656,-0.026701489992547702,-0.0020941114098796954,0.17507896086291197,0.005290025538588686,-1.2354229182435722E-5,0.0,0.0,0.0,-0.02908882086657205,9.046701641082764
0.09,0.01,0.011924946215003729,0.11413432937115431,2.428029082985427,-0.025440360414526395,-0.0023611263098051723,0.19950960976457563,0.007040495677305293,2.1090458664334482E-5,0.0,0.0,0.0,-0.02908882086657205,9.049301204681395
0.09999999999999999,0.01,0.017621982959099114,0.12117482628673315,2.414098571452045,-0.024238793364861747,-0.0026155299139504363,0.2237899005944299,0.009033979513961779,-5.9100761744526716E-5,0.0,0.0,0.0,-0.02327105669325769,9.047934551239011
0.10999999999999999,0.01,0.024862801656126976,0.13020880427211523,2.399147733990265,-0.016121204794411113,-0.0028579178475990536,0.24793088630895035,0.011268020171528436,7.225486678207998E-5,0.0,0.0,0.0,-0.02327105669325769,9.047934551239011
0.11999999999999998,0.01,0.033821726916357875,0.14147682348266244,2.3846631425615525,-0.015030459092992336,-0.0030191298955431645,0.271922363648853,0.013739783808683043,-1.2102462161333029E-4,0.0,0.0,0.0,-0.02327105669325769,9.049417543411256
0.12999999999999998,0.01,0.0446696188300848,0.15521660586819053,2.3706834939658394,-0.014305004877243836,-0.003169434486473088,0.2957689950744686,0.016450063988044397,9.933538972923492E-5,-2.67268512894264E-7,2.532480259396754E-4,0.0,-0.02327105669325769,9.04788284301758
0.13999999999999999,0.01,0.057577424217015505,0.17166666965931654,2.3559457990002413,-0.01362863421805918,-0.0033124845352455264,0.319475830014127,0.019398965858921674,-1.284970062828444E-4,-2.67268512894264E-7,2.532480259396754E-4,0.0,-0.02908882086657205,9.047883157730103
0.15,0.01,0.0727338888682425,0.1910656364634633,2.3417217861559525,-0.019957681350380157,-0.003448770877426118,0.3430352880041294,0.022588606098709618,5.226730725014638E-5,-2.67268512894264E-7,2.532480259396754E-4,0.0,-0.02908882086657205,9.047601022720336
0.16,0.01,0.0902886725962162,0.21365424152463675,2.3275071135592165,-0.01934439281056749,-0.0036483476909299197,0.36645250586568895,0.026016246890225452,-8.411262508704634E-5,-3.7399613987293074E-6,0.0015187270659715328,-1.1494117987607306E-9,-0.02908882086657205,9.049856462478637
0.17,0.01,0.11040880903601646,0.239670486189425,2.3140883059746047,-0.018446297149800384,-0.0038417916190355947,0.38972757700128113,0.029680123377869252,-1.5170701591839589E-5,-1.395190113841784E-5,0.003798284629349024,-1.4820686283685816E-8,-0.02908882086657205,9.049856462478637
0.18000000000000002,0.01,0.13333645556122065,0.2693506134673953,2.3001232632932496,-0.017575799473324848,-0.0040262545905335985,0.4128684600610272,0.03357714674845812,-5.952469366866113E-5,-1.395190113841784E-5,0.003798284629349024,-1.4820686283685816E-8,-0.02908882086657205,9.0446245098114
0.19000000000000003,0.01,0.159278005361557,0.30292776320129633,2.2847737867105757,-0.01674571610158383,-0.004202012585266847,0.4358696926939597,0.03770582759550024,-5.3957415699670425E-5,-3.3950134346817144E-5,0.007086561758856428,-7.589134658182162E-8,-0.02908882086657205,9.044906692504885
0.20000000000000004,0.01,0.18824265338480473,0.3406335934996605,2.271052058284992,-0.015954805125284213,-0.004369469746282685,0.45871743056106545,0.04206450095731316,-6.829010334425748E-5,-4.897715210353522E-5,0.009111823020036252,-1.4464923851269806E-7,-0.02327105669325769,9.045487785339356
0.21000000000000005,0.01,0.2205631174147129,0.3826980944722891,2.2575061215583805,-0.008228475548915995,-0.004529017797535527,0.48142795114391534,0.046651664791651566,-7.809148040739227E-5,-6.806609166399686E-5,0.011386359532689386,-2.560495593470294E-7,-0.02327105669325769,9.041644048690795
0.22000000000000006,0.01,0.25630282051861286,0.4293497558683157,2.2428035629470733,-0.007510509318278205,-0.004611302553024687,0.5040030123594992,0.0514659287156794,-9.03423606590999E-5,-9.149055753248812E-5,0.013887872404469403,-4.263177640392266E-7,-0.02327105669325769,9.039957304000854
0.23000000000000007,0.01,0.2956117019057274,0.4808156806975603,2.2287862377045395,-0.007140227918576984,-0.0046864076462074696,0.5264310479889699,0.05650594149203722,-1.0356585848923302E-4,-9.149055753248812E-5,0.013887872404469403,-4.263177640392266E-7,-0.02327105669325769,9.039957304000854
0.24000000000000007,0.01,0.3386351577937603,0.5373216290026903,2.215329416326857,-0.006802254999254464,-0.0047578099253932395,0.5487189103660153,0.06177023220698229,-1.1799143368281578E-4,-9.149055753248812E-5,0.013887872404469403,-4.263177640392266E-7,-0.02327105669325769,9.036580657958984
0.25000000000000006,0.01,0.3853889964520931,0.5990918539464474,2.201011238008906,-0.006480944742918499,-0.004825832475385784,0.5708722045292839,0.06725739913476873,-1.3359162385539612E-4,-9.149055753248812E-5,0.013887872404469403,-4.263177640392266E-7,-0.02327105669325769,9.031659679412842
0.26000000000000006,0.01,0.4360153153538704,0.6663492526859045,2.1863413875180253,-0.006174843267952049,-0.004890641922814969,0.592882316909373,0.07296609644703583,-1.5039600801176482E-4,-1.9316080925251843E-4,0.02295176471829729,-1.5456586841841157E-6,-0.02908882086657205,9.030440616607669
0.2700000000000001,0.01,0.49065210297703743,0.7393153570592403,2.1727939825045235,-0.012855973106317664,-0.004952390355494489,0.6147457307845532,0.07889489214684553,-1.684437308778366E-4,-1.9316080925251843E-4,0.02295176471829729,-1.5456586841841157E-6,-0.02327105669325769,9.021391324996948
0.2800000000000001,0.01,0.5498156435787678,0.8182102367281914,2.157142132528414,-0.005605332807462876,-0.005080950086557665,0.6364736706095985,0.08504231904307098,-1.877804148578878E-4,-3.469082399475339E-4,0.03422648101818498,-4.278621986381965E-6,-0.02908882086657205,9.055732402801514
0.2900000000000001,0.01,0.6132274009287357,0.903252549469471,2.1537208704186646,-0.01199958636947553,-0.005137003414632294,0.6580450919348826,0.0914070221672748,-2.0845597230520995E-4,-3.469082399475339E-4,0.03422648101818498,-4.278621986381965E-6,-0.02908882086657205,9.055732402801514
0.3000000000000001,0.01,0.6814671084284782,0.994659561663866,2.1407780176234943,-0.0117473463931397,-0.005256999278327049,0.6795823006390692,0.0979874358127832,-2.3060447034999236E-4,-4.0935266501398743E-4,0.038434071344284296,-5.7382697993832816E-6,-0.02327105669325769,9.05159839630127
0.3100000000000001,0.01,0.7541793510317802,1.0926470011472702,2.126698170580914,-0.004234592654716356,-0.005374472742258446,0.7009900808153041,0.10478321763553977,-2.542635421891501E-4,-4.779556860104404E-4,0.042919879266760455,-7.5745473297578574E-6,-0.02908882086657205,9.052462797164916
0.3200000000000001,0.01,0.8316486030817032,1.1974302418529987,2.1140955347169936,-0.010678734418822017,-0.005416818668805609,0.7222570625211132,0.11179307283120665,-2.795514034427477E-4,-4.779556860104404E-4,0.042919879266760455,-7.5745473297578574E-6,-0.02908882086657205,9.04767910003662
