time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y,{rabbit}.r.angle,{rabbit}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8552113334772216,11.167155513763428
0.01,0.01,2.605669619878133,0.11388861507935151,0.0,0.0,0.0,0.0,0.8552113334772216,11.163991842269898
0.02,0.01,2.604931429862976,0.11388861507935151,0.001138886150793515,0.026056696198781332,0.0,0.0,0.8552113334772216,11.163076343536376
0.03,0.01,2.591689465392431,0.11331917200395475,0.00227777230158703,0.05210601049741109,2.6056696198781335E-4,0.0,0.8552113334772216,11.166178617477415
0.04,0.01,2.5793886721626915,0.112749728928558,0.0034109640216265775,0.0780229051513354,7.816270669617139E-4,4.68285383842029E-10,0.8552113334772216,11.163966627120972
0.05,0.01,2.5659140937525593,0.11218313306853822,0.004538461310912158,0.10381679187296232,0.0015618468498750078,3.8035165575657514E-6,0.8552113334772216,11.164643449783323
0.060000000000000005,0.01,2.553175075679628,0.11161938442389543,0.00566029264159754,0.12947593281048791,0.0026000111110610425,1.0477452585335348E-6,0.8552113334772216,11.162985401153565
0.07,0.01,2.5399586271972545,0.11105846875855274,0.006776486485836494,0.1550076835672842,0.003894769082937035,2.9217725165678703E-6,0.8552113334772216,11.162855682373047
0.08,0.01,2.5271624841034024,0.11050037183643327,0.007887071173422022,0.18040726983925676,0.005444342809870314,4.241178755379249E-5,0.8552113334772216,11.163804016113282
0.09,0.01,2.5146839688401377,0.1099450794926405,0.008992074891786356,0.20567889468029077,0.007245415372889353,-6.158784622186113E-5,0.8552113334772216,11.164160327911375
0.09999999999999999,0.01,2.5021312958391757,0.10939257763345833,0.01009152568671276,0.23082573436869214,0.009287969424944812,1.799772922448399E-4,0.8552113334772216,11.16195686340332
0.10999999999999999,0.01,2.4890437342764287,0.10884285223599513,0.011185451463047343,0.2558470473270839,0.011566302168866043,-1.9049790619758567E-4,0.8552113334772216,11.161958456039429
0.11999999999999998,0.01,2.476533449412325,0.10829588934782784,0.012273879985407294,0.2807374846698482,0.01407018469781066,3.3518588073579744E-4,0.8552113334772216,11.164517631530762
0.12999999999999998,0.01,2.4646853716889203,0.10775167508664786,0.013356838878885571,0.3055028191639715,0.016821710710602473,-2.220018172666917E-4,0.8552113334772216,11.16133427619934
0.13999999999999999,0.01,2.451559921531194,0.10721019563990872,0.01443435562975205,0.33014967288086067,0.019825564348074372,3.348290155364785E-4,0.8552113334772216,11.162691621780397
0.15,0.01,2.4395532086416623,0.10667143726447549,0.015506457586151138,0.3546652720961726,0.023103126784676235,-6.198973970373965E-5,0.8552113334772216,11.164593381881714
0.16,0.01,2.427739153057647,0.10613538628627595,0.01657317195879589,0.37906080418258925,0.026637099992009458,2.376415219432349E-4,0.8552113334772216,11.163555870056152
0.17,0.01,2.4152993009218076,0.10560202909995356,0.01763452582165865,0.4033381957131657,0.030425990977864147,1.2356074326338746E-4,0.8552113334772216,11.165684118270876
0.18000000000000002,0.01,2.403657196406622,0.10507135216852219,0.018690546112658184,0.4274911887223838,0.0344581472942152,2.2298635679185555E-4,0.8552113334772216,11.165684118270876
0.19000000000000003,0.01,2.391580699902013,0.10454334202302241,0.019741259634343405,0.45152776068645,0.0387330173401415,2.4190021334703348E-4,0.8552113334772216,11.159584426879883
0.20000000000000004,0.01,2.378139152595414,0.10401798526217981,0.02078669305457363,0.47544356768547014,0.04324799212761826,2.9419299966793185E-4,0.8552113334772216,11.165927028656006
0.21000000000000005,0.01,2.3676611895103328,0.1034952685520647,0.021826872907195427,0.4992249592114243,0.048002157072093696,3.4493042244135747E-4,0.8552113334772216,11.164745073318482
