time,step-size,{controller}.c.acceleration,{controller}.c.desired_angle,{controller}.c.steer_angle_vel,{kf}.kf.steer_angle_p,{kf}.kf.theta_p,{kf}.kf.velocity_p,{kf}.kf.x_p,{kf}.kf.y_p,{lidar}.l.angle,{lidar}.l.distance,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,10.010144519805907,0.0,0.0,0.0,0.0,0.0,7.301448685161915E-4,0.021838037297129635,-0.003348408258140978,-1.8685575723648071,-0.09778356552124023
0.01,0.01,2.802840465545654,-0.007747524835330005,-0.034863861758985024,0.00944958540233821,0.020232016687220827,-0.0037205311597272184,-1.6116880230779327,-0.08304516031770853,-0.02908882086657205,10.011238641738892,0.0,0.0,0.0,0.0,0.0,9.718016775508432E-4,0.021838012569050266,-0.006689345761344612,-1.8685911234559476,-0.0977842983277154
0.02,0.01,2.80314681968689,-0.007747524835330005,-0.034863861758985024,0.00864079303353709,0.021056019470126055,0.008727891992894959,-1.7353362092726774,-0.09013619462727647,-0.02908882086657205,10.009533891677856,-3.4863861758985026E-4,0.0,0.02802840465545654,0.0,0.0,9.718016775508432E-4,0.021838012569050266,-0.006689345761344612,-1.8685911234559476,-0.0977842983277154
0.03,0.01,2.785852446876526,-0.007747524835330005,-0.0332949879798307,0.007895885835813762,0.02139604358369339,0.021048791100777835,-1.7823712372164073,-0.09283342100801423,-0.02908882086657205,10.01005693435669,-6.972772351797005E-4,2.802840465545654E-4,0.05605987285232544,2.802840465545654E-4,0.0,9.718016775508432E-4,0.021838012569050266,-0.006689345761344612,-1.8685911234559476,-0.0977842983277154
0.04,0.01,2.7691800179084773,-0.007747524835330005,-0.03172611420067637,0.007220759305793844,0.021596171466829774,0.032329569785979825,-1.807719255893341,-0.09428776870600443,-0.02908882086657205,10.007008361816409,-0.0010302271149780075,8.40882753057741E-4,0.0839183973210907,8.40882753057741E-4,1.5712687806654975E-7,9.718016775508432E-4,0.021838012569050266,-0.006689345761344612,-1.8685911234559476,-0.0977842983277154
0.05,0.01,2.7516113029159404,-0.007747524835330005,-0.030227839741583988,0.0066074050354125126,0.021733274361423627,0.04231788896829464,-1.8237152429447994,-0.0952066605737553,-0.02908882086657205,10.008371200561523,-0.0013474882569847711,0.0016800666073363646,0.11161019750017548,0.0016800666073363646,-2.896528419575251E-7,7.570980945326156E-4,0.021837303507045363,-0.016661373032604843,-1.86889059626699,-0.0977908392062648
0.060000000000000005,0.01,2.7353778176571213,-0.007747524835330005,-0.028800164602553552,0.006038208109352308,0.0218341578672888,0.04847507240705842,-1.8348044249717308,-0.09584136295542552,-0.02908882086657205,10.008371200561523,-0.001649766654400611,0.002796165969358666,0.13912631052933488,0.002796165969358666,2.1254447191471077E-6,7.570980945326156E-4,0.021837303507045363,-0.016661373032604843,-1.86889059626699,-0.0977908392062648
0.07,0.01,2.718868149839625,-0.007747524835330005,-0.027439911814182275,0.005518173229227024,0.021911271449467754,0.053952475250493875,-1.8428025861614932,-0.09629995633521149,-0.02908882086657205,10.0095037651062,-0.0019377683004261465,0.004187424403931949,0.1664800887059061,0.004187424403931949,5.730493843689953E-6,7.570980945326156E-4,0.021837303507045363,-0.016661373032604843,-1.86889059626699,-0.0977908392062648
0.08,0.01,2.7027730010061926,-0.007747524835330005,-0.02614390440706736,0.0050419746524674736,0.021971262830985223,0.05861229830271479,-1.848735127344593,-0.096640857249451,-0.02908882086657205,10.005774698257447,-0.0022121674185679695,0.005852222380764709,0.19366877020430237,0.005852222380764709,2.617635641693058E-6,7.570980945326156E-4,0.021837303507045363,-0.016661373032604843,-1.86889059626699,-0.0977908392062648
0.09,0.01,2.6854156533895037,-0.007747524835330005,-0.02490910837542916,0.0046050590540782695,0.022018309543809206,0.06245489207357776,-1.8532091503800339,-0.09689858468556124,-0.02908882086657205,10.007471351623536,-0.0024736064626386433,0.007788628514722044,0.2206965002143643,0.007788628514722044,3.564095493416887E-5,7.570980945326156E-4,0.021837303507045363,-0.016661373032604843,-1.86889059626699,-0.0977908392062648
0.09999999999999999,0.01,2.6696740783259716,-0.007747524835330005,-0.023732632677111128,0.004203503821429401,0.022055317646234203,0.06553145991944094,-1.8566168274388513,-0.09709541595757012,-0.02908882086657205,10.009869146347048,-0.002722697546392935,0.009995398556005786,0.24755065674825932,0.009995398556005786,6.306579545414006E-6,-9.713136932063547E-4,0.021837696518704788,0.09203997653215625,-1.868177914477626,-0.0977752743751491
0.10999999999999999,0.01,2.6542329669282174,-0.007747524835330005,-0.022611722800216817,0.003762666214138883,0.022084530836748873,0.09214453824652613,-1.8586974615561616,-0.09723132872105923,-0.02908882086657205,10.009296245574951,-0.0029600238731640463,0.012469431206336975,0.27424739753151905,0.012469431206336975,9.171858540337059E-5,-9.713136932063547E-4,0.021837696518704788,0.09203997653215625,-1.868177914477626,-0.0977752743751491
0.11999999999999998,0.01,2.638054510242075,-0.007747524835330005,-0.021543754329746815,0.0033555038273041372,0.022107499626022882,0.11274024294084484,-1.860189920628587,-0.09733273700759394,-0.02908882086657205,10.01032522201538,-0.0031861411011662143,0.01521153512634529,0.3007897272008012,0.01521153512634529,4.6667534848041634E-5,-9.713136932063547E-4,0.021837696518704788,0.09203997653215625,-1.868177914477626,-0.0977752743751491
0.12999999999999998,0.01,2.622417225843826,-0.007747524835330005,-0.020526226803737058,0.002978946710241709,0.022125537511011692,0.12866743815464882,-1.8612561132738714,-0.09740847247129712,-0.02908882086657205,10.008976182937625,-0.0034015786444636822,0.018217241357127618,0.327170272303222,0.018217241357127618,1.6145452535455037E-4,-9.713136932063547E-4,0.021837696518704788,0.09203997653215625,-1.868177914477626,-0.0977752743751491
0.13999999999999999,0.01,2.6062111678406015,-0.007747524835330005,-0.019556757858898453,0.0026302912826598975,0.02213968573571819,0.1409677855791123,-1.8620134793578214,-0.09746504226689522,-0.02908882086657205,10.008510360717771,-0.0036068409125010526,0.02148894099750501,0.35339444456166025,0.02148894099750501,1.5696330604578193E-4,-0.0024701067494596884,0.021828784932854936,0.20364268246091655,-1.8628181531755028,-0.09765821861861426
0.15,0.01,2.59034623426398,-0.007747524835330005,-0.018633077652730288,0.00225100509799531,0.02214877873551319,0.17511086437964699,-1.8609778417053433,-0.09746911359248882,-0.02908882086657205,10.0106360912323,-0.0038024084910900373,0.025021211608839213,0.37945655624006625,0.025021211608839213,2.657184117150331E-4,-0.0024701067494596884,0.021809592524290617,0.25887187161870173,-1.8584676579580983,-0.09756325589928638
0.16,0.01,2.5753041718010037,-0.007747524835330005,-0.017753023549079858,0.0018983174541048818,0.02215164094958035,0.21379286264986933,-1.858870236414704,-0.09744043719699494,-0.02908882086657205,10.010573902130126,-0.0039887392676173404,0.028815175976401763,0.40536001858270604,0.028815175976401763,3.3326236053918983E-4,-0.0024701067494596884,0.021809592524290617,0.25887187161870173,-1.8584676579580983,-0.09756325589928638
0.17,0.01,2.5597446814468117,-0.007747524835330005,-0.01691453505470699,0.001570050331032224,0.022153894876645232,0.24380632432912414,-1.8570623400124238,-0.09741277303070403,-0.02908882086657205,10.00688274383545,-0.004166269503108139,0.032867052171670214,0.43111306030071606,0.032867052171670214,4.5147304006535206E-4,-0.0024701067494596884,0.021809592524290617,0.25887187161870173,-1.8584676579580983,-0.09756325589928638
0.18000000000000002,0.01,2.543259332093496,-0.007747524835330005,-0.0161156489949984,0.001264254531950347,0.022155665915446293,0.26706616171377995,-1.855525010979066,-0.09738710471403829,-0.02908882086657205,10.007194662094117,-0.004335414853655208,0.037176211103919075,0.4567105071151842,0.037176211103919075,5.818431777685226E-4,-0.0024701067494596884,0.021809592524290617,0.25887187161870173,-1.8584676579580983,-0.09756325589928638
0.19000000000000003,0.01,2.5279882011172425,-0.007747524835330005,-0.015354494917536586,9.791791088465574E-4,0.02215705536438608,0.2850584723524674,-1.8542273403235934,-0.09736392492384029,-0.02908882086657205,10.01062469482422,-0.0044965713436051925,0.04174046295912734,0.48214310043611913,0.04174046295912734,7.432548662200072E-4,-0.0034928367525877135,0.021751986985367764,0.34081137346773716,-1.8498606759742284,-0.09737566154819915
0.20000000000000004,0.01,2.51368905428911,-0.007747524835330005,-0.014629290712761658,6.783694879982928E-4,0.0221453499067117,0.3170683292974255,-1.8509516152567422,-0.097292937227067,-0.02908882086657205,9.997067604064942,-0.004650116292780559,0.04655810577869635,0.5074229824472916,0.04655810577869635,9.343427854365271E-4,-0.0034928367525877135,0.021690383411158712,0.3944947436433708,-1.8428030331541496,-0.09722222309597356
0.21000000000000005,0.01,2.494725139669809,-0.007747524835330005,-0.01393833844147251,3.969976957856678E-4,0.022122571384544154,0.35376098528615413,-1.8465156483178613,-0.09719351387553228,-0.02908882086657205,9.998618507385254,-0.004796409199908175,0.05162732804092084,0.5325598729901827,0.05162732804092084,0.001159717956513712,-0.0034928367525877135,0.021690383411158712,0.3944947436433708,-1.8428030331541496,-0.09722222309597356
0.22000000000000006,0.01,2.4800772582737616,-0.007747524835330005,-0.013280020359398237,1.3364065421608395E-4,0.022104838633336756,0.382192433777581,-1.8429040207542615,-0.09711115812731344,-0.02908882086657205,9.996633253097537,-0.0049357925843229,0.05694642071301296,0.5575071243868808,0.05694642071301296,0.0014228813613175254,-0.003718338957299672,0.021606968779760535,0.44772202127287386,-1.8346500036413187,-0.09704551679998906
0.23000000000000007,0.01,2.464553036235182,-0.007747524835330005,-0.012652795129531975,-1.2034248857833589E-4,0.022072521662505326,0.4159956865750354,-1.8379808436959475,-0.09699838594640302,-0.02908882086657205,9.9985040473938,-0.005068592787916882,0.06251315415227249,0.5823078969696184,0.06251315415227249,0.001727673405903037,-0.003718338957299672,0.02155628795609462,0.4744028842304928,-1.8301504610241184,-0.09694828019066824
0.24000000000000007,0.01,2.4501963950884926,-0.007747524835330005,-0.012055194213359054,-3.5844658880550663E-4,0.02203611601230959,0.44810364793939317,-1.8329141744923365,-0.09688173346381189,-0.02908882086657205,9.990740118026734,-0.005195120739212202,0.0683256805566606,0.6069534273319702,0.0683256805566606,0.002078081005148361,-0.003718338957299672,0.02155628795609462,0.4744028842304928,-1.8301504610241184,-0.09694828019066824
0.25000000000000006,0.01,2.433235176648303,-0.007747524835330005,-0.011485818432530114,-5.817710558391336E-4,0.02200777668073845,0.4729964335573913,-1.8288316913973062,-0.09678669075472766,-0.02908882086657205,9.989599189758302,-0.005315672681345793,0.07438200980388276,0.6314553912828551,0.07438200980388276,0.0024782339062299264,-0.004747026789741149,0.021436672120006012,0.5269328756479226,-1.8204150717291667,-0.09673867194320998
0.26000000000000006,0.01,2.4182145383626117,-0.007747524835330005,-0.010943334692928956,-8.235588357647684E-4,0.021959163003205502,0.5038738183295464,-1.8232088381500962,-0.09665753975389256,-0.02908882086657205,9.994591455459595,-0.005430530865671094,0.08068020916508617,0.6557877430493382,0.08068020916508617,0.00293241000044388,-0.004747026789741149,0.021436672120006012,0.5269328756479226,-1.8204150717291667,-0.09673867194320998
0.2700000000000001,0.01,2.405012961699083,-0.007747524835330005,-0.0104264728634651,-0.0010511227924140526,0.02192132497544728,0.5278005972354819,-1.8186989127577682,-0.09655300241376819,-0.02908882086657205,9.994008140563963,-0.005539964212600384,0.08721802255074496,0.6799698884329644,0.08721802255074496,0.0034450039212772735,-0.004747026789741149,0.021436672120006012,0.5269328756479226,-1.8204150717291667,-0.09673867194320998
0.2800000000000001,0.01,2.390340346298131,-0.007747524835330005,-0.009934022802283296,-0.0012653986202782047,0.0218918773616048,0.5463287016689373,-1.8150852040871441,-0.09646854057349566,-0.03490658503988664,9.992593164443967,-0.005644228941235035,0.09399331957779428,0.7040200180499552,0.09399331957779428,0.0040205515846470806,-0.004747026789741149,0.021436672120006012,0.5269328756479226,-1.8204150717291667,-0.09673867194320998
0.2900000000000001,0.01,2.3755140752143378,-0.009297029802396054,-0.01643760387522459,-0.0014672476491790927,0.021868959892232375,0.5606411676571079,-1.8121923370253712,-0.09640040277090428,-0.02908882086657205,9.991833896636964,-0.005743569169257868,0.1010040785061009,0.7279234215129365,0.1010040785061009,0.004663729499904571,-0.005450193599400688,0.021235791270780173,0.6304984324825327,-1.7977969544284458,-0.09626970400480288
0.3000000000000001,0.01,2.360959438150588,-0.007747524835330005,-0.009017800497324618,-0.0017461976573994158,0.02180633068852879,0.5945991021468389,-1.8045107470620811,-0.09623122400972293,-0.02908882086657205,9.991833896636964,-0.005907945208010114,0.10824805372995344,0.7516785622650799,0.10824805372995344,0.005379322760717141,-0.005450193599400688,0.021235791270780173,0.6304984324825327,-1.7977969544284458,-0.09626970400480288
