time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{rabbitmq_lidar}.r_lidar.angle,{rabbitmq_lidar}.r_lidar.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.005817764173314366,10.236283178329469
0.01,0.01,2.866159289932251,0.01007178228592893,0.0,0.0,0.005817764173314366,10.233484916687011
0.02,0.01,2.865375776672363,0.01007178228592893,1.007178228592893E-4,0.028661592899322512,0.005817764173314366,10.235263633728028
0.03,0.01,2.8486768617042544,0.009417116437343548,2.014356457185786E-4,0.05731535066604614,0.005817764173314366,10.233436946868895
0.04,0.01,2.8309731347236626,0.008762450588758167,2.956068100920141E-4,0.08580211928308869,0.005817764173314366,10.2371981716156
0.05,0.01,2.8149342164825146,0.008150338020330836,3.832313159795958E-4,0.1141118506303253,0.005817764173314366,10.236310997009276
0.060000000000000005,0.01,2.7976999687844017,0.007580778732061557,4.6473469618290414E-4,0.14226119279515045,0.005817764173314366,10.23248990058899
0.07,0.01,2.779740456487827,0.007051006760740052,5.405424835035197E-4,0.17023819248299446,0.005817764173314366,10.231441774368284
0.08,0.01,2.762660781333323,0.0065582561431560505,6.110525511109203E-4,0.19803559704787274,0.005817764173314366,10.235864810943603
0.09,0.01,2.747220788835486,0.006099940703707947,6.766351125424808E-4,0.22566220486120597,0.005817764173314366,10.232634496688842
0.09999999999999999,0.01,2.7297403361561523,0.005673654054402804,7.376345195795603E-4,0.25313441274956083,0.005817764173314366,10.233693151473998
0.10999999999999999,0.01,2.7135534347629826,0.0052771579086617875,7.943710601235883E-4,0.28043181611112233,0.005817764173314366,10.231354122161866
0.11999999999999998,0.01,2.696520064538649,0.004908370395125605,8.471426392102062E-4,0.30756735045875216,0.005817764173314366,10.232674541473388
0.12999999999999998,0.01,2.680608461337297,0.004565355131062589,8.962263431614622E-4,0.33453255110413865,0.005817764173314366,10.23414270401001
0.13999999999999999,0.01,2.66484042646032,0.004246311055379425,9.41879894472088E-4,0.3613386357175116,0.005817764173314366,10.23414270401001
0.15,0.01,2.648756775692296,0.003949562971860356,9.843430050258822E-4,0.3879870399821148,0.005817764173314366,10.229973402023315
0.16,0.01,2.63160032857726,0.0036735527532606948,0.0010238386347444857,0.41447460773903777,0.005817764173314366,10.232462768554688
0.17,0.01,2.61640481055189,0.0034168311600897717,0.0010605741622770927,0.4407906110248104,0.005817764173314366,10.232462768554688
0.18000000000000002,0.01,2.6006152085804266,0.0031780502311278265,0.0010947424738779903,0.4669546591303293,0.005817764173314366,10.23263256072998
0.19000000000000003,0.01,2.584964321526197,0.0029559562057219916,0.0011265229761892686,0.49296081121613355,0.005817764173314366,10.230101566314698
0.20000000000000004,0.01,2.568651951838435,0.0027493829406986833,0.0011560825382464885,0.5188104544313955,0.005817764173314366,10.22943883895874
0.21000000000000005,0.01,2.5529566022496097,0.002557245787326754,0.0011835763676534754,0.5444969739497798,0.005817764173314366,10.226332330703736
0.22000000000000006,0.01,2.536674868227178,0.0023785358961813394,0.0012091488255267428,0.5700265399722759,0.005817764173314366,10.223642587661743
0.23000000000000007,0.01,2.5206040005619226,0.0022123149200051007,0.0012329341844885561,0.5953932886545477,0.005817764173314366,10.22307991027832
0.24000000000000007,0.01,2.5052264016852006,0.002057710086753314,0.001255057333688607,0.6205993286601669,0.005817764173314366,10.220191011428833
0.25000000000000006,0.01,2.489293886003973,0.001913909616952983,0.0012756344345561403,0.6456515926770189,0.005817764173314366,10.218414688110352
0.26000000000000006,0.01,2.4737651570646877,0.001780158461314017,0.0012947735307256702,0.6705445315370586,0.005817764173314366,10.21847785949707
0.2700000000000001,0.01,2.4588470817369448,0.001655754336212073,0.0013125751153388104,0.6952821831077055,0.005817764173314366,10.215577926635742
0.2800000000000001,0.01,2.4431925095933846,0.0015400440362266614,0.001329132658700931,0.719870653925075,0.0,10.213348808288574
0.2900000000000001,0.01,2.4278152739657552,-0.008639362281556052,0.0013445330990631977,0.7443025790210088,0.005817764173314366,10.212314643859862
0.3000000000000001,0.01,2.412866552868156,0.0013323171420181437,0.0012581394762476372,0.7685807317606663,0.005817764173314366,10.208494844436643
0.3100000000000001,0.01,2.39723011738586,0.0018938756903192876,0.0012714626476678186,0.7927093972893479,0.0,10.203741827011108
0.3200000000000001,0.01,2.3814220731895013,-0.00826450720984082,0.0012904014045710115,0.8166816984632065,0.0,10.202868003845214
0.3300000000000001,0.01,2.3667940219987362,-0.008387609129711576,0.0012077563324726032,0.8404959191951015,0.005817764173314366,10.19582688331604
0.34000000000000014,0.01,2.35053397581143,0.002221366124857008,0.0011238802411754874,0.8641638594150889,0.0,10.18951470375061
0.35000000000000014,0.01,2.3345658014011175,-0.007305221567640668,0.0011460939024240575,0.8876691991732032,0.0,10.190099601745606
0.36000000000000015,0.01,2.320626368984848,-0.007449610365756374,0.0010730416867476508,0.9110148571872144,0.005817764173314366,10.185060577392578
0.37000000000000016,0.01,2.3052080473575933,0.0030970113220691988,9.98545583090087E-4,0.9342211208770629,0.0,10.185629806518556
0.38000000000000017,0.01,2.291443673298958,-0.006490546290085566,0.001029515696310779,0.9572732013506389,0.0,10.186805572509764
0.3900000000000002,0.01,2.2779416394923504,-0.006691852026020063,9.646102334099233E-4,0.9801876380836284,0.0,10.172086791992188
0.4000000000000002,0.01,2.2600717189076356,-0.006269966517164501,8.976917131497227E-4,1.0029670544785518,0.0,10.169284801483156
0.4100000000000002,0.01,2.2456195117281528,-0.005834996135473197,8.349920479780777E-4,1.0255677716676281,0.0,10.171221628189087
