time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbitmq}.r.angle,{rabbitmq}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.048987646102905
0.01,0.01,2.5337165409088134,-0.034863861758985024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.048815860748292
0.02,0.01,2.533668441009522,-0.034863861758985024,-3.4863861758985026E-4,0.025337165409088133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.048600282669067
0.03,0.01,2.518405779901886,-0.026322215628033753,-6.972772351797005E-4,0.05067384981918335,2.5337165409088135E-4,0.0,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.048600282669067
0.04,0.01,2.503203769255829,-0.024753341848879423,-9.604993914600381E-4,0.07585790761820221,7.601101522826968E-4,-1.355627487154057E-10,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.048600282669067
0.05,0.01,2.488093334576418,-0.023568842145617906,-0.0012080328099488323,0.10088994531076051,0.00151868832910327,-1.1682420413658806E-6,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.048600282669067
0.060000000000000005,0.01,2.4730741119608823,-0.022454941762418332,-0.0014437212314050115,0.1257708786565247,0.0025275871768254913,-6.30065010391372E-8,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.046391019821169
0.07,0.01,2.4575269583560124,-0.021394343865865525,-0.0016682706490291949,0.15050161977613352,0.0037852958138770458,-6.762677395139863E-7,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.048635053634644
0.08,0.01,2.44331684315202,-0.02735664383835365,-0.0018822140876878501,0.17507688935969365,0.005290258529946824,-1.3364008431273181E-5,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.048807411193849
0.09,0.01,2.4286199415184617,-0.026393898364389698,-0.0021557805260713865,0.19951005779121384,0.007040623457206611,2.4243706275690965E-5,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.048807411193849
0.09999999999999999,0.01,2.4139600404595494,-0.025162849391663786,-0.0024197195097152833,0.22379625720639845,0.009033745610507014,-6.458420605209362E-5,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.048807411193849
0.10999999999999999,0.01,2.3993883208104387,-0.02397512396526625,-0.002671348003631921,0.24793585761099396,0.011266883950997444,8.228180836544128E-5,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.048807411193849
0.11999999999999998,0.01,2.3849045605676813,-0.022842795742641378,-0.0029110992432845838,0.2719297408190984,0.013736940694276313,-1.3228434439984757E-4,0.0,0.0,0.02537583750063277,0.0,0.0,-0.02327105669325769,9.047822780609131
0.12999999999999998,0.01,2.3702325340790975,-0.01479114281240745,-0.0031395272007109978,0.2957787864247752,0.016445077482423617,1.1383256049985789E-4,0.0,0.0,0.02537583750063277,0.0,0.0,-0.02908882086657205,9.045285663604735
0.13999999999999999,0.01,2.3552127139544603,-0.020735989355785533,-0.0032874386288350723,0.31948111176556615,0.01939202964815437,-1.391140401614666E-4,0.0,-1.3341567613763078E-6,0.07563446085168835,7.586819157659764E-4,-1.3517657220316608E-10,-0.02908882086657205,9.045088214874268
0.15,0.01,2.3409360331054554,-0.020070387929227197,-0.0034947985223929274,0.3430332389051107,0.022580451074424922,6.284359399743978E-5,0.0,-1.3341567613763078E-6,0.07563446085168835,7.586819157659764E-4,-1.3517657220316608E-10,-0.02908882086657205,9.045088214874268
0.16,0.01,2.3268047568217285,-0.019137268408216848,-0.0036955024016851992,0.3664425992361653,0.026007456395138802,-8.820219764148673E-5,0.0,-1.3341567613763078E-6,0.07563446085168835,7.586819157659764E-4,-1.3517657220316608E-10,-0.02908882086657205,9.045088214874268
