time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbit}.r.angle,{rabbit}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.28126940911411E-4,-0.008124144610199347,0.12605067013339522,0.6260468918760275,-0.12034473030742318,0.0,8.696978940963746
0.01,0.01,2.435154103469849,0.0,0.0,0.0,0.0,0.0,-8.364020544879835E-4,-0.008127340232670597,0.15760279755596684,0.6273084376435848,-0.1203549795131606,0.0,8.6946173286438
0.02,0.01,2.4344928520202638,0.0,0.0,0.02435154103469849,0.0,0.0,-8.364020544879835E-4,-0.008127340232670597,0.15760279755596684,0.6273084376435848,-0.1203549795131606,0.0,8.6980268573761
0.03,0.01,2.420836595444489,0.0,0.0,0.04869646955490113,2.435154103469849E-4,0.0,-8.364020544879835E-4,-0.008127340232670597,0.15760279755596684,0.6273084376435848,-0.1203549795131606,0.005817764173314366,8.696681480407715
0.04,0.01,2.4058529327812197,0.006972772351796951,0.0,0.07290483550934602,7.304801058959962E-4,0.0,-8.364020544879835E-4,-0.008127340232670597,0.15760279755596684,0.6273084376435848,-0.1203549795131606,0.005817764173314366,8.689718322753906
0.05,0.01,2.3893782290654864,0.006972772351796951,6.972772351796951E-5,0.09696336483715823,0.0014595284609894565,0.0,-8.364020544879835E-4,-0.008127340232670597,0.15760279755596684,0.6273084376435848,-0.1203549795131606,0.0,8.694754047393799
0.060000000000000005,0.01,2.376353114367969,-3.137747558308628E-4,1.3945544703593903E-4,0.12085714712781309,0.002429162109361039,0.0,-0.0018863358488236948,-0.008162317449821677,0.28428181944917696,0.6355500586588754,-0.12042205616700231,0.0,8.694754047393799
0.07,0.01,2.3620168449935757,-6.275495116617256E-4,1.363176994776304E-4,0.14462067827149278,0.00363773357667704,9.786232356827136E-8,-0.0018863358488236948,-0.008162317449821677,0.28428181944917696,0.6355500586588754,-0.12042205616700231,0.0,8.695347938537598
0.08,0.01,2.3479250158276312,-6.134296476493367E-4,1.3004220436101314E-4,0.16824084672142853,0.005083940354268877,2.1959194145060408E-7,-0.0018863358488236948,-0.008162317449821677,0.28428181944917696,0.6355500586588754,-0.12042205616700231,0.0,8.692600793838501
0.09,0.01,2.3329837142419234,-5.851899196245591E-4,1.2390790788451977E-4,0.19172009687970484,0.00676634882142506,2.3357422528272358E-7,-0.0018863358488236948,-0.008162317449821677,0.28428181944917696,0.6355500586588754,-0.12042205616700231,0.005817764173314366,8.693249616622925
0.09999999999999999,0.01,2.319077834526596,0.006415186766316612,1.1805600868827418E-4,0.21504993402212408,0.00868354974938615,6.292779936348483E-7,-0.002718548561691403,-0.008222296589316265,0.37815576848487353,0.6449467174661047,-0.12049893069096408,0.0,8.689545612335206
0.10999999999999999,0.01,2.3040428110405826,-5.312520390972338E-4,1.822078763514403E-4,0.23824071236739003,0.010834049059985841,2.723434710993427E-7,-0.002718548561691403,-0.008222296589316265,0.37815576848487353,0.6449467174661047,-0.12049893069096408,0.005817764173314366,8.688725719451904
0.11999999999999998,0.01,2.289898774026099,0.006152836908215469,1.7689535596046796E-4,0.2612811404777958,0.013216456012142414,1.1763612689358365E-6,-0.002718548561691403,-0.008222296589316265,0.37815576848487353,0.6449467174661047,-0.12049893069096408,0.0,8.689044075012207
0.12999999999999998,0.01,2.2761636567167405,-7.960291018221058E-4,2.3842372504262265E-4,0.2841801282180568,0.015829267321002646,4.683853914376547E-7,-0.002718548561691403,-0.008222296589316265,0.37815576848487353,0.6449467174661047,-0.12049893069096408,0.0,8.679475946426392
0.13999999999999999,0.01,2.2597451880685555,-0.0010729067626918018,2.304634340244016E-4,0.3069417647852242,0.018671068303140966,1.7742647129855923E-6,-0.002718548561691403,-0.008222296589316265,0.37815576848487353,0.6449467174661047,-0.12049893069096408,0.0,8.675543479919433
0.15,0.01,2.244987115506307,-0.0010370854531098071,2.1973436639748358E-4,0.3295392166659098,0.021740485899087364,1.2097813806077208E-6,-0.003764472557619136,-0.008322086748340625,0.45125548168516616,0.6570294501194904,-0.12059866104023988,0.0,8.671505298614502
0.16,0.01,2.230297953612515,-9.88804648788676E-4,2.0936351186638552E-4,0.3519890878209729,0.025035877869471163,2.3471503289420213E-6,-0.003764472557619136,-0.008322086748340625,0.45125548168516616,0.6570294501194904,-0.12059866104023988,0.0,8.66870675086975
0.17,0.01,2.2160444375509463,-9.421358033987349E-4,1.9947546537849877E-4,0.374292067357098,0.028555768747554777,2.317353985842475E-6,-0.003764472557619136,-0.008322086748340625,0.45125548168516616,0.6570294501194904,-0.12059866104023988,0.0,8.666201791763307
0.18000000000000002,0.01,2.201961261279467,-8.976395942032444E-4,1.9005410734451142E-4,0.3964525117326075,0.032298689354905465,3.021424028739545E-6,-0.003764472557619136,-0.008322086748340625,0.45125548168516616,0.6570294501194904,-0.12059866104023988,0.0,8.663995084762574
0.19000000000000003,0.01,2.1880471166939564,-8.552434830503014E-4,1.8107771140247897E-4,0.41847212434540215,0.03626321445616779,3.3783137210323334E-6,-0.004043003859252492,-0.008710762500125691,0.6446096525513099,0.6999272154322195,-0.1209854748569602,0.005817764173314366,8.661266365051269
