time,step-size,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{mq-local}.l.angle,{mq-local}.l.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005817764173314366,9.128051137924194
0.01,0.01,2.555854318618774,-0.001549504967065989,4.259757197697957,-0.006972772351796951,0.0,0.0,0.0,0.0,0.0,-0.005817764173314366,9.126102342605591
0.02,0.01,2.5553086559295655,-0.001549504967065989,4.2588477598826096,-0.006972772351796951,-6.972772351796951E-5,0.0,0.025558543186187742,0.0,0.0,-0.005817764173314366,9.124786128997805
0.03,0.01,2.5396049902076725,-0.001549504967065989,4.258233526865642,-0.006658997595966088,-1.3945544703593903E-4,-5.397150320099362E-8,0.051111629745483396,2.5558543186187744E-4,0.0,-0.005817764173314366,9.128051843643188
0.04,0.01,2.5251875383728026,-0.001549504967065989,4.2597575270334875,-0.0063452228401352255,-2.060454229955999E-4,-5.397150320099362E-8,0.07650767964756013,7.667017293167106E-4,-2.7585714884163563E-11,-0.005817764173314366,9.128051843643188
0.05,0.01,2.5099499084315564,-0.001549504967065989,4.2597575270334875,-0.0060455679483167515,-2.6949765139695216E-4,-1.8762000635583955E-6,0.10175955503128815,0.001531778490203038,-2.333879375455709E-7,-0.005817764173314366,9.128051843643188
0.060000000000000005,0.01,2.4947987832013196,-0.001549504967065989,4.2597575270334875,-0.005760032920510667,-3.2995333088011965E-4,4.5085980894828804E-6,0.12685905411560372,0.0025493740224405504,-4.158900634393033E-8,-0.005817764173314366,9.128051843643188
0.07,0.01,2.47973908375073,-0.001549504967065989,4.2597575270334875,-0.005487982362836412,-3.8755366008522634E-4,-2.501329323682268E-5,0.1518070419476169,0.0038179645571042344,-1.6993337082582746E-7,-0.005817764173314366,9.127925291061402
0.08,0.01,2.4647348563286227,-0.001549504967065989,4.259698469161988,-0.005228780881413432,-4.4243348371359045E-4,6.480198009783185E-5,0.1766044327851242,0.0053360329088315665,-2.6755216077217955E-6,-0.005817764173314366,9.12735981941223
0.09,0.01,2.44969808976435,-0.001549504967065989,4.259434582392374,-0.0049818216750857945,-4.947212925277247E-4,-1.7600649505329334E-4,0.20125178134841043,0.007102063094248979,4.392160479466944E-6,-0.005817764173314366,9.125425863265992
0.09999999999999999,0.01,2.4343681729054314,-0.001549504967065989,4.258532069524129,-0.004746526535422189,-5.445395092785827E-4,3.286295881667207E-4,0.22574876224605392,0.009114511504701241,-1.232145250511871E-5,-0.005817764173314366,9.125425863265992
0.10999999999999999,0.01,2.419669984366845,-0.001549504967065989,4.258532069524129,-0.00452234456004333,-5.920047746328045E-4,-5.596453761229227E-4,0.2500924439751082,0.011371837998356019,1.46501363759633E-5,-0.005817764173314366,9.125425863265992
0.11999999999999998,0.01,2.405063775329413,-0.001549504967065989,4.258532069524129,-0.0043087508659493306,-6.372282202332379E-4,7.133802379577615E-4,0.27428914381877667,0.013872455570226871,-2.4526547952652906E-5,-0.005817764173314366,9.121222019195557
0.12999999999999998,0.01,2.3893686790834896,-0.001549504967065989,4.256570275624593,-0.00410524536074738,-6.803157288927312E-4,-8.264257229505103E-4,0.2983397815720708,0.01661499525591419,1.9399686962986606E-5,-0.005817764173314366,9.12194959640503
0.13999999999999999,0.01,2.3751420180501657,-0.001549504967065989,4.256909811655681,-0.0039113515717796605,-7.213681825002051E-4,7.104468355585875E-4,0.3222334683629057,0.019598056943240127,-2.5383082661223973E-5,-0.005817764173314366,9.122114057540893
0.15,0.01,2.3608518550937063,-0.001549504967065989,4.25698656018575,-0.003726615530546028,-7.604816982180017E-4,-5.92808902568048E-4,0.3459848885434073,0.0228202051189084,9.286029764447646E-6,-0.005817764173314366,9.11731273651123
0.16,0.01,2.3452566330971,-0.001549504967065989,4.254745943705241,-0.003550604709815943,-7.97747853523462E-4,3.105270871370179E-4,0.36959340709434435,0.026279956958275542,-1.6627673851037803E-5,-0.005817764173314366,9.11731273651123
0.17,0.01,2.331091521966538,-0.001549504967065989,4.254745943705241,-0.003382907010941372,-8.332539006216214E-4,-2.2885528722307142E-4,0.39304597342531533,0.02997587001284426,-4.163732696360839E-6,-0.005817764173314366,9.11731273651123
0.18000000000000002,0.01,2.317019982167955,-0.001549504967065989,4.254745943705241,-0.0032231297989996546,-8.670829707310351E-4,1.735575020040119E-5,0.4163568886449807,0.03390632100840755,-1.2451920732199311E-5,-0.005817764173314366,9.11731273651123
0.19000000000000003,0.01,2.303033433036156,-0.001549504967065989,4.254745943705241,-0.003070898983507293,-8.993142687210317E-4,-9.231212545662628E-5,0.4395270884666603,0.038069889854529165,-1.1872422355652653E-5,-0.005817764173314366,9.109845638275146
0.20000000000000004,0.01,2.2870405256370447,-0.001549504967065989,4.251261297861735,-0.0029258581425523084,-9.300232585561046E-4,-7.22393411253508E-5,0.46255742279702183,0.042465159781714217,-1.477359119641709E-5,-0.005817764173314366,9.110552520751954
0.21000000000000005,0.01,2.273420252132334,-0.001549504967065989,4.251591176350912,-0.00278766768829448,-9.592818399816276E-4,-9.162180871945101E-5,0.4854278280533923,0.047090733493118236,-1.6959644799488324E-5,-0.005817764173314366,9.110552520751954
0.22000000000000006,0.01,2.259698008978512,-0.001549504967065989,4.251591176350912,-0.0026560040718796264,-9.871585168645725E-4,-1.0321344650169578E-4,0.5081620305747157,0.051945011060294706,-1.9591311695178825E-5,-0.005817764173314366,9.110552520751954
