time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbitmq}.r.angle,{rabbitmq}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.0481564617157
0.01,0.01,2.533483809280396,-0.027891089407188076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.047768230438232
0.02,0.01,2.5333751045227046,-0.027891089407188076,-2.7891089407188076E-4,0.02533483809280396,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.050256538391114
0.03,0.01,2.5188709278938295,-0.03360876273566156,-5.578217881437615E-4,0.050668589138031,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.04827483177185
0.04,0.01,2.5031157994132998,-0.02538089136054115,-8.939094155003772E-4,0.0758572984169693,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.047771368026734
0.05,0.01,2.4878616039973034,-0.02386849703743638,-0.0011477183291057887,0.10088845641110229,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.046104221343994
0.060000000000000005,0.01,2.472376108129657,-0.029699129278008975,-0.0013864032994801525,0.12576707245107532,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.04658082962036
0.07,0.01,2.457582388823056,-0.02862504691132434,-0.0016833945922602423,0.1504908335323719,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.050160102844238
0.08,0.01,2.4437503286769635,-0.027288586093813932,-0.0019696450613734856,0.17506665742060246,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.047651634216308
0.09,0.01,2.4283024631282046,-0.026000458982804342,-0.002242530922311625,0.1995041607073721,0.0,0.0,0.02536678864885289,0.0,0.0,-0.02327105669325769,9.044253196716308
0.09999999999999999,0.01,2.4126883986561434,-0.017799700256785764,-0.0025025355121396685,0.22378718533865413,0.0,-2.1353932212188753E-7,0.05028159012385913,2.5248830139930497E-4,0.0,-0.02908882086657205,9.044493350982666
0.10999999999999999,0.01,2.398185827071954,-0.023602451954356514,-0.002680532514707526,0.24791406932521556,0.0,-1.0296433366279302E-6,0.07534938154151405,7.591279159371369E-4,-1.0818747984850463E-10,-0.02327105669325769,9.044940538406372
0.11999999999999998,0.01,2.383834909158655,-0.01582869309100421,-0.0029165570342510913,0.2718959275959351,0.0,-2.7907590118775487E-6,0.10020779028985773,0.0015120102132197464,-8.83387720510946E-10,-0.02908882086657205,9.044575033187868
0.12999999999999998,0.01,2.3693434527350425,-0.021739355104855113,-0.003074843965161133,0.29573427668752167,0.0,-2.7907590118775487E-6,0.10020779028985773,0.0015120102132197464,-8.83387720510946E-10,-0.02908882086657205,9.042750635147094
0.13999999999999999,0.01,2.3545296118286734,-0.021027063915759925,-0.0032922375162096843,0.3194277112148721,0.0,-2.7907590118775487E-6,0.10020779028985773,0.0015120102132197464,-8.83387720510946E-10,-0.02327105669325769,9.038662080764771
0.15,0.01,2.3391687558852126,-0.013076020584244497,-0.0035025081553672834,0.34297300733315883,0.0,-1.740552008271466E-5,0.17460144786218734,0.005276978462613379,-2.7013828330906395E-8,-0.02327105669325769,9.032079381942747
0.16,0.01,2.323198422544074,-0.0121298027080353,-0.003633268361209728,0.36636469489201096,0.0,-2.662959504782941E-5,0.198465443938062,0.0070039671751419615,-5.7072965052479676E-8,-0.02327105669325769,9.033323030471802
0.17,0.01,2.309511631596898,-0.0115413817817443,-0.003754566388290081,0.3895966791174517,0.0,-2.662959504782941E-5,0.198465443938062,0.0070039671751419615,-5.7072965052479676E-8,-0.02908882086657205,9.033707838058472
0.18000000000000002,0.01,2.2956801871859014,-0.017968313011679657,-0.003869980206107524,0.4126917954334207,0.0,-2.662959504782941E-5,0.198465443938062,0.0070039671751419615,-5.7072965052479676E-8,-0.02908882086657205,9.032138900756836
0.19000000000000003,0.01,2.2813838149518615,-0.017448950831501164,-0.00404966333622432,0.4356485973052797,0.0,-2.662959504782941E-5,0.198465443938062,0.0070039671751419615,-5.7072965052479676E-8,-0.02908882086657205,9.027877464294434
0.20000000000000004,0.01,2.266416531619274,-0.016640376745975582,-0.004224152844539332,0.4584624354547983,0.0,-9.265120616519136E-5,0.29441639601031966,0.016384127116509262,-5.17648646496172E-7,-0.02908882086657205,9.053780994415284
0.21000000000000005,0.01,2.2599812171634004,-0.015855173958558032,-0.004390556611999088,0.48112660077099106,0.0,-9.265120616519136E-5,0.29441639601031966,0.016384127116509262,-5.17648646496172E-7,-0.02327105669325769,9.053121337890625
0.22000000000000006,0.01,2.2461980141467808,-0.00813358465319218,-0.004549108351584668,0.5037264129426251,0.0,-9.265120616519136E-5,0.29441639601031966,0.016384127116509262,-5.17648646496172E-7,-0.02327105669325769,9.052987213134765
0.23000000000000007,0.01,2.2326005719121587,-0.00742010182505707,-0.00463044419811659,0.5261883930840929,0.0,-9.265120616519136E-5,0.29441639601031966,0.016384127116509262,-5.17648646496172E-7,-0.02908882086657205,9.051837606430054
0.24000000000000007,0.01,2.218801493949959,-0.014026862867460368,-0.004704645216367161,0.5485143988032145,0.0,-2.181313541748089E-4,0.3873458337711213,0.029575973141904167,-2.335140347644434E-6,-0.02908882086657205,9.04977186203003
