time,step-size,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{mq-local}.l.angle,{mq-local}.l.distance,{mq-networked}.n.steer_angle_s,{mq-networked}.n.theta_s,{mq-networked}.n.velocity_s,{mq-networked}.n.x_s,{mq-networked}.n.y_s
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011635528346628954,9.6209100151062,0.0,0.01077902689576149,0.0,-1.050341248512268,-0.2778940200805664
0.01,0.01,2.6938548042297357,0.0030990099341320376,4.489758007049559,0.01394554470359417,0.0,0.0,0.0,0.0,0.0,0.011635528346628954,9.619214191436768,0.0,0.01077902689576149,0.0,-1.050341248512268,-0.2778940200805664
0.02,0.01,2.693379973602295,0.0030990099341320376,4.488966622670492,0.01394554470359417,1.394554470359417E-4,0.0,0.026938548042297356,0.0,0.0,0.011635528346628954,9.61530089378357,0.0,0.01077902689576149,0.0,-1.050341248512268,-0.2778940200805664
0.03,0.01,2.676121121434021,0.0030990099341320376,4.487140417098999,0.013317995191932431,2.789108940718834E-4,1.1377126844612836E-7,0.053872347778320305,2.6938548042297356E-4,0.0,0.011635528346628954,9.61530089378357,0.0,0.01077902689576149,0.0,-1.050341248512268,-0.2778940200805664
0.04,0.01,2.659960841592407,0.0030990099341320376,4.487140417098999,0.012690445680270696,4.1209084599120774E-4,1.1377126844612836E-7,0.08063355899266052,8.081089582061731E-4,6.129125340910453E-11,0.011635528346628954,9.61530089378357,0.0,0.01077902689576149,0.008212140130012813,-1.050341248512268,-0.2778940200805664
0.05,0.01,2.643904114863803,0.0030990099341320376,4.487140417098999,0.012091135896633735,5.389953027939147E-4,3.73361328639718E-6,0.10723316740858459,0.001614444414894408,4.6360164804710603E-7,0.011635528346628954,9.61530089378357,2.0631926179515148E-4,0.010779078727660738,0.016586961481038998,-1.0502582998894296,-0.2778931259405003
0.060000000000000005,0.01,2.6279443498142485,0.0030990099341320376,4.487140417098999,0.011520065841021552,6.599066617602521E-4,-7.7505008646338E-6,0.13367220855722262,0.002686776051481048,1.8001185381624148E-7,0.011635528346628954,9.613589296340942,2.0631926179515148E-4,0.010779078727660738,0.016586961481038998,-1.0502582998894296,-0.2778931259405003
0.07,0.01,2.61160167784113,0.0030990099341320376,4.486341671625773,0.010975964725673035,7.751073201704676E-4,4.337665709225134E-5,0.1599516520553651,0.004023498127689838,3.3822886480732107E-7,0.011635528346628954,9.61241050720215,0.0012481557998675896,0.010779285795720846,0.02478803217195491,-1.0500942353709384,-0.27789135740764415
0.08,0.01,2.5955039507833826,0.0030990099341320376,4.485791570027669,0.010457561762827066,8.84866967427198E-4,-1.0059167778033786E-4,0.1860676688337764,0.00562300838465011,4.814544642688477E-6,0.011635528346628954,9.610060739517213,0.0012481557998675896,0.010780588628564744,0.0413961441884112,-1.0495145438607565,-0.27788510834991553
0.09,0.01,2.5791764057645534,0.0030990099341320376,4.484695011774699,0.009963643350171778,9.894425850554686E-4,2.634094879692513E-4,0.21202270834161022,0.007483653252132651,-6.067350158501328E-6,0.011635528346628954,9.612413949966433,0.0012481557998675896,0.010780588628564744,0.0413961441884112,-1.0495145438607565,-0.27788510834991553
0.09999999999999999,0.01,2.564262280985635,0.0030990099341320376,4.485793176651002,0.00949305307084456,0.0010890790185571863,-4.4146672832157596E-4,0.23781447239925574,0.009603740805453148,1.8256537414384027E-5,0.011635528346628954,9.612413949966433,0.0012481557998675896,0.010780588628564744,0.0413961441884112,-1.0495145438607565,-0.27788510834991553
0.10999999999999999,0.01,2.5487872225510477,0.0030990099341320376,4.485793176651002,0.009044689120086831,0.0011840095492656319,7.109134410432257E-4,0.2634570952091121,0.011981625663505562,-1.689926009742388E-5,0.011635528346628954,9.612413949966433,0.002015166903716059,0.01078633097679614,0.08498940707352176,-1.0480234156450083,-0.2778690299928118
0.11999999999999998,0.01,2.533401648865134,0.0030990099341320376,4.485793176651002,0.008617501731898826,0.0012744564404665003,-7.98103022964845E-4,0.28894496743462256,0.014615757542436622,3.1197995556556545E-5,0.011635528346628954,9.612708892822264,0.002015166903716059,0.01078633097679614,0.08498940707352176,-1.0480234156450083,-0.2778690299928118
0.12999999999999998,0.01,2.51819150952946,0.0030990099341320376,4.48593081665039,0.008210490721494918,0.0013606314577854885,8.738500009861511E-4,0.3142789839232739,0.017504815153256786,-1.6399713858868153E-5,0.011635528346628954,9.603941497802737,0.002015166903716059,0.01078633097679614,0.08498940707352176,-1.0480234156450083,-0.2778690299928118
0.13999999999999999,0.01,2.5005362290308017,0.0030990099341320376,4.481839365641277,0.00782270314355947,0.0014427363650004377,-6.224747778485907E-4,0.3394608990185685,0.020647272444778875,2.9318384791578564E-5,0.011635528346628954,9.603489065170288,0.002015166903716059,0.01078633097679614,0.08498940707352176,-1.0480234156450083,-0.2778690299928118
0.15,0.01,2.4853003988365394,0.0030990099341320376,4.4816282304128015,0.007453231061092199,0.0015209633964360324,5.236874942404046E-4,0.36446626130887655,0.024041754015052118,-9.360808173621671E-8,0.011635528346628954,9.602583703994751,0.002015166903716059,0.01078633097679614,0.08498940707352176,-1.0480234156450083,-0.2778690299928118
