time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbit}.r.angle,{rabbit}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.563059883117676
0.01,0.01,2.397656767272949,1.875675762633401,0.0,0.0,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.563059883117676
0.02,0.01,2.397656767272949,1.875675762633401,0.01875675762633401,0.02397656767272949,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.563059883117676
0.03,0.01,2.3832708266693117,1.7912703533148981,0.03751351525266802,0.04795313534545898,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.563059883117676
0.04,0.01,2.3688848860656737,1.7068649439963952,0.05542621878581701,0.0717858436121521,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.563059883117676
0.05,0.01,2.354585261105658,1.6262577780972247,0.07249486822578097,0.09547469247280883,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.563059883117676
0.060000000000000005,0.01,2.340371951789264,1.5494488556173867,0.08875744600675321,0.11902054508386542,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.563059883117676
0.07,0.01,2.32624444022263,1.4762672556030116,0.10425193456292708,0.14242426460175805,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.563059883117676
0.08,0.01,2.3122022085118945,1.4065420571002294,0.1190146071189572,0.16568670900398436,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.556319904327392
0.09,0.01,2.296357547809279,1.340110030598094,0.1330800276899595,0.1888087310891033,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.556319904327392
0.09999999999999999,0.01,2.2824843345582075,1.2768156380285833,0.14648112799594043,0.2117723065671961,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.556319904327392
0.10999999999999999,0.01,2.2687061892713523,1.2165106866516693,0.15924928437622626,0.23459714991277816,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.556319904327392
0.11999999999999998,0.01,2.2550112832640026,1.159053982940383,0.17141439124274296,0.25728421180549166,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.556319904327392
0.12999999999999998,0.01,2.241399046128375,1.1043110020410578,0.1830049310721468,0.2798343246381317,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.556319904327392
0.13999999999999999,0.01,2.227868978428791,1.0521535728087406,0.19404804109255738,0.3022483150994154,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.556319904327392
0.15,0.01,2.21442058415202,1.002459577716893,0.20456957682064478,0.32452700488370334,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.556319904327392
0.16,0.01,2.2010533702814477,0.9551126669404997,0.21459417259781371,0.34667121072522356,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.556319904327392
0.17,0.01,2.1877668467765354,0.9100019859432394,0.2241452992672187,0.368681744428038,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.556319904327392
0.18000000000000002,0.01,2.174560526554847,0.8670219159309169,0.2332453191266511,0.39055941289580337,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.556319904327392
0.19000000000000003,0.01,2.1614339254741877,0.8260718265634712,0.2419155382859603,0.41230501816135184,0.0,0.0,0.0,0.8305216947561768,0.8305216947561768,1.5649785626215822,8.556319904327392
