time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbitmq}.r.angle,{rabbitmq}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.048847608566284
0.01,0.01,2.5336773303985596,-0.027891089407188076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.047385568618774
0.02,0.01,2.5332679592132563,-0.034863861758985024,-2.7891089407188076E-4,0.025336773303985597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.048533735275267
0.03,0.01,2.518387381894683,-0.026635990383864612,-6.27549511661731E-4,0.050669452896118156,2.53367733039856E-4,0.0,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.048533735275267
0.04,0.01,2.5031877741394037,-0.025067116604710286,-8.939094155003772E-4,0.07585332671506499,7.600622457373573E-4,1.283800427730283E-7,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.048533735275267
0.05,0.01,2.4880774498480354,-0.02386849703743638,-0.00114458058154748,0.10088520445645903,0.0015185953644077368,-3.4622972008860286E-7,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.048533735275267
0.060000000000000005,0.01,2.4730583232031993,-0.02274047679022442,-0.0013832655519218438,0.12576597895493938,0.002527444331845259,2.145501083825807E-6,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.049241275787354
0.07,0.01,2.4583279698474954,-0.021666394423539778,-0.001610670319824088,0.15049656218697138,0.0037851014976649014,4.714452607380995E-6,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.045669412612916
0.08,0.01,2.442489498219434,-0.02761584531977663,-0.0018273342640594858,0.17507984188544634,0.005290056795213467,-8.600778845358392E-7,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.049039497375489
0.09,0.01,2.428683154133869,-0.02664085757071734,-0.002103492717257252,0.19950473686764067,0.007040345180981959,4.139711212159082E-5,0.0,0.0,0.025138193551811128,0.0,0.0,-0.02908882086657205,9.049039497375489
0.09999999999999999,0.01,2.414028217144552,-0.02539814453132739,-0.0023699012929644255,0.22379156840897935,0.009034369404549988,-2.2488716405367747E-5,0.0,0.0,0.025138193551811128,0.0,0.0,-0.02908882086657205,9.049039497375489
0.10999999999999999,0.01,2.399456118219749,-0.024199305940645108,-0.0026238827382776995,0.24793185058042488,0.011267401394524559,1.2527711471028362E-4,0.0,0.0,0.025138193551811128,0.0,0.0,-0.02908882086657205,9.049039497375489
0.11999999999999998,0.01,2.3849719489168817,-0.023056389436735377,-0.0028658757976841504,0.2719264117626224,0.013741706726496928,-3.2308980477444694E-5,0.0,0.0,0.025138193551811128,0.0,0.0,-0.02327105669325769,9.045535879135132
0.12999999999999998,0.01,2.369594199100263,-0.0149946483176094,-0.003096439692051504,0.2957761312517912,0.016449690885678957,2.151160284216597E-4,0.0,0.0,0.025138193551811128,0.0,0.0,-0.02327105669325769,9.044019136428831
0.13999999999999999,0.01,2.3548596794489978,-0.013957110792956308,-0.003246386175227598,0.3194720732427938,0.019402797737943914,4.9248910120782585E-5,0.0,-1.2585766788145703E-5,0.14999484915762196,0.003790687292397105,-1.374045945108858E-8,-0.02908882086657205,9.042099018096923
0.15,0.01,2.340104481121462,-0.02025512397046083,-0.003385957283157161,0.34302067003728376,0.02258921010282659,2.7950268126840535E-4,0.0,-1.2585766788145703E-5,0.14999484915762196,0.003790687292397105,-1.374045945108858E-8,-0.02908882086657205,9.042099018096923
0.16,0.01,2.3259753230447684,-0.0196270539847778,-0.0035885085228617693,0.3664217148484984,0.026019086067981475,2.3187001458304892E-4,0.0,-1.2585766788145703E-5,0.14999484915762196,0.003790687292397105,-1.374045945108858E-8,-0.02908882086657205,9.042099018096923
0.17,0.01,2.311934696158039,-0.01871557340610706,-0.0037847790627095475,0.3896814680789461,0.029679903704396052,3.8967224576946585E-4,0.0,-1.2585766788145703E-5,0.14999484915762196,0.003790687292397105,-1.374045945108858E-8,-0.02908882086657205,9.042099018096923
0.18000000000000002,0.01,2.2979788442197706,-0.017832355976792058,-0.003971934796770618,0.4128008150405265,0.03357597102705825,4.659878647483069E-4,0.0,-1.0338481173116433E-4,0.2936526823477834,0.016376499043586328,-5.928729441713464E-7,-0.02908882086657205,9.031561918258667
0.19000000000000003,0.01,2.281156848088111,-0.016990155173517242,-0.004150258356538539,0.43578060348272424,0.0377014826713312,6.095321533166016E-4,0.0,-1.0338481173116433E-4,0.2936526823477834,0.016376499043586328,-5.928729441713464E-7,-0.02908882086657205,9.031589918136596
0.20000000000000004,0.01,2.2673768149886127,-0.0161876991545616,-0.004320159908273711,0.45859217196360536,0.04205663487269401,7.6159378602324E-4,0.0,-1.5939923645559185E-4,0.3409470374638772,0.022493079568519807,-1.3085887382190028E-6,-0.02908882086657205,9.026281757354736
0.21000000000000005,0.01,2.2522035888811627,-0.015423142171753324,-0.004482036899819327,0.4812659401134915,0.046638838824642814,9.462149152974135E-4,0.0,-1.5939923645559185E-4,0.3409470374638772,0.022493079568519807,-1.3085887382190028E-6,-0.02908882086657205,9.026281757354736
0.22000000000000006,0.01,2.2385993279912313,-0.014694695709798054,-0.00463626832153686,0.5037879760023031,0.05144672438702888,0.0011605206089499265,0.0,-1.5939923645559185E-4,0.3409470374638772,0.022493079568519807,-1.3085887382190028E-6,-0.02908882086657205,9.026281757354736
0.23000000000000007,0.01,2.2250861064579444,-0.014000654312069153,-0.004783215278634841,0.5261739692822154,0.056478477295395804,0.0014089056841672268,0.0,-1.5939923645559185E-4,0.3409470374638772,0.022493079568519807,-1.3085887382190028E-6,-0.02908882086657205,9.026281757354736
0.24000000000000007,0.01,2.2116545104899967,-0.013339393005128238,-0.004923221821755533,0.5484248303467948,0.0617324651894361,0.0016944154113188114,0.0,-2.308620766534288E-4,0.38699488468193977,0.02958283556743675,-2.5616093801251905E-6,-0.02908882086657205,9.049198341369628
0.25000000000000006,0.01,2.204720637375419,-0.012709363561085126,-0.005056615751806815,0.5705413754516948,0.06720701387731526,0.0020204462658887953,0.0,-2.308620766534288E-4,0.38699488468193977,0.02958283556743675,-2.5616093801251905E-6,-0.02908882086657205,9.049703750610352
0.26000000000000006,0.01,2.1915922248998814,-0.012109090875854355,-0.005183709387417666,0.592588581825449,0.07290041496305462,0.002390487057063339,0.0,-2.308620766534288E-4,0.38699488468193977,0.02958283556743675,-2.5616093801251905E-6,-0.02908882086657205,9.045986928939818
0.2700000000000001,0.01,2.1773231910078796,-0.011537169515605525,-0.0053048002961762096,0.6145045040744479,0.07881156118568948,0.0028081867884724586,0.0,-2.308620766534288E-4,0.38699488468193977,0.02958283556743675,-2.5616093801251905E-6,-0.02908882086657205,9.045986928939818
0.2800000000000001,0.01,2.16417363765848,-0.01099226042619208,-0.005420171991332265,0.6362777359845267,0.08493867622713887,0.0032772708125267933,0.0,-4.264491946431217E-4,0.47747506368705217,0.04636155285794108,-7.618988001928289E-6,-0.02908882086657205,9.045986928939818
0.2900000000000001,0.01,2.1511096985124327,-0.010473087797989831,-0.005530094595594186,0.6579194723611116,0.09127981620235516,0.0038015603753386398,0.0,-4.264491946431217E-4,0.47747506368705217,0.04636155285794108,-7.618988001928289E-6,-0.02908882086657205,9.045986928939818
0.3000000000000001,0.01,2.138124656686482,-0.009978436078811187,-0.005634825473574084,0.6794305693462359,0.09783309166128969,0.004384984723921082,0.0,-4.264491946431217E-4,0.47747506368705217,0.04636155285794108,-7.618988001928289E-6,-0.02327105669325769,9.033556365966795
0.3100000000000001,0.01,2.1217374408629612,-0.0025343747761046986,-0.0057346098343621955,0.7008118159131007,0.10459656097771516,0.005031570110382956,0.0,-4.264491946431217E-4,0.47747506368705217,0.04636155285794108,-7.618988001928289E-6,-0.02327105669325769,9.023037214279174
0.3200000000000001,0.01,2.1059633304503085,-0.0020853451525581967,-0.005759953582123243,0.7220291903217303,0.11156822625089412,0.005745435259477942,0.0,-6.262172303751922E-4,0.566227111202636,0.06684744383138175,-1.8421449159082657E-5,-0.02327105669325769,9.02030213356018
0.3300000000000001,0.01,2.092467083203812,-0.001971298287633484,-0.005780807033648825,0.7430888236262334,0.11874568386151235,0.006530748837256699,0.0,-6.262172303751922E-4,0.566227111202636,0.06684744383138175,-1.8421449159082657E-5,-0.02327105669325769,9.02030213356018
0.34000000000000014,0.01,2.0798313032211104,-0.001877457755768365,-0.00580052001652516,0.7640134944582715,0.12612651183698262,0.007391840224008051,0.0,-6.262172303751922E-4,0.566227111202636,0.06684744383138175,-1.8421449159082657E-5,-0.02327105669325769,9.02030213356018
0.35000000000000014,0.01,2.0672765007218876,-0.001788749332824858,-0.005819294594082844,0.7848118074904826,0.1337084425584287,0.008333109848837283,0.0,-6.262172303751922E-4,0.566227111202636,0.06684744383138175,-1.8421449159082657E-5,-0.02327105669325769,9.02030213356018
0.36000000000000015,0.01,2.0547975129025606,-0.00170426373381528,-0.005837182087411092,0.8054845724977016,0.14148921824827226,0.009359017730660757,0.0,-6.262172303751922E-4,0.566227111202636,0.06684744383138175,-1.8421449159082657E-5,-0.02327105669325769,9.003199310302735
0.37000000000000016,0.01,2.037605063386145,-0.0016237700138381625,-0.005854224724749245,0.8260325476267272,0.14946650981036308,0.010474077812708031,0.0,-9.275471662553682E-4,0.6530865519563349,0.090772586821292,-7.531865528650767E-5,-0.02908882086657205,9.000127420425414
0.38000000000000017,0.01,2.0244161491430797,-0.008519850497613422,-0.005870462424887627,0.8464085982605887,0.15763791289831267,0.01168285758922567,0.0,-9.275471662553682E-4,0.6530865519563349,0.090772586821292,-7.531865528650767E-5,-0.02327105669325769,8.997833137512208
0.3900000000000002,0.01,2.0115481195470646,-0.0014740084951937564,-0.005955660929863761,0.8666527597520195,0.16600047153780428,0.012989901782055283,0.0,-9.275471662553682E-4,0.6530865519563349,0.090772586821292,-7.531865528650767E-5,-0.02327105669325769,8.997833137512208
0.4000000000000002,0.01,1.9994016226522062,-0.0010906152228011509,-0.005970401014815699,0.8867682409474902,0.1745515383968695,0.014399850777720009,0.0,-9.275471662553682E-4,0.6530865519563349,0.090772586821292,-7.531865528650767E-5,-0.02327105669325769,8.997833137512208
0.4100000000000002,0.01,1.9873323339349238,-0.0010242848405174303,-0.00598130716704371,0.9067622571740123,0.18328842076513877,0.015917308453682073,0.0,-9.275471662553682E-4,0.6530865519563349,0.090772586821292,-7.531865528650767E-5,-0.02327105669325769,8.997833137512208
0.4200000000000002,0.01,1.9753359241990107,-9.752071554913798E-4,-0.005991550015448884,0.9266355805133615,0.19220838632844373,0.017547030348050698,0.0,-0.001441580919551868,0.7583096868407893,0.12553346164977433,-1.9597677170751017E-4,-0.02327105669325769,8.97521224975586
0.4300000000000002,0.01,1.9570780816236235,-9.29114337668097E-4,-0.006001302087003798,0.9463889397553515,0.20130861396589192,0.01929380075481792,0.0,-0.001441580919551868,0.7583096868407893,0.12553346164977433,-1.9597677170751017E-4,-0.02327105669325769,8.966763954162598
0.4400000000000002,0.01,1.9428605433123163,-8.852300156709843E-4,-0.006010593230380479,0.9659597205715877,0.21058619161586567,0.021162424707846874,0.0,-0.001441580919551868,0.7583096868407893,0.12553346164977433,-1.9597677170751017E-4,-0.02327105669325769,8.963239727020264
0.45000000000000023,0.01,1.9301312912227213,-8.434198704759198E-4,-0.006019445530537189,0.9853883260047109,0.22003749426631777,0.02315759296797712,0.0,-0.001441580919551868,0.7583096868407893,0.12553346164977433,-1.9597677170751017E-4,-0.02327105669325769,8.963239727020264
0.46000000000000024,0.01,1.9184741279628477,-8.035845197707269E-4,-0.006027879729241948,1.0046896389169382,0.22965919419223038,0.02528407029875917,0.0,-0.0020534159148661167,0.8607516929207009,0.16562774248863227,-3.6006945374027324E-4,-0.02327105669325769,8.963239727020264
0.47000000000000025,0.01,1.9068933402155113,-7.656306255993109E-4,-0.006035915574439655,1.0238743801965666,0.23944800708339803,0.027546650515329424,0.0,-0.00246437439187547,0.9200343075250714,0.19189570581280752,-4.8065687961721754E-4,-0.02327105669325769,8.963239727020264
0.48000000000000026,0.01,1.895382495447734,-7.294693222096296E-4,-0.006043571880695648,1.0429433135987218,0.24940064879523727,0.029950147467282515,0.0,-0.002610263376801169,0.9395124529590646,0.201119401933858,-5.254945035780708E-4,-0.02327105669325769,8.935414943695069
