time,step-size,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{mq-local}.l.angle,{mq-local}.l.distance,{mq-networked}.n.steer_angle_s,{mq-networked}.n.theta_s,{mq-networked}.n.velocity_s,{mq-networked}.n.x_s,{mq-networked}.n.y_s
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01745329251994332,12.541970148086548,0.0,0.00955750234425068,0.0,-8.788339614868164,-0.12758541107177734
0.01,0.01,3.5117516414642336,-0.004648514901198027,5.852919402440389,-0.02091831705539112,0.0,0.0,-0.011635528346628732,12.539562816619872,0.0,0.00955750234425068,0.0,-8.788339614868164,-0.12758541107177734
0.02,0.01,3.5110775886535643,-0.003099009934131978,5.851795981089274,-0.013945544703593903,-2.091831705539112E-4,0.035117516414642336,-0.011635528346628732,12.539988212585447,0.0,0.00955750234425068,0.0,-8.788339614868164,-0.12758541107177734
0.03,0.01,3.49012618967514,-0.003099009934131978,5.851994499206542,-0.013004220436101301,-3.486386175898502E-4,0.07022829230117798,-0.011635528346628732,12.541708526611329,0.0,0.00955750234425068,0.0,-8.788339614868164,-0.12758541107177734
0.04,0.01,3.4695414120704653,-0.003099009934131978,5.852797312418621,-0.012376670924439576,-4.786808219508632E-4,0.10512955419792938,-0.011635528346628732,12.541708526611329,0.0,0.00955750234425068,0.0,-8.788339614868164,-0.12758541107177734
0.05,0.01,3.448600654932415,-0.003099009934131978,5.852797312418621,-0.011791481004815018,-6.02447531195259E-4,0.13982496831863403,-0.011635528346628732,12.541708526611329,-4.779781375308101E-5,0.00955750234425068,0.003499646270270773,-8.788339614868164,-0.12758541107177734
0.060000000000000005,0.01,3.4277834064599917,-0.003099009934131978,5.852797312418621,-0.011234530813215236,-7.203623412434092E-4,0.17431097486795818,-0.011635528346628732,12.541708526611329,-4.779781375308101E-5,0.00955750234425068,0.003499646270270773,-8.788339614868164,-0.12758541107177734
0.07,0.01,3.4070918025303976,-0.003099009934131978,5.852797312418621,-0.010703914167998561,-8.327076493755616E-4,0.2085888089325581,-0.01745329251994332,12.540820026397704,-4.779781375308101E-5,0.00955750234425068,0.003499646270270773,-8.788339614868164,-0.12758541107177734
0.08,0.01,3.386276322031822,-0.004648514901198027,5.852382678985595,-0.017171132633201094,-9.397467910555472E-4,0.2426597269578621,-0.011635528346628732,12.54083436012268,-4.779781375308101E-5,0.00955750234425068,0.003499646270270773,-8.788339614868164,-0.12758541107177734
0.09,0.01,3.365837784659633,-0.003099009934131978,5.852389368057251,-0.009716684143843938,-0.001111458117387558,0.2765224901781803,-0.011635528346628732,12.5413392162323,-4.779781375308101E-5,0.00955750234425068,0.003499646270270773,-8.788339614868164,-0.12758541107177734
0.09999999999999999,0.01,3.3456614864381358,-0.003099009934131978,5.852624967575074,-0.00894398317534989,-0.0012086249588259975,0.3101808680247766,-0.011635528346628732,12.540608167648315,-7.472904891941134E-4,0.00955743264182946,0.05258098084446772,-8.787813990819275,-0.127580387275636
0.10999999999999999,0.01,3.325261766126663,-0.003099009934131978,5.852283811569214,-0.008506732388876913,-0.0012980647905794964,0.34363748288915796,-0.01745329251994332,12.53971806526184,-7.472904891941134E-4,0.00955743264182946,0.05258098084446772,-8.787813990819275,-0.127580387275636
0.11999999999999998,0.01,3.30493856853982,-0.004648514901198027,5.851868430455525,-0.015077025497783387,-0.0013831321144682656,0.3768901005504246,-0.01745329251994332,12.539529762268067,-7.472904891941134E-4,0.00955743264182946,0.05258098084446772,-8.787813990819275,-0.127580387275636
0.12999999999999998,0.01,3.2849342731048043,-0.004648514901198027,5.851780555725099,-0.014694222540283927,-0.0015339023694460995,0.4099394862358228,-0.011635528346628732,12.549771089553833,-7.472904891941134E-4,0.00955743264182946,0.05258098084446772,-8.787813990819275,-0.127580387275636
0.13999999999999999,0.01,3.2679722133335796,-0.003099009934131978,5.856559841791789,-0.007042984041086454,-0.001680844594848939,0.4427888289668709,-0.01745329251994332,12.544977321624756,-0.0013665515917296311,0.009549859103825392,0.19271556143262103,-8.783601505773367,-0.12754013428274155
0.15,0.01,3.2469203526748096,-0.004648514901198027,5.854322750091553,-0.013354516378570895,-0.0017512744352598034,0.4754685511002067,-0.011635528346628732,12.54059510231018,-0.0013665515917296311,0.00954475491367828,0.22728023148981435,-8.781681699164556,-0.1275217998427516
0.16,0.01,3.2260854979867264,-0.003099009934131978,5.852277714411417,-0.006064809744924787,-0.0018848195990455122,0.5079377546269548,-0.011635528346628732,12.54059510231018,-0.0013665515917296311,0.00954475491367828,0.22728023148981435,-8.781681699164556,-0.1275217998427516
0.17,0.01,3.2066039758706775,-0.003099009934131978,5.852277714411417,-0.005463856507889097,-0.00194546769649476,0.5401986096068221,-0.011635528346628732,12.54059510231018,-0.0013665515917296311,0.00954475491367828,0.22728023148981435,-8.781681699164556,-0.1275217998427516
0.18000000000000002,0.01,3.1872474628827567,-0.003099009934131978,5.852277714411417,-0.005190940069367481,-0.002000106261573651,0.5722646493655289,-0.011635528346628732,12.544833736419678,-0.0013665515917296311,0.00954475491367828,0.22728023148981435,-8.781681699164556,-0.1275217998427516
0.19000000000000003,0.01,3.1691946565781923,-0.003099009934131978,5.854255743662517,-0.004945066526512472,-0.002052015662267326,0.6041371239943565,-0.011635528346628732,12.540300731658936,-0.0018054800125289203,0.009499578114797713,0.3765666505851044,-8.76944128832641,-0.12740514806538933
