time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbitmq}.r.angle,{rabbitmq}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.050258989334106
0.01,0.01,2.5340725170135494,-0.034863861758985024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.050258989334106
0.02,0.01,2.5340725170135494,-0.034863861758985024,-3.4863861758985026E-4,0.025340725170135494,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.050258989334106
0.03,0.01,2.518868081911468,-0.0332949879798307,-6.972772351797005E-4,0.05068145034027099,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.050258989334106
0.04,0.01,2.503663646809387,-0.03172611420067637,-0.0010302271149780075,0.07587013115938568,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.047070322036744
0.05,0.01,2.4876576114746567,-0.030227839741583988,-0.0013474882569847711,0.10090676762747955,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.048223047256467
0.060000000000000005,0.01,2.4729583926553227,-0.028800164602553552,-0.001649766654400611,0.1257833437422261,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.047283296585084
0.07,0.01,2.4577693167984878,-0.02046713946238533,-0.0019377683004261465,0.15051292766877933,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.047283296585084
0.08,0.01,2.442931566442556,-0.019171132055270414,-0.0021424396950499996,0.17509062083676422,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.047283296585084
0.09,0.01,2.4281849505417648,-0.018250110779463077,-0.0023341510156027036,0.19951993650118977,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.047283296585084
0.09999999999999999,0.01,2.4135273611431094,-0.01738740983697591,-0.0025166521233973343,0.2238017860066074,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.048982105255128
0.10999999999999999,0.01,2.399433917867471,-0.02353892720369702,-0.0026905262217670933,0.2479370596180385,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.043705139160156
0.11999999999999998,0.01,2.3834752031940205,-0.022756493761033107,-0.0029259154938040635,0.2719313987967132,0.0,0.0,0.0,0.0,0.0,-0.02908882086657205,9.043993673324586
0.12999999999999998,0.01,2.369159389252856,-0.02169724203686674,-0.0031534804314143944,0.2957661508286534,0.0,-1.3024902805818535E-6,0.07526436319250251,7.558462728401358E-4,-1.3354113044178755E-10,-0.02908882086657205,9.043993673324586
0.13999999999999999,0.01,2.3548585380336915,-0.020673199817620252,-0.003370452851783062,0.31945774472118194,0.0,-3.5426424142028755E-6,0.10001398594789634,0.0015090992973536186,-1.1146458736900383E-9,-0.02908882086657205,9.043993673324586
0.15,0.01,2.3406435816981745,-0.019696823925961244,-0.0035771848499592646,0.3430063301015189,0.0,-3.5426424142028755E-6,0.10001398594789634,0.0015090992973536186,-1.1146458736900383E-9,-0.02908882086657205,9.043993673324586
0.16,0.01,2.3265144304699725,-0.01876652993416833,-0.0037741530892188772,0.36641276591850064,0.0,-3.5426424142028755E-6,0.10001398594789634,0.0015090992973536186,-1.1146458736900383E-9,-0.02327105669325769,9.044944047927856
0.17,0.01,2.3127366738686996,-0.01090740050570313,-0.00396181838856056,0.38967791022320036,0.0,-3.5426424142028755E-6,0.10001398594789634,0.0015090992973536186,-1.1146458736900383E-9,-0.02327105669325769,9.037380561828613
0.18000000000000002,0.01,2.2966598111780914,-0.010062906658665556,-0.004070892393617591,0.41280527696188735,0.0,-6.212002886639061E-5,0.245842568871808,0.011202053157000916,-2.3731571616537E-7,-0.02908882086657205,9.0328408908844
0.19000000000000003,0.01,2.2815122832704993,-0.016544845987705864,-0.004171521460204247,0.43577187507366827,0.0,-6.212002886639061E-5,0.245842568871808,0.011202053157000916,-2.3731571616537E-7,-0.02908882086657205,9.0328408908844
0.20000000000000004,0.01,2.267732324403431,-0.01609201518806591,-0.004336969920081306,0.45858699790637325,0.0,-6.212002886639061E-5,0.245842568871808,0.011202053157000916,-2.3731571616537E-7,-0.02908882086657205,9.0328408908844
0.21000000000000005,0.01,2.2540432507038077,-0.015347497118619147,-0.004497890071961965,0.48126432115040757,0.0,-6.212002886639061E-5,0.245842568871808,0.011202053157000916,-2.3731571616537E-7,-0.02908882086657205,9.0328408908844
0.22000000000000006,0.01,2.240436856757387,-0.01462335643515618,-0.004651365043148156,0.5038047536574457,0.0,-1.0557582767825966E-4,0.2934513203962297,0.016350365922277284,-6.105733348492752E-7,-0.02908882086657205,9.029211950302123
0.23000000000000007,0.01,2.225896493890127,-0.01393271906481832,-0.004797598607499718,0.5262091222250196,0.0,-2.3979530654911303E-4,0.3864175528928513,0.02949443345974566,-2.6355590225447244E-6,-0.02327105669325769,9.051136293411254
0.24000000000000007,0.01,2.2185926888201393,-0.006301895673439344,-0.004936925798147901,0.5484680871639208,0.0,-2.826018867467031E-4,0.4093923439506284,0.0333599871292296,-3.5625006674676085E-6,-0.02327105669325769,9.050129957199095
0.25000000000000006,0.01,2.2049555357173944,-0.005674923315522521,-0.004999944754882295,0.5706540140521222,0.0,-2.826018867467031E-4,0.4093923439506284,0.0333599871292296,-3.5625006674676085E-6,-0.02327105669325769,9.050129957199095
