time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.steer_angle_s,{odom}.o.x_s,{odom}.o.y_s,{rabbitmq}.r.angle,{rabbitmq}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.470577239990234,-0.02718806266784668,-0.005817764173314366,12.761527242660522
0.01,0.01,3.573227627944946,-0.006972772351796951,0.0,0.0,0.0,0.0,0.0,-9.470577239990234,-0.02718806266784668,-0.005817764173314366,12.7592440700531
0.02,0.01,3.572588339614868,-0.006972772351796951,-6.972772351796951E-5,0.035732276279449464,0.0,0.0,0.0,-9.470577239990234,-0.02718806266784668,-0.005817764173314366,12.760331954956056
0.03,0.01,3.551453581620026,-0.006658997595966088,-1.3945544703593903E-4,0.07145815967559814,3.5732276279449465E-4,0.0,0.0,-9.470577239990234,-0.02718806266784668,-0.005817764173314366,12.762205600738524
0.04,0.01,3.530542672401428,-0.0063452228401352255,-2.060454229955999E-4,0.1069726954917984,0.0010719043595504739,-5.3918888234592936E-11,0.0,-9.470577239990234,-0.02718806266784668,-0.005817764173314366,12.759300241470337
0.05,0.01,3.5084204503166156,-0.0060455679483167515,-2.6949765139695216E-4,0.14227812221581268,0.002141631291487045,-2.2179176476650028E-7,0.0,-9.47039471514149,-0.02719057724060843,-0.005817764173314366,12.760124378204344
0.060000000000000005,0.01,3.487467952567729,-0.005760032920510667,-3.2995333088011965E-4,0.17736232671897884,0.003564412511559498,-2.9883016974367445E-7,0.0,-9.470194855548105,-0.027193330406871424,-0.005817764173314366,12.760275135040285
0.07,0.01,3.4664596417798927,-0.005487982362836412,-3.8755366008522634E-4,0.21223700624465613,0.005338035778515839,-3.2760681099584004E-7,0.0,-9.470194855548105,-0.027193330406871424,-0.005817764173314366,12.759952926635744
0.08,0.01,3.4454446157112146,-0.005228780881413432,-4.4243348371359045E-4,0.24690160266245506,0.007460405506293812,-1.5194881279329386E-6,0.0,-9.470194855548105,-0.027193330406871424,-0.005817764173314366,12.752806797027588
0.09,0.01,3.4226449415702516,-0.0049818216750857945,-4.947212925277247E-4,0.2813560488195672,0.00992942137227653,-6.288397710286785E-7,0.0,-9.46958756896952,-0.02720169450742988,-0.005817764173314366,12.751931343078612
0.09999999999999999,0.01,3.401727146770271,-0.004746526535422189,-5.445395092785827E-4,0.31558249823526974,0.012742980870327004,-2.9892774069910958E-6,0.0,-9.46958756896952,-0.02720169450742988,-0.005817764173314366,12.750758800506592
0.10999999999999999,0.01,3.380862965200684,-0.00452234456004333,-5.920047746328045E-4,0.34959976970297246,0.0158988057419696,-2.1533567207656688E-6,0.0,-9.46958756896952,-0.02720169450742988,-0.005817764173314366,12.74985315322876
0.11999999999999998,0.01,3.360199021082269,-0.0043087508659493306,-6.372282202332379E-4,0.3834083993549793,0.019394802735984255,-4.370444364113576E-6,0.0,-9.464137572710715,-0.027276605151365565,-0.005817764173314366,12.750668411254884
0.12999999999999998,0.01,3.34014211553838,-0.00410524536074738,-6.803157288927312E-4,0.41701038956580194,0.023228886702365774,-4.826877168740545E-6,0.0,-9.464137572710715,-0.027276605151365565,-0.005817764173314366,12.749233961105348
0.13999999999999999,0.01,3.319579275370016,-0.0039113515717796605,-7.213681825002051E-4,0.45041181072118575,0.02739899025059816,-6.529111542144681E-6,0.0,-9.461898519753078,-0.027307297373420338,-0.005817764173314366,12.757877025604248
0.15,0.01,3.301958480736478,-0.003726615530546028,-7.604816982180017E-4,0.4836076034748859,0.03190310810701444,-8.032183650183145E-6,0.0,-9.456398589854304,-0.027382481128088675,-0.005817764173314366,12.753273448944093
0.16,0.01,3.280752003619414,-0.003550604709815943,-7.97747853523462E-4,0.5166271882822507,0.036739183779740565,-9.903423552101903E-6,0.0,-9.456398589854304,-0.027382481128088675,-0.005817764173314366,12.76695845603943
0.17,0.01,3.2647720547216896,-0.003382907010941372,-8.332539006216214E-4,0.5494347083184449,0.04190545523558096,-1.2003854743721461E-5,0.0,-9.449535907308226,-0.02747588429931054,-0.005817764173314366,12.761100902557374
0.18000000000000002,0.01,3.243447427724998,-0.0032231297989996546,-8.670829707310351E-4,0.5820824288656617,0.047399801804557926,-1.4380926146908909E-5,0.0,-9.445611389265002,-0.027529096171163957,-0.005817764173314366,12.764573392868042
0.19000000000000003,0.01,3.2248310926836545,-0.003070898983507293,-8.993142687210317E-4,0.6145169031429117,0.0532206254822557,-1.7047865914403E-5,0.0,-9.445611389265002,-0.027529096171163957,-0.005817764173314366,12.76295823097229
0.20000000000000004,0.01,3.2049181627864938,-0.0029258581425523084,-9.300232585561046E-4,0.6467652140697483,0.059365793793862226,-2.002223348528261E-5,0.0,-9.441349953133424,-0.027586712154667355,-0.005817764173314366,12.757993879318237
0.21000000000000005,0.01,3.1841791577672574,-0.00278766768829448,-9.592818399816276E-4,0.6788143956976133,0.06583344509281985,-2.3321954759620623E-5,0.0,-9.441349953133424,-0.027586712154667355,-0.005817764173314366,12.756412963867188
0.22000000000000006,0.01,3.1645069924642444,-0.0026560040718796264,-9.871585168645725E-4,0.7106561872752858,0.0726215880720128,-2.696539613779669E-5,0.0,-9.441349953133424,-0.027586712154667355,-0.005817764173314366,12.75688003540039
0.23000000000000007,0.01,3.1455326975469373,-0.002530559025906374,-0.0010137185575833688,0.7423012571999282,0.07972814881564426,-3.097143419775751E-5,0.0,-9.441349953133424,-0.027586712154667355,-0.005817764173314366,12.752621841430663
0.24000000000000007,0.01,3.125353361280629,-0.002411038842671791,-0.0010390241478424327,0.7737565841753976,0.08715116009061044,-3.535957553258402E-5,0.0,-9.42092774808549,-0.027860504043775644,-0.005817764173314366,12.748388833999634
0.25000000000000006,0.01,3.105294923014659,-0.0022971636865060036,-0.0010631345362691505,0.8050101177882039,0.09488872444948078,-4.014996355336213E-5,0.0,-9.42092774808549,-0.027860504043775644,-0.005817764173314366,12.750251197814942
0.26000000000000006,0.01,3.087064264715261,-0.002188666938585774,-0.0010861061731342106,0.8360630670183504,0.10293882393925555,-4.536329894074632E-5,0.0,-9.42092774808549,-0.027860504043775644,-0.005817764173314366,12.75167839050293
0.2700000000000001,0.01,3.06883210912981,-0.002085294572693003,-0.0011079928425200684,0.866933709665503,0.11129945269517841,-5.102093527312211E-5,0.0,-9.42092774808549,-0.027860504043775644,-0.005817764173314366,12.753273143768311
0.2800000000000001,0.01,3.0507562544558255,-0.001986804560456643,-0.0011288457882469983,0.8976220307568011,0.11996878762879946,-5.714499738214554E-5,0.0,-9.42092774808549,-0.027860504043775644,-0.005817764173314366,12.747110204696655
0.2900000000000001,0.01,3.030617638860983,-0.0018929663046854583,-0.0011487138338515648,0.9281295933013594,0.12894500550017954,-6.375828047246284E-5,0.0,-9.395398955707751,-0.02817426304635907,-0.005817764173314366,12.71848656654358
0.3000000000000001,0.01,3.0042984826513868,-0.001803560099464909,-0.0011676434968984194,0.9584357696899692,0.13822629869759373,-7.088427569509881E-5,0.0,-9.372873841613249,-0.028440228723154683,-0.005817764173314366,12.722356929779052
0.3100000000000001,0.01,2.987198478524153,-0.0017183766157540634,-0.0011856790978930685,0.9884787545164831,0.14781065333129315,-7.854701703461567E-5,0.0,-9.372873841613249,-0.028440228723154683,-0.005817764173314366,12.714366807937624
0.3200000000000001,0.01,2.966935453512645,-0.0016372164112781428,-0.0012028628640506091,1.0183507393017246,0.15769543745554723,-8.677075951423296E-5,0.0,-9.372873841613249,-0.028440228723154683,-0.011635528346628732,12.709820518493652
0.3300000000000001,0.01,2.947739301597188,-0.00853266181536616,-0.0012192350281633906,1.0480200938368511,0.16787894103735806,-9.558114445176083E-5,0.0,-9.372873841613249,-0.028440228723154683,-0.011635528346628732,12.72076943397522
0.34000000000000014,0.01,2.933003385210951,-0.008458987076858644,-0.0013045616463170523,1.077497486852823,0.17835913773943735,-1.0500421756330368E-4,0.0,-9.356321580884543,-0.028633216387785057,-0.011635528346628732,12.717105684280396
0.35000000000000014,0.01,2.914291099486817,-0.008075017295167167,-0.0013891515170856388,1.1068275207049325,0.18913410790933563,-1.1506678269387381E-4,0.0,-9.329112548748846,-0.028946982612451735,-0.011635528346628732,12.71754285812378
0.36000000000000015,0.01,2.8968154878516987,-0.0076943628767085276,-0.0014699016900373105,1.1359704316998007,0.20020237783905181,-1.2587520179343036E-4,0.0,-9.329112548748846,-0.028946982612451735,-0.011635528346628732,12.6963694190979
0.37000000000000016,0.01,2.8734011783275317,-0.007330987098426004,-0.001546845318804396,1.1649385865783177,0.2115620761809332,-1.375264283504567E-4,0.0,-9.329112548748846,-0.028946982612451735,-0.011635528346628732,12.684078760147097
0.38000000000000017,0.01,2.8525789008941964,-0.00698474076897412,-0.001620155189788656,1.193672598361593,0.2232114552536085,-1.5010700956977004E-4,0.0,-9.309479610425733,-0.029170859282087163,-0.011635528346628732,12.687438201904296
0.3900000000000002,0.01,2.836279137516247,-0.006654846349544949,-0.0016900025974783972,1.2221983873705349,0.23514817350335632,-1.6369502151870037E-4,0.0,-9.309479610425733,-0.029170859282087163,-0.011635528346628732,12.698619813919068
0.4000000000000002,0.01,2.8222945154750176,-0.006340533014941114,-0.0017565510609738467,1.2505611787456974,0.247370148575066,-1.78363205484796E-4,0.0,-9.309479610425733,-0.029170859282087163,-0.011635528346628732,12.693532238006592
0.4100000000000002,0.01,2.803852319394427,-0.006041064929211592,-0.0018199563911232579,1.2787841239004476,0.2598757503588955,-1.9418100758012194E-4,0.0,-9.266618228603932,-0.029652697135544488,-0.011635528346628732,12.690301427841186
0.4200000000000002,0.01,2.786013925455263,-0.005755740943539241,-0.0018803670404153737,1.3068226470943918,0.2726635802518675,-2.1121574840771176E-4,0.0,-9.266618228603932,-0.029652697135544488,-0.005817764173314366,12.669379816055296
0.4300000000000002,0.01,2.7633327602388476,0.0014888793300722309,-0.0019379244498507662,1.3346827863489443,0.28573179388570935,-2.2953284831155234E-4,0.0,-9.255218206248204,-0.02977952252009629,-0.011635528346628732,12.660860300064089
0.4400000000000002,0.01,2.7442312122085784,-0.005224884679265454,-0.001923035656550044,1.362316113951333,0.2990786072631789,-2.491971463560496E-4,0.0,-9.255218206248204,-0.02977952252009629,-0.011635528346628732,12.667148218154908
0.45000000000000023,0.01,2.7294118327125747,-0.005291884249118704,-0.0019752845033426986,1.3897584260734186,0.3127017521003402,-2.702726978941447E-4,0.0,-9.255218206248204,-0.02977952252009629,-0.011635528346628732,12.678023595809936
0.46000000000000024,0.01,2.715991551182731,-0.005056764438551758,-0.0020282033458338855,1.4170525444005444,0.32659931819135285,-2.927455735841666E-4,0.0,-9.206584180371706,-0.03031551540704129,-0.005817764173314366,12.67606206893921
0.47000000000000025,0.01,2.699065852662652,0.0021541427044555342,-0.002078770990219403,1.4442124599123718,0.34076982340603057,-3.1668967510315994E-4,0.0,-9.206584180371706,-0.03031551540704129,-0.005817764173314366,12.667755117416382
0.48000000000000026,0.01,2.6804439569291643,0.0023816971041903633,-0.0020572295631748477,1.4712031184389982,0.35521192550769454,-3.421812762311597E-4,0.0,-9.193730282185072,-0.030455879316357744,-0.011635528346628732,12.661498680114748
0.49000000000000027,0.01,2.6624977593687307,-0.004688011669307087,-0.0020334125921329443,1.4980075580082899,0.369923931707398,-3.692949323858703E-4,0.0,-9.193730282185072,-0.030455879316357744,-0.011635528346628732,12.648383932113648
0.5000000000000002,0.01,2.6427429661868476,-0.004795188038995653,-0.0020802927088260153,1.5246325356019772,0.38490397973630047,-3.980253478321151E-4,0.0,-9.193730282185072,-0.030455879316357744,-0.005817764173314366,12.646975288391111
0.5100000000000002,0.01,2.6263735593883246,0.002388544837920118,-0.0021282445892159716,1.5510599652638457,0.4001502748860153,-4.283744729128703E-4,0.0,-9.139292905458085,-0.03104465863126397,-0.005817764173314366,12.65790654182434
0.5200000000000002,0.01,2.613577852552508,0.0026043282996749215,-0.0021043591408367703,1.577323700857729,0.4156608414111775,-4.6043149939665047E-4,0.0,-9.125143449595038,-0.03119622528928799,-0.005817764173314366,12.650139656066894
0.5300000000000002,0.01,2.5956448831840926,0.0024968437819685154,-0.002078315857840021,1.6034594793832542,0.43143404208856884,-4.94285886010426E-4,0.0,-9.125143449595038,-0.03119622528928799,-0.011635528346628732,12.647564496994018
0.5400000000000003,0.01,2.5792423715283728,-0.004593123343313807,-0.002053347420020336,1.629415928215095,0.44746859722987137,-5.299457083674339E-4,0.0,-9.11068876823223,-0.03135045467083501,-0.011635528346628732,12.633839731216431
0.5500000000000003,0.01,2.559825567811544,-0.00470548131350239,-0.002099278653453474,1.6552083519303789,0.46376271341285163,-5.674227366272368E-4,0.0,-9.11068876823223,-0.03135045467083501,-0.005817764173314366,12.630637149810791
0.5600000000000003,0.01,2.543453390788794,0.0024739815887436824,-0.002146333466588498,1.6808066076084942,0.48031475024552556,-6.067358363935032E-4,0.0,-9.11068876823223,-0.03135045467083501,-0.011635528346628732,12.62935311317444
0.5700000000000003,0.01,2.5277349071237465,-0.00428704410394566,-0.0021215936507010614,1.706241141516382,0.49712276570000874,-6.479875017182253E-4,0.0,-9.11068876823223,-0.03135045467083501,-0.011635528346628732,12.652263870239258
0.5800000000000003,0.01,2.518889198757163,-0.004398373275439125,-0.002164464091740518,1.7315184905876195,0.5141851221966932,-6.912781515509444E-4,0.0,-9.050133818370538,-0.03198860119929164,-0.005817764173314366,12.644710750579836
0.5900000000000003,0.01,2.5016079158097826,0.0027673160610353804,-0.002208447824494909,1.756707382575191,0.531500247724738,-7.366242950882099E-4,0.0,-9.050133818370538,-0.03198860119929164,-0.005817764173314366,12.6370769405365
0.6000000000000003,0.01,2.4843571138051055,0.0029652428584301402,-0.0021807746638845553,1.7817234617332889,0.5490672573264777,-7.841264192961299E-4,0.0,-9.050133818370538,-0.03198860119929164,-0.011635528346628732,12.629838609695437
0.6100000000000003,0.01,2.4673207336747494,-0.004132058716113403,-0.0021511222353002538,1.80656703287134,0.5668844224721086,-8.338816441517474E-4,0.0,-8.985191500383653,-0.03265661503522289,-0.011635528346628732,12.633258991241457
0.6200000000000003,0.01,2.4533722978248043,-0.00426549464474276,-0.002192442822461388,1.8312402402080874,0.5849500178975696,-8.859042288169491E-4,0.0,-8.985191500383653,-0.03265661503522289,-0.011635528346628732,12.62641167640686
0.6300000000000003,0.01,2.4366511252690684,-0.004079552002517656,-0.002235097768908815,1.8557739631863355,0.6032623397703543,-9.402122693726943E-4,0.0,-8.968339211930399,-0.03282705851864121,-0.011635528346628732,12.618466806411742
0.6400000000000003,0.01,2.4197063278834867,-0.0038876047435042332,-0.002275893288933992,1.8801404744390262,0.621819992790721,-9.969098857740015E-4,0.0,-8.933746684576011,-0.0331734662659846,-0.011635528346628732,12.58076084136963
0.6500000000000004,0.01,2.394528750920081,-0.0037040249033909378,-0.002314769336369034,1.904337537717861,0.64062130436921,-0.001056098490701493,0.0,-8.933746684576011,-0.0331734662659846,-0.011635528346628732,12.568961715698242
0.6600000000000004,0.01,2.3767067577647913,-0.003529082689933248,-0.0023518095854029434,1.9282828252270618,0.6596645795443684,-0.0011178751799112343,0.0,-8.933746684576011,-0.0331734662659846,-0.011635528346628732,12.56496850013733
0.6700000000000004,0.01,2.3612214849022153,-0.0033624015692806566,-0.0023871004123022757,1.9520498928047099,0.6789473000683316,-0.00118233137661414,0.0,-8.933746684576011,-0.0331734662659846,-0.011635528346628732,12.570447931289673
0.6800000000000004,0.01,2.348495485078282,-0.003203592848233661,-0.0024207244279950825,1.975662107653732,0.698467683232861,-0.0012495586764693604,0.0,-8.861938460326257,-0.03387722018260437,-0.011635528346628732,12.562709989547727
0.6900000000000004,0.01,2.3321615324811242,-0.0030522847776160303,-0.002452760356477419,1.9991470625045147,0.7182241799830661,-0.00131964805523832,0.0,-8.861938460326257,-0.03387722018260437,-0.011635528346628732,12.53463399887085
0.7000000000000004,0.01,2.3102092821811295,-0.0029081230994455155,-0.0024832832042535795,2.022468677829326,0.738215517170471,-0.001392690587543621,0.0,-8.824344990985187,-0.034237218749801276,-0.011635528346628732,12.52501476287842
