time,step-size,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbitmq}.r.angle,{rabbitmq}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.047928342819214
0.01,0.01,2.5334199359893796,-0.006198019868264017,4.2223665599823,-0.027891089407188076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.046374921798709
0.02,0.01,2.5329849781036384,-0.006198019868264017,4.221641630172731,-0.027891089407188076,-2.7891089407188076E-4,0.025334199359893797,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.046259775161744
0.03,0.01,2.517752217429352,-0.006198019868264017,4.221587895075481,-0.026635990383864612,-5.578217881437615E-4,0.05066404914093019,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.046259775161744
0.04,0.01,2.5025543075607306,-0.006198019868264017,4.221587895075481,-0.02538089136054115,-8.241816919824076E-4,0.0758415713152237,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.046259775161744
0.05,0.01,2.487447794256154,-0.006198019868264017,4.221587895075481,-0.024182271793267242,-0.001077990605587819,0.10086711439083101,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.046259775161744
0.060000000000000005,0.01,2.4724324684107897,-0.006198019868264017,4.221587895075481,-0.023040131682042893,-0.0013198133235204914,0.12574159233339255,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.049407033920287
0.07,0.01,2.4583890140976448,-0.006198019868264017,4.223056615829467,-0.021951929451345865,-0.0015502146403409203,0.15046591701750045,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.046326332092285
0.08,0.01,2.4426918227753394,-0.006198019868264017,4.2216189549764,-0.020915123525653934,-0.001769733934854379,0.1750498071584769,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.049569549560546
0.09,0.01,2.428849589581867,-0.006198019868264017,4.223132456461588,-0.019927286700343372,-0.001978885170110918,0.1994767253862303,0.0,0.0,0.0,0.0,0.0,-0.02327105669325769,9.049156131744384
0.09999999999999999,0.01,2.4140776816566896,-0.006198019868264017,4.222939528147379,-0.018986106141688944,-0.002178158037114352,0.22376522128204895,-8.304747649390265E-4,0.0,0.0,0.0,0.0,-0.02327105669325769,9.049156131744384
0.10999999999999999,0.01,2.399504584119198,-0.006198019868264017,4.222939528147379,-0.018089378240173492,-0.002368019098531241,0.24790599809861585,-8.304747649390265E-4,0.0,0.0,0.0,0.0,-0.02327105669325769,9.049156131744384
0.11999999999999998,0.01,2.385020118029258,-0.006198019868264017,4.222939528147379,-0.017235003463797492,-0.0025489128809329763,0.27190104393980785,-8.304747649390265E-4,0.0,0.0,0.0,0.0,-0.02327105669325769,9.048597068786622
0.12999999999999998,0.01,2.3704665528963695,-0.006198019868264017,4.222678632100424,-0.016420981442989684,-0.002721262915570951,0.2957512451201004,-8.304747649390265E-4,-1.0386891546598865E-6,0.07542529975557954,7.485159326409305E-4,-1.0117415225502966E-10,-0.02327105669325769,9.047477712631226
0.13999999999999999,0.01,2.355843012464683,-0.006198019868264017,4.222156265894572,-0.015645406287118798,-0.002885472730000848,0.31945591064906415,-8.304747649390265E-4,-1.0386891546598865E-6,0.07542529975557954,7.485159326409305E-4,-1.0117415225502966E-10,-0.02908882086657205,9.046643114089964
0.15,0.01,2.3413865255557513,-0.007747524835330005,4.221766786575317,-0.021879234473981206,-0.003041926792872036,0.34301434077371096,-0.0018674043881117264,-2.912391408054746E-6,0.10029363262492552,0.0014935070725946545,-8.749883696429462E-10,-0.02908882086657205,9.046643114089964
0.16,0.01,2.3272514674809632,-0.007747524835330005,4.221766786575317,-0.021175191191060865,-0.003260719137611848,0.36642820602926846,-0.0018674043881117264,-2.912391408054746E-6,0.10029363262492552,0.0014935070725946545,-8.749883696429462E-10,-0.02908882086657205,9.046643114089964
0.17,0.01,2.313203148327629,-0.007747524835330005,4.221766786575317,-0.02019062563973171,-0.003472471049522457,0.3897007207040781,-0.0018674043881117264,-2.912391408054746E-6,0.10029363262492552,0.0014935070725946545,-8.749883696429462E-10,-0.02908882086657205,9.046643114089964
0.18000000000000002,0.01,2.299239639522743,-0.007747524835330005,4.221766786575317,-0.019237742036133966,-0.003674377305919774,0.4128327521873544,-0.0018674043881117264,-2.8669988629888017E-5,0.2003642449808467,0.007009071835083982,-6.165036421972512E-8,-0.02327105669325769,9.045777463912964
0.19000000000000003,0.01,2.2851180385832173,-0.006198019868264017,4.221362816492717,-0.011356391530549095,-0.0038667547262811134,0.4358251485825818,-0.0021090311216918067,-4.1470881319116835E-5,0.22509500551529985,0.009013237849390928,-1.191097810780565E-7,-0.02908882086657205,9.037885732650755
0.20000000000000004,0.01,2.269112915992663,-0.007747524835330005,4.217680008570353,-0.017463465490720014,-0.003980318641586604,0.458676328968414,-0.0031396137990937767,-5.74167675297865E-5,0.24967536528998835,0.011263863754947052,-2.1244522095461153E-7,-0.02908882086657205,9.036006202697754
0.21000000000000005,0.01,2.2548759393743225,-0.007747524835330005,4.216802894592285,-0.016952427871845303,-0.004154953296493805,0.4813674581283406,-0.0031396137990937767,-5.74167675297865E-5,0.24967536528998835,0.011263863754947052,-2.1244522095461153E-7,-0.02908882086657205,9.036006202697754
