time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y,{odom}.o.steer_angle_s,{odom}.o.theta_s,{odom}.o.velocity_s,{odom}.o.x_s,{odom}.o.y_s,{rabbit}.r.angle,{rabbit}.r.distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010729463808036854,0.004916016943752766,0.0,-3.772045135498047,-0.09015583992004396,-0.01745329251994332,10.831672401428223
0.01,0.01,3.0328682723999028,-0.02091831705539112,0.0,0.0,0.0,0.0,0.0010729463808036854,0.004916016943752766,0.0,-3.772045135498047,-0.09015583992004396,-0.01745329251994332,10.830563344955443
0.02,0.01,3.032557736587524,-0.02091831705539112,-2.091831705539112E-4,0.030328682723999027,0.0,0.0,0.0010729463808036854,0.004916016943752766,0.0,-3.772045135498047,-0.09015583992004396,-0.01745329251994332,10.830563344955443
0.03,0.01,3.0143605269531246,-0.019976992787898523,-4.183663411078224E-4,0.06065426008987427,3.0328682723999026E-4,0.0,0.0010729463808036854,0.004916016943752766,0.0,-3.772045135498047,-0.09015583992004396,-0.01745329251994332,10.830563344955443
0.04,0.01,2.996165180533599,-0.019035668520405922,-6.181362689868077E-4,0.09079786535940551,9.098294281387218E-4,-1.165371883255131E-10,0.0010729463808036854,0.004916016943752766,0.0,-3.772045135498047,-0.09015583992004396,-0.01745329251994332,10.830563344955443
0.05,0.01,2.9780790173718805,-0.01813670384495049,-8.084929541908669E-4,0.12075951716474151,0.0018178078242953133,-6.838528728348496E-7,0.001715825427767825,0.004916323759068125,0.01134059238765417,-3.771931602993091,-0.09015528178315518,-0.01745329251994332,10.82899088859558
0.060000000000000005,0.01,2.959661738507917,-0.01728009876153222,-9.898599926403719E-4,0.1505403073384603,0.0030254029899573773,-5.636207567045801E-7,0.001715825427767825,0.004916872659428465,0.015108156583565346,-3.7718184472952094,-0.09015472546862711,-0.01745329251994332,10.829789037704469
0.07,0.01,2.942016746154175,-0.01646394708850945,-0.0011626609802556941,0.18013692472353948,0.004530806061968758,-6.279208869554908E-7,0.001715825427767825,0.004916872659428465,0.015108156583565346,-3.7718184472952094,-0.09015472546862711,-0.01745329251994332,10.829789037704469
0.08,0.01,2.9242587757231275,-0.015686342644240497,-0.0013273004511407886,0.20955709218508123,0.006332167946401313,-5.778280001647138E-6,0.001715825427767825,0.004916872659428465,0.015108156583565346,-3.7718184472952094,-0.09015472546862711,-0.01745329251994332,10.829789037704469
0.09,0.01,2.9066066752462025,-0.014945465025257572,-0.0014841638775831935,0.2387996799423125,0.008427721498690132,2.7538941863438436E-6,0.0015002638521588452,0.0049245487915030445,0.10696983654078451,-3.7704335104323334,-0.09014791258878602,-0.01745329251994332,10.829789037704469
