time,step-size,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{local}.l.angle,{local}.l.distance,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{networked}.n.steer_angle_s,{networked}.n.theta_s,{networked}.n.velocity_s,{networked}.n.x_s,{networked}.n.y_s
0.0,0.0,0.0,0.0,0.0,0.0,0.04654211338651559,6.506456371148428,0.0,0.0,0.0,0.0,0.0,0.0,0.031216736882925034,0.0,-10.895065307617188,-0.30432653427124023
0.01,0.01,1.8218077839215598,0.012396039736528091,3.036346306535933,0.05578217881437641,0.05235987755982996,6.506913442611694,0.0,0.0,0.0,0.0,0.0,0.0,0.031216736882925034,0.0,-10.895065307617188,-0.30432653427124023
0.02,0.01,1.8219357639312743,0.01394554470359408,3.036559606552124,0.06275495116617336,0.05235987755982996,6.506322533289591,5.578217881437641E-4,0.0,0.0182180778392156,0.0,0.0,0.0,0.031216736882925034,0.0,-10.895065307617188,-0.30432653427124023
0.03,0.01,1.8108394626175561,0.01394554470359408,3.036283848868476,0.06024475311952642,0.04654211338651559,6.507905690670014,0.0011853712998054977,3.0776625714353273E-7,0.036437435478528346,1.8218077839215598E-4,0.0,0.0,0.031216736882925034,0.0,-10.895065307617188,-0.30432653427124023
0.04,0.01,1.8003511321004868,0.012396039736528091,3.0370226556460063,0.05044800796525167,0.04654211338651559,6.508222769101461,0.0017878188310007617,1.6158192699990395E-6,0.05454583010470391,5.465551331774222E-4,1.121421313713546E-10,0.0,0.031216736882925034,0.0,-10.895065307617188,-0.30432653427124023
0.05,0.01,1.7895748772855866,0.012396039736528091,3.0371706255806816,0.04773699407487299,0.05235987755982996,6.509035464127859,0.0022922989106532784,1.6158192699990395E-6,0.07254934142570878,0.0010920134342237492,9.935041651837143E-10,0.010218288165219748,0.031216736882925034,0.003691141589229119,-10.895065307617188,-0.30432653427124023
0.060000000000000005,0.01,1.7790003251003752,0.01394554470359408,3.0375498832596675,0.052439606068233606,0.05235987755982996,6.509035464127859,0.0027696688514020082,2.5831205291513478E-5,0.09044509019856464,0.0018175016130034046,2.7571831538718656E-6,0.010218288165219748,0.031216736882925034,0.003691141589229119,-10.895065307617188,-0.30432653427124023
0.07,0.01,1.7682628758366616,0.01394554470359408,3.0375498832596675,0.05029144133486432,0.04654211338651559,6.509593450228373,0.0032940649120843444,-7.76858860915792E-5,0.10823509344956839,0.0027219479032806635,-1.310873240116311E-7,0.010218288165219748,0.031216736882925034,0.003691141589229119,-10.895065307617188,-0.30432653427124023
0.08,0.01,1.7577451099942034,0.012396039736528091,3.037810276773241,0.04095888670999686,0.04654211338651559,6.508163704077403,0.0037969793254329877,4.489350258946082E-4,0.125917722207935,0.0038042979412880678,1.2619773015723942E-6,0.010218288165219748,0.031216736882925034,0.003691141589229119,-10.895065307617188,-0.30432653427124023
0.09,0.01,1.7467352038169117,0.012396039736528091,3.037143061902788,0.03869577184992797,0.05235987755982996,6.5148446687062584,0.0042065681925329565,-0.0015589643395316631,0.14349517330787703,0.005062860144853938,4.061240752655353E-5,0.010218288165219748,0.031225192959537552,0.018237593450933787,-10.894701189828432,-0.3043151632571399
0.09999999999999999,0.01,1.738059403253026,0.01394554470359408,3.040260845396254,0.043825394299775056,0.04654211338651559,6.514097752571106,0.004593525911032236,0.005108494179424189,0.16096252534604616,0.006488679237453694,-1.2102419551797856E-4,0.012765242077286132,0.03123224181202707,0.03645046390751361,-10.894518955122704,-0.304309471093192
0.10999999999999999,0.01,1.727369855512282,0.012396039736528091,3.039912284533183,0.03511131221473135,0.04654211338651559,6.514895298480988,0.005031779854029987,-0.013396582094215688,0.17834311937857641,0.008023201542844773,3.649127868520599E-4,0.01540965156847296,0.03124694057790312,0.05465855199169312,-10.894154854437156,-0.3042980957135807
0.11999999999999998,0.01,1.717164811947531,0.012396039736528091,3.040284472624461,0.03313916947124147,0.04654211338651559,6.514895298480988,0.0053828929761773,0.030704268525134956,0.19561681793369923,0.009443780184747482,-7.133187027353902E-4,0.01540965156847296,0.03124694057790312,0.05465855199169312,-10.894154854437156,-0.3042980957135807
0.12999999999999998,0.01,1.7068005928144572,0.012396039736528091,3.040284472624461,0.03155916042157856,0.04654211338651559,6.515909042358398,0.0057142846708897145,-0.05957148661119373,0.21278846605317453,0.010162764182978056,0.0011059272828693551,0.01540965156847296,0.03124694057790312,0.05465855199169312,-10.894154854437156,-0.3042980957135807
0.13999999999999999,0.01,1.6967814522284468,0.012396039736528091,3.040757553100586,0.030067897795372694,0.05235987755982996,6.506944883664449,0.0060298762751055,0.10099202012478585,0.2298564719813191,0.009478447964090024,-9.089187264060654E-4,0.01540965156847296,0.03124694057790312,0.05465855199169312,-10.894154854437156,-0.3042980957135807
0.15,0.01,1.684030684237254,0.01394554470359408,3.0365742790434096,0.035620507928198604,0.04654211338651559,6.506246049404144,0.006330555253059227,-0.14802106424756928,0.24682428650360355,0.007428671569991964,1.3118535750488922E-4,0.017323159100081753,0.03139329308102844,0.12633872412020253,-10.890896110839996,-0.3041960661959524
0.16,0.01,1.673654321930998,0.012396039736528091,3.0362481563886003,0.02729468017560989,0.04654211338651559,6.5079326279958085,0.0066867603323412135,0.19078768721192774,0.2636645933459761,0.004994246214691786,5.383659443123904E-4,0.017323159100081753,0.03139329308102844,0.12633872412020253,-10.890896110839996,-0.3041960661959524
