time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y,{rabbitmq}.r.angle,{rabbitmq}.r.distance
13.759999999999751,0.01,0.3024477574377034,-0.19912162516407123,0.211212455078575,3.093632274500399,-14.283092815648526,8.294975795529282,0.6166830023713299,7.677962427139282
13.76999999999975,0.01,0.2936501148987598,-0.21134217856310217,0.20922123882693427,3.0966567520747756,-14.30422280057861,8.272379782565986,0.6050474740247012,7.677176008224487
13.77999999999975,0.01,0.291615231057991,-0.2163272501343128,0.20710781704130327,3.0995932532237633,-14.324998455391185,8.249416758568138,0.5875941815047576,7.673281583786011
13.78999999999975,0.01,0.28876289152582507,-0.22773516915436465,0.20494454453996014,3.1025094055343434,-14.345413632897113,8.226093629255276,0.5759586531581289,7.64001070022583
13.79999999999975,0.01,0.2776973527426266,-0.23194598760191448,0.2026671928484165,3.105397034449602,-14.36546303052101,8.202417098342538,0.5643231248114997,7.608192710876465
13.80999999999975,0.01,0.2670557383756493,-0.23564344969356252,0.20034773297239736,3.108174007977028,-14.385141627732436,8.17839415335348,0.5468698322915566,7.603605928421021
13.81999999999975,0.01,0.2641052551716691,-0.24612419730686724,0.19799129847546174,3.1108445653607846,-14.404444307492138,8.154032685407547,0.5352343039449279,7.60238284111023
13.82999999999975,0.01,0.2621604562943936,-0.24946578677425085,0.19553005650239305,3.1134856179125014,-14.423366347813484,8.12934074783552,0.5177810114249843,7.601305227279664
13.83999999999975,0.01,0.2602740928908052,-0.2593085149508331,0.19303539863465055,3.1161072224754456,-14.441903853219884,8.104325948963602,0.5061454830783556,7.562561588287354
13.84999999999975,0.01,0.2478529112351918,-0.2620280992495858,0.19044231348514223,3.1187099634043536,-14.46005341371565,8.0789960086556,0.4886921905584125,7.529516887664795
13.859999999999749,0.01,0.23703875050353052,-0.2712775331321892,0.18782203249264637,3.1211884925167057,-14.477811980158062,8.053358760334179,0.47705666221178333,7.52102879524231
13.869999999999749,0.01,0.2331749671578234,-0.27343181336955225,0.18510925716132448,3.123558880021741,-14.49517635305125,8.027423064573158,0.4654211338651546,7.51003059387207
13.879999999999749,0.01,0.22867323827113503,-0.27516986908219765,0.18237493902762897,3.1258906296933193,-14.512143805198367,8.001197741403908,0.4479678413452115,7.484998760223388
13.889999999999748,0.01,0.22026527504655727,-0.2837837545359587,0.179623240336807,3.1281773620760305,-14.528712426446129,7.9746911382109555,0.43633231299858233,7.463486080169678
13.899999999999748,0.01,0.21286968520189156,-0.2853466551308542,0.1767854027914474,3.130380014826496,-14.544880631132934,7.947911696131889,0.4188790204786392,7.459485750198365
13.909999999999748,0.01,0.2104280011596443,-0.29349470323212695,0.17393193624013883,3.1325087116785153,-14.560646996965694,7.920868219799323,0.4072434921320103,7.442450761795044
13.919999999999748,0.01,0.20438098629550314,-0.29459964845483255,0.17099698920781756,3.1346129916901115,-14.576010594645192,7.893569484494978,0.3956079637853813,7.437969236373902
13.929999999999747,0.01,0.2018635911706257,-0.29533793151298104,0.16805099272326923,3.1366568015530665,-14.59097108801323,7.866023822423571,0.3839724354387526,7.39375506401062
13.939999999999747,0.01,0.18825733699113395,-0.2960264920361074,0.16509761340813942,3.138675437464773,-14.605528395014225,7.838239898979398,0.36651914291880927,7.377437295913697
13.949999999999747,0.01,0.18247718037697122,-0.3036546021734144,0.16213734848777833,3.140558010834684,-14.61968293722767,7.810226022330454,0.3548836145721803,7.364072799682617
13.959999999999747,0.01,0.17760557741032226,-0.3042789547353837,0.1591008024660442,3.142382782638454,-14.63343498949227,7.781991442105958,0.3432480862255516,7.341301507949829
13.969999999999747,0.01,0.17013475264287975,-0.30456004234117395,0.15605801291869034,3.144158838412557,-14.646785510404994,7.7535446400603645,0.33161255787892263,7.334636898040771
13.979999999999746,0.01,0.16720302840388176,-0.3048130340816758,0.1530124124952786,3.145860185938986,-14.6597359037113,7.724893971772718,0.3199770295322937,7.320534944534302
