time,step-size,{KF}.kf.steer_angle_p,{KF}.kf.theta_p,{KF}.kf.velocity_p,{KF}.kf.x_p,{KF}.kf.y_p,{controller}.c.acceleration,{controller}.c.desired_steer_angle,{controller}.c.desired_velocity,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.theta,{model}.m.velocity,{model}.m.x,{model}.m.y,{mq-local}.l.angle,{mq-local}.l.distance,{mq-networked}.n.steer_angle_s,{mq-networked}.n.theta_s,{mq-networked}.n.velocity_s,{mq-networked}.n.x_s,{mq-networked}.n.y_s
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011635528346628732,9.681944208145142,0.0,0.03714606910943985,0.0,-1.1529399156570437,-0.3074831962585449
0.01,0.01,0.009406231705305598,0.03344402664215587,1.220743827766435E-6,-0.9939191299752344,-0.2640700882937142,2.7109443782806397,-0.003099009934131978,4.518240630467733,-0.013945544703593903,0.0,0.0,0.0,0.0,0.0,-0.011635528346628732,9.68450714111328,0.0,0.03714606910943985,0.0,-1.1529399156570437,-0.3074831962585449
0.02,0.01,0.008742226230490372,0.03527549810397331,0.013654010113369182,-1.0704653015674994,-0.2849501473360126,2.7116619995117177,-0.003099009934131978,4.519436665852863,-0.013945544703593903,-1.3945544703593903E-4,0.0,0.027109443782806397,0.0,0.0,-0.011635528346628732,9.68450714111328,0.0,0.03714606910943985,0.0,-1.1529399156570437,-0.3074831962585449
0.03,0.01,0.00813708207264036,0.03599823778040268,0.02615899767172928,-1.0995666541855569,-0.29289107531551817,2.695396333242034,-0.003099009934131978,4.519436665852863,-0.013317995191932176,-2.7891089407187805E-4,-1.144930232021444E-7,0.05422606377792358,2.71094437828064E-4,0.0,-0.011635528346628732,9.68450714111328,0.0,0.03714606910943985,0.0,-1.1529399156570437,-0.3074831962585449
0.04,0.01,0.007588381896577155,0.0364046067588193,0.03737020224830692,-1.1152278896112016,-0.2971736471581829,2.679126361244964,-0.003099009934131978,4.519436665852863,-0.012690445680270451,-4.120908459911998E-4,-1.144930232021444E-7,0.08118002711034392,8.133550756072962E-4,-6.208505978286753E-11,-0.011635528346628732,9.68450714111328,0.0,0.03714606910943985,0.0,-1.1529399156570437,-0.3074831962585449
0.05,0.01,0.007089022110702515,0.03667211743077857,0.04720387395673492,-1.1250884259229117,-0.2998811845004944,2.6629539832455116,-0.003099009934131978,4.519436665852863,-0.012091135896633503,-5.389953027939043E-4,-3.73085954477635E-6,0.10797129072279356,0.0016251552145670667,-4.632559049896011E-7,-0.011635528346628732,9.68371708869934,0.0,0.03714606910943985,0.003630050543037555,-1.1529399156570437,-0.3074831962585449
0.060000000000000005,0.01,0.006632871511102316,0.036863079800518894,0.05652642622050837,-1.1318247471125276,-0.30174485430229236,2.6466580104021387,-0.003099009934131978,4.519067974726358,-0.011520065841021334,-6.599066617602393E-4,7.591045065885635E-6,0.13460083055524869,0.002704868087693493,-1.9188958697332465E-7,-0.011635528346628732,9.682304306030272,-9.660393520682932E-4,0.03714604399423288,0.007268782717488875,-1.1529036661738337,-0.30748184911306864
0.07,0.01,0.006169897335099237,0.037005460913447835,0.0651043955970372,-1.1366329265105595,-0.3030911182649538,2.630284707355327,-0.003099009934131978,4.51840867614746,-0.010975964725672823,-7.751073201704527E-4,-4.257792447862329E-5,0.16106741065927008,0.004050876385096891,-3.4000266038302733E-7,-0.011635528346628732,9.68269850730896,-9.660393520682932E-4,0.03714594327857812,0.01090803578982502,-1.1528310701221527,-0.30747915121594643
0.08,0.01,0.005744117967182767,0.03711414932693618,0.07288106167481914,-1.1401426721170336,-0.30409119201510604,2.6145151356509464,-0.003099009934131978,4.518592636744181,-0.010457561762826865,-8.848669674271809E-4,9.721448308451001E-5,0.18737025773282334,0.005661544455520945,-4.74960180882486E-6,-0.011635528346628732,9.682616271972655,-9.660393520682932E-4,0.03714594327857812,0.01090803578982502,-1.1528310701221527,-0.30747915121594643
0.09,0.01,0.00535144927885627,0.037198207103767644,0.0790703264758786,-1.1427640893808129,-0.3048476567711764,2.5987104015126494,-0.003099009934131978,4.5185542602539055,-0.009963643350171589,-9.894425850554495E-4,-2.535286704069726E-4,0.2135154090893328,0.007535217583233196,5.7555766977220186E-6,-0.011635528346628732,9.682616271972655,-9.660393520682932E-4,0.03714594327857812,0.01090803578982502,-1.1528310701221527,-0.30747915121594643
0.09999999999999999,0.01,0.004988397024685369,0.037263661916272936,0.08394433785162843,-1.1447409008678258,-0.30542575194206717,2.5830233106987435,-0.003099009934131978,4.5185542602539055,-0.009493053070844379,-0.0010890790185571653,4.183649015080148E-4,0.2395025131044593,0.009670244238438468,-1.7571948278281716E-5,-0.011635528346628732,9.682616271972655,-0.0015049787185041907,0.03714285887356278,0.09225369159729269,-1.151691087548131,-0.3074367868556043
0.10999999999999999,0.01,0.004629738268169574,0.037314116360043205,0.10584765896087528,-1.1457077705915846,-0.30584779161561915,2.567431048289668,-0.003099009934131978,4.5185542602539055,-0.00904468912008666,-0.001184009549265609,-6.692931428907407E-4,0.26533274621144676,0.012065039328306906,1.5622266235668217E-5,-0.011635528346628732,9.683262100219729,-0.0015049787185041907,0.037139770966509014,0.11936638575922132,-1.150769319679395,-0.307402534008642
0.11999999999999998,0.01,0.004296541019780838,0.037352889685448275,0.1288043945200841,-1.1460604952364253,-0.3061578268017178,2.552113740334656,-0.003099009934131978,4.5188556467692065,-0.008617501731898661,-0.0012744564404664758,7.370631179834143E-4,0.29100705669434346,0.014717983839351951,-2.9455916145196017E-5,-0.011635528346628732,9.67811318397522,-0.0015049787185041907,0.037139770966509014,0.11936638575922132,-1.150769319679395,-0.307402534008642
0.12999999999999998,0.01,0.003986389233266603,0.03738322611458356,0.1465660363667165,-1.1462323690048355,-0.3063935180697586,2.535267457496456,-0.003099009934131978,4.516452819188436,-0.00821049072149476,-0.0013606314577854625,-8.026276701207232E-4,0.31652819409769,0.01762772516020921,1.431793776697788E-5,-0.011635528346628732,9.67555067062378,-0.0015049787185041907,0.037139770966509014,0.11936638575922132,-1.150769319679395,-0.307402534008642
